"","Statistic","Year","Country","value"
"779","Weight of External Trade (Exports) (Tonnes)","1998","Russian Federation",3967
"780","Value of External Trade (Exports) (Euro Thousand)","1998","Russian Federation",2365
"781","Weight of External Trade (Exports) (Tonnes)","1999","Russian Federation",51
"782","Value of External Trade (Exports) (Euro Thousand)","1999","Russian Federation",29
"783","Weight of External Trade (Exports) (Tonnes)","2000","Russian Federation",3039
"784","Value of External Trade (Exports) (Euro Thousand)","2000","Russian Federation",2413
"785","Weight of External Trade (Exports) (Tonnes)","2001","Russian Federation",3611
"786","Value of External Trade (Exports) (Euro Thousand)","2001","Russian Federation",3096
"787","Weight of External Trade (Exports) (Tonnes)","2002","Russian Federation",4176
"788","Value of External Trade (Exports) (Euro Thousand)","2002","Russian Federation",4284
"789","Weight of External Trade (Exports) (Tonnes)","2003","Russian Federation",6651
"790","Value of External Trade (Exports) (Euro Thousand)","2003","Russian Federation",6444
"791","Weight of External Trade (Exports) (Tonnes)","2004","Russian Federation",4516
"792","Value of External Trade (Exports) (Euro Thousand)","2004","Russian Federation",3870
"793","Weight of External Trade (Exports) (Tonnes)","1994","Korea, Republic of",1025
"794","Value of External Trade (Exports) (Euro Thousand)","1994","Korea, Republic of",3378
"795","Weight of External Trade (Exports) (Tonnes)","1995","Korea, Republic of",738
"796","Value of External Trade (Exports) (Euro Thousand)","1995","Korea, Republic of",2726
"797","Weight of External Trade (Exports) (Tonnes)","1996","Korea, Republic of",1438
"798","Value of External Trade (Exports) (Euro Thousand)","1996","Korea, Republic of",4329
"799","Weight of External Trade (Exports) (Tonnes)","1997","Korea, Republic of",1088
"800","Value of External Trade (Exports) (Euro Thousand)","1997","Korea, Republic of",3805
"801","Weight of External Trade (Exports) (Tonnes)","1998","Korea, Republic of",979
"802","Value of External Trade (Exports) (Euro Thousand)","1998","Korea, Republic of",2339
"803","Weight of External Trade (Exports) (Tonnes)","1999","Korea, Republic of",1828
"804","Value of External Trade (Exports) (Euro Thousand)","1999","Korea, Republic of",4707
"805","Weight of External Trade (Exports) (Tonnes)","2000","Korea, Republic of",1954
"806","Value of External Trade (Exports) (Euro Thousand)","2000","Korea, Republic of",5091
"807","Weight of External Trade (Exports) (Tonnes)","2001","Korea, Republic of",4983
"808","Value of External Trade (Exports) (Euro Thousand)","2001","Korea, Republic of",8823
"809","Weight of External Trade (Exports) (Tonnes)","2002","Korea, Republic of",5312
"810","Value of External Trade (Exports) (Euro Thousand)","2002","Korea, Republic of",11350
"811","Weight of External Trade (Exports) (Tonnes)","2003","Korea, Republic of",3165
"812","Value of External Trade (Exports) (Euro Thousand)","2003","Korea, Republic of",12295
"813","Weight of External Trade (Exports) (Tonnes)","2004","Korea, Republic of",1672
"814","Value of External Trade (Exports) (Euro Thousand)","2004","Korea, Republic of",5879
"815","Weight of External Trade (Exports) (Tonnes)","1994","United States",1047
"816","Value of External Trade (Exports) (Euro Thousand)","1994","United States",1648
"817","Weight of External Trade (Exports) (Tonnes)","1995","United States",767
"818","Value of External Trade (Exports) (Euro Thousand)","1995","United States",2197
"819","Weight of External Trade (Exports) (Tonnes)","1996","United States",2027
"820","Value of External Trade (Exports) (Euro Thousand)","1996","United States",4086
"821","Weight of External Trade (Exports) (Tonnes)","1997","United States",666
"822","Value of External Trade (Exports) (Euro Thousand)","1997","United States",1719
"823","Weight of External Trade (Exports) (Tonnes)","1998","United States",264
"824","Value of External Trade (Exports) (Euro Thousand)","1998","United States",2100
"825","Weight of External Trade (Exports) (Tonnes)","1999","United States",385
"826","Value of External Trade (Exports) (Euro Thousand)","1999","United States",1559
"827","Weight of External Trade (Exports) (Tonnes)","2000","United States",352
"828","Value of External Trade (Exports) (Euro Thousand)","2000","United States",1550
"829","Weight of External Trade (Exports) (Tonnes)","2001","United States",1547
"830","Value of External Trade (Exports) (Euro Thousand)","2001","United States",4462
"831","Weight of External Trade (Exports) (Tonnes)","2002","United States",4445
"832","Value of External Trade (Exports) (Euro Thousand)","2002","United States",7593
"833","Weight of External Trade (Exports) (Tonnes)","2003","United States",1244
"834","Value of External Trade (Exports) (Euro Thousand)","2003","United States",4416
"835","Weight of External Trade (Exports) (Tonnes)","2004","United States",1413
"836","Value of External Trade (Exports) (Euro Thousand)","2004","United States",5155
"837","Weight of External Trade (Exports) (Tonnes)","1994","Other countries (4)",NA
"838","Value of External Trade (Exports) (Euro Thousand)","1994","Other countries (4)",NA
"839","Weight of External Trade (Exports) (Tonnes)","1995","Other countries (4)",NA
"840","Value of External Trade (Exports) (Euro Thousand)","1995","Other countries (4)",NA
"841","Weight of External Trade (Exports) (Tonnes)","1996","Other countries (4)",NA
"842","Value of External Trade (Exports) (Euro Thousand)","1996","Other countries (4)",NA
"843","Weight of External Trade (Exports) (Tonnes)","1997","Other countries (4)",NA
"844","Value of External Trade (Exports) (Euro Thousand)","1997","Other countries (4)",NA
"845","Weight of External Trade (Exports) (Tonnes)","1998","Other countries (4)",NA
"846","Value of External Trade (Exports) (Euro Thousand)","1998","Other countries (4)",NA
"847","Weight of External Trade (Exports) (Tonnes)","1999","Other countries (4)",NA
"848","Value of External Trade (Exports) (Euro Thousand)","1999","Other countries (4)",NA
"849","Weight of External Trade (Exports) (Tonnes)","2000","Other countries (4)",NA
"850","Value of External Trade (Exports) (Euro Thousand)","2000","Other countries (4)",NA
"851","Weight of External Trade (Exports) (Tonnes)","2001","Other countries (4)",NA
"852","Value of External Trade (Exports) (Euro Thousand)","2001","Other countries (4)",NA
"853","Weight of External Trade (Exports) (Tonnes)","2002","Other countries (4)",13280
"854","Value of External Trade (Exports) (Euro Thousand)","2002","Other countries (4)",10263
"855","Weight of External Trade (Exports) (Tonnes)","2003","Other countries (4)",7095
"856","Value of External Trade (Exports) (Euro Thousand)","2003","Other countries (4)",8619
"857","Weight of External Trade (Exports) (Tonnes)","2004","Other countries (4)",8176
"858","Value of External Trade (Exports) (Euro Thousand)","2004","Other countries (4)",10561
"859","Weight of External Trade (Exports) (Tonnes)","1994","Other countries (2)",13469
"860","Value of External Trade (Exports) (Euro Thousand)","1994","Other countries (2)",9849
"861","Weight of External Trade (Exports) (Tonnes)","1995","Other countries (2)",35157
"862","Value of External Trade (Exports) (Euro Thousand)","1995","Other countries (2)",22640
"863","Weight of External Trade (Exports) (Tonnes)","1996","Other countries (2)",47163
"864","Value of External Trade (Exports) (Euro Thousand)","1996","Other countries (2)",28720
"865","Weight of External Trade (Exports) (Tonnes)","1997","Other countries (2)",33967
"866","Value of External Trade (Exports) (Euro Thousand)","1997","Other countries (2)",21255
"867","Weight of External Trade (Exports) (Tonnes)","1998","Other countries (2)",17900
"868","Value of External Trade (Exports) (Euro Thousand)","1998","Other countries (2)",12242
"869","Weight of External Trade (Exports) (Tonnes)","1999","Other countries (2)",22343
"870","Value of External Trade (Exports) (Euro Thousand)","1999","Other countries (2)",13898
"871","Weight of External Trade (Exports) (Tonnes)","2000","Other countries (2)",12479
"872","Value of External Trade (Exports) (Euro Thousand)","2000","Other countries (2)",11505
"873","Weight of External Trade (Exports) (Tonnes)","2001","Other countries (2)",17443
"874","Value of External Trade (Exports) (Euro Thousand)","2001","Other countries (2)",13489
"875","Weight of External Trade (Exports) (Tonnes)","2002","Other countries (2)",NA
"876","Value of External Trade (Exports) (Euro Thousand)","2002","Other countries (2)",NA
"877","Weight of External Trade (Exports) (Tonnes)","2003","Other countries (2)",NA
"878","Value of External Trade (Exports) (Euro Thousand)","2003","Other countries (2)",NA
"879","Weight of External Trade (Exports) (Tonnes)","2004","Other countries (2)",NA
"880","Value of External Trade (Exports) (Euro Thousand)","2004","Other countries (2)",NA
