"","Statistic","Domestic.or.Import.Source","Month","value"
"355","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1979M12",81.4
"356","Fat Content (%)","Domestic","1979M12",NA
"357","Protein Content (%)","Domestic","1979M12",NA
"358","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1979M12",NA
"359","Fat Content (%)","Import","1979M12",NA
"360","Protein Content (%)","Import","1979M12",NA
"361","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M01",94.5
"362","Fat Content (%)","Domestic","1980M01",3.71
"363","Protein Content (%)","Domestic","1980M01",3.15
"364","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M01",NA
"365","Fat Content (%)","Import","1980M01",NA
"366","Protein Content (%)","Import","1980M01",NA
"367","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M02",169.1
"368","Fat Content (%)","Domestic","1980M02",3.51
"369","Protein Content (%)","Domestic","1980M02",3.16
"370","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M02",NA
"371","Fat Content (%)","Import","1980M02",NA
"372","Protein Content (%)","Import","1980M02",NA
"373","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M03",319.8
"374","Fat Content (%)","Domestic","1980M03",3.4
"375","Protein Content (%)","Domestic","1980M03",2.92
"376","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M03",NA
"377","Fat Content (%)","Import","1980M03",NA
"378","Protein Content (%)","Import","1980M03",NA
"379","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M04",506.7
"380","Fat Content (%)","Domestic","1980M04",3.3
"381","Protein Content (%)","Domestic","1980M04",3.03
"382","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M04",NA
"383","Fat Content (%)","Import","1980M04",NA
"384","Protein Content (%)","Import","1980M04",NA
"385","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M05",690.6
"386","Fat Content (%)","Domestic","1980M05",3.28
"387","Protein Content (%)","Domestic","1980M05",3.17
"388","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M05",NA
"389","Fat Content (%)","Import","1980M05",NA
"390","Protein Content (%)","Import","1980M05",NA
"391","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M06",655.2
"392","Fat Content (%)","Domestic","1980M06",3.36
"393","Protein Content (%)","Domestic","1980M06",3.12
"394","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M06",NA
"395","Fat Content (%)","Import","1980M06",NA
"396","Protein Content (%)","Import","1980M06",NA
"397","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M07",605.7
"398","Fat Content (%)","Domestic","1980M07",3.44
"399","Protein Content (%)","Domestic","1980M07",3.09
"400","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M07",NA
"401","Fat Content (%)","Import","1980M07",NA
"402","Protein Content (%)","Import","1980M07",NA
"403","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M08",516.7
"404","Fat Content (%)","Domestic","1980M08",3.53
"405","Protein Content (%)","Domestic","1980M08",3.17
"406","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M08",NA
"407","Fat Content (%)","Import","1980M08",NA
"408","Protein Content (%)","Import","1980M08",NA
"409","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M09",402.6
"410","Fat Content (%)","Domestic","1980M09",3.74
"411","Protein Content (%)","Domestic","1980M09",3.4
"412","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M09",NA
"413","Fat Content (%)","Import","1980M09",NA
"414","Protein Content (%)","Import","1980M09",NA
"415","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M10",261.7
"416","Fat Content (%)","Domestic","1980M10",4.02
"417","Protein Content (%)","Domestic","1980M10",3.65
"418","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M10",NA
"419","Fat Content (%)","Import","1980M10",NA
"420","Protein Content (%)","Import","1980M10",NA
"421","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M11",114
"422","Fat Content (%)","Domestic","1980M11",4.07
"423","Protein Content (%)","Domestic","1980M11",3.76
"424","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M11",NA
"425","Fat Content (%)","Import","1980M11",NA
"426","Protein Content (%)","Import","1980M11",NA
"427","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1980M12",81.5
"428","Fat Content (%)","Domestic","1980M12",3.81
"429","Protein Content (%)","Domestic","1980M12",3.34
"430","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1980M12",NA
"431","Fat Content (%)","Import","1980M12",NA
"432","Protein Content (%)","Import","1980M12",NA
"433","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M01",90.9
"434","Fat Content (%)","Domestic","1981M01",3.6
"435","Protein Content (%)","Domestic","1981M01",3.1
"436","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M01",NA
"437","Fat Content (%)","Import","1981M01",NA
"438","Protein Content (%)","Import","1981M01",NA
"439","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M02",165.7
