"","Statistic","Domestic.or.Import.Source","Month","value"
"1858","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M10",17.1
"1859","Fat Content (%)","Import","2000M10",NA
"1860","Protein Content (%)","Import","2000M10",NA
"1861","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M11",191.2
"1862","Fat Content (%)","Domestic","2000M11",4.14
"1863","Protein Content (%)","Domestic","2000M11",3.43
"1864","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M11",15.3
"1865","Fat Content (%)","Import","2000M11",NA
"1866","Protein Content (%)","Import","2000M11",NA
"1867","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000M12",125
"1868","Fat Content (%)","Domestic","2000M12",3.93
"1869","Protein Content (%)","Domestic","2000M12",3.22
"1870","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000M12",19.3
"1871","Fat Content (%)","Import","2000M12",NA
"1872","Protein Content (%)","Import","2000M12",NA
"1873","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M01",118.1
"1874","Fat Content (%)","Domestic","2001M01",3.78
"1875","Protein Content (%)","Domestic","2001M01",3.09
"1876","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M01",23.4
"1877","Fat Content (%)","Import","2001M01",NA
"1878","Protein Content (%)","Import","2001M01",NA
"1879","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M02",185.9
"1880","Fat Content (%)","Domestic","2001M02",3.74
"1881","Protein Content (%)","Domestic","2001M02",3.07
"1882","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M02",18.2
"1883","Fat Content (%)","Import","2001M02",NA
"1884","Protein Content (%)","Import","2001M02",NA
"1885","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M03",382.5
"1886","Fat Content (%)","Domestic","2001M03",3.71
"1887","Protein Content (%)","Domestic","2001M03",3.02
"1888","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M03",NA
"1889","Fat Content (%)","Import","2001M03",NA
"1890","Protein Content (%)","Import","2001M03",NA
"1891","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M04",545.8
"1892","Fat Content (%)","Domestic","2001M04",3.62
"1893","Protein Content (%)","Domestic","2001M04",3.12
"1894","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M04",NA
"1895","Fat Content (%)","Import","2001M04",NA
"1896","Protein Content (%)","Import","2001M04",NA
"1897","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M05",709.2
"1898","Fat Content (%)","Domestic","2001M05",3.52
"1899","Protein Content (%)","Domestic","2001M05",3.25
"1900","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M05",NA
"1901","Fat Content (%)","Import","2001M05",NA
"1902","Protein Content (%)","Import","2001M05",NA
"1903","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M06",681.8
"1904","Fat Content (%)","Domestic","2001M06",3.56
"1905","Protein Content (%)","Domestic","2001M06",3.25
"1906","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M06",15.3
"1907","Fat Content (%)","Import","2001M06",NA
"1908","Protein Content (%)","Import","2001M06",NA
"1909","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M07",653.3
"1910","Fat Content (%)","Domestic","2001M07",3.64
"1911","Protein Content (%)","Domestic","2001M07",3.25
"1912","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M07",27.2
"1913","Fat Content (%)","Import","2001M07",NA
"1914","Protein Content (%)","Import","2001M07",NA
"1915","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M08",591.2
"1916","Fat Content (%)","Domestic","2001M08",3.75
"1917","Protein Content (%)","Domestic","2001M08",3.3
"1918","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M08",25.2
"1919","Fat Content (%)","Import","2001M08",NA
"1920","Protein Content (%)","Import","2001M08",NA
"1921","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M09",506.1
"1922","Fat Content (%)","Domestic","2001M09",3.89
"1923","Protein Content (%)","Domestic","2001M09",3.47
"1924","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M09",23.5
"1925","Fat Content (%)","Import","2001M09",NA
"1926","Protein Content (%)","Import","2001M09",NA
"1927","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M10",412.6
"1928","Fat Content (%)","Domestic","2001M10",4.12
"1929","Protein Content (%)","Domestic","2001M10",3.61
"1930","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M10",24.6
"1931","Fat Content (%)","Import","2001M10",NA
"1932","Protein Content (%)","Import","2001M10",NA
"1933","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M11",252.2
"1934","Fat Content (%)","Domestic","2001M11",4.2
"1935","Protein Content (%)","Domestic","2001M11",3.57
"1936","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M11",24.1
"1937","Fat Content (%)","Import","2001M11",NA
"1938","Protein Content (%)","Import","2001M11",NA
"1939","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001M12",140
"1940","Fat Content (%)","Domestic","2001M12",4.02
"1941","Protein Content (%)","Domestic","2001M12",3.31
"1942","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001M12",28
"1943","Fat Content (%)","Import","2001M12",NA
"1944","Protein Content (%)","Import","2001M12",NA
"1945","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M01",116.9
"1946","Fat Content (%)","Domestic","2002M01",3.81
"1947","Protein Content (%)","Domestic","2002M01",3.12
"1948","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M01",16.8
"1949","Fat Content (%)","Import","2002M01",NA
"1950","Protein Content (%)","Import","2002M01",NA
"1951","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M02",164.8
"1952","Fat Content (%)","Domestic","2002M02",3.77
"1953","Protein Content (%)","Domestic","2002M02",3.1
"1954","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M02",21.9
"1955","Fat Content (%)","Import","2002M02",NA
"1956","Protein Content (%)","Import","2002M02",NA
"1957","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M03",337
"1958","Fat Content (%)","Domestic","2002M03",3.73
"1959","Protein Content (%)","Domestic","2002M03",3.05
"1960","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M03",29.2
"1961","Fat Content (%)","Import","2002M03",NA
"1962","Protein Content (%)","Import","2002M03",NA
"1963","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M04",595.6
"1964","Fat Content (%)","Domestic","2002M04",3.6
"1965","Protein Content (%)","Domestic","2002M04",3.2
"1966","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M04",31.2
"1967","Fat Content (%)","Import","2002M04",NA
"1968","Protein Content (%)","Import","2002M04",NA
"1969","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M05",708.1
"1970","Fat Content (%)","Domestic","2002M05",3.59
"1971","Protein Content (%)","Domestic","2002M05",3.26
"1972","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M05",31.6
"1973","Fat Content (%)","Import","2002M05",NA
"1974","Protein Content (%)","Import","2002M05",NA
"1975","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M06",650.6
"1976","Fat Content (%)","Domestic","2002M06",3.62
"1977","Protein Content (%)","Domestic","2002M06",3.23
"1978","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M06",26.3
"1979","Fat Content (%)","Import","2002M06",NA
"1980","Protein Content (%)","Import","2002M06",NA
"1981","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M07",629.6
"1982","Fat Content (%)","Domestic","2002M07",3.62
"1983","Protein Content (%)","Domestic","2002M07",3.22
"1984","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M07",22.1
"1985","Fat Content (%)","Import","2002M07",NA
"1986","Protein Content (%)","Import","2002M07",NA
"1987","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M08",570
"1988","Fat Content (%)","Domestic","2002M08",3.69
"1989","Protein Content (%)","Domestic","2002M08",3.26
"1990","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M08",19.3
"1991","Fat Content (%)","Import","2002M08",NA
"1992","Protein Content (%)","Import","2002M08",NA
"1993","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M09",486.8
"1994","Fat Content (%)","Domestic","2002M09",3.84
"1995","Protein Content (%)","Domestic","2002M09",3.42
"1996","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M09",21
"1997","Fat Content (%)","Import","2002M09",NA
"1998","Protein Content (%)","Import","2002M09",NA
"1999","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M10",405.9
"2000","Fat Content (%)","Domestic","2002M10",4.1
"2001","Protein Content (%)","Domestic","2002M10",3.58
"2002","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M10",17
"2003","Fat Content (%)","Import","2002M10",NA
"2004","Protein Content (%)","Import","2002M10",NA
"2005","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M11",229.7
"2006","Fat Content (%)","Domestic","2002M11",4.22
"2007","Protein Content (%)","Domestic","2002M11",3.49
"2008","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M11",18.3
"2009","Fat Content (%)","Import","2002M11",NA
"2010","Protein Content (%)","Import","2002M11",NA
"2011","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002M12",137.3
"2012","Fat Content (%)","Domestic","2002M12",3.99
"2013","Protein Content (%)","Domestic","2002M12",3.24
"2014","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002M12",23.8
"2015","Fat Content (%)","Import","2002M12",NA
"2016","Protein Content (%)","Import","2002M12",NA
"2017","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M01",125.4
"2018","Fat Content (%)","Domestic","2003M01",3.82
"2019","Protein Content (%)","Domestic","2003M01",3.12
"2020","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M01",22.5
"2021","Fat Content (%)","Import","2003M01",NA
"2022","Protein Content (%)","Import","2003M01",NA
"2023","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M02",187.5
"2024","Fat Content (%)","Domestic","2003M02",3.79
"2025","Protein Content (%)","Domestic","2003M02",3.1
"2026","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M02",22.8
"2027","Fat Content (%)","Import","2003M02",NA
"2028","Protein Content (%)","Import","2003M02",NA
"2029","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M03",406.5
"2030","Fat Content (%)","Domestic","2003M03",3.69
"2031","Protein Content (%)","Domestic","2003M03",3.09
"2032","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M03",32.7
"2033","Fat Content (%)","Import","2003M03",NA
"2034","Protein Content (%)","Import","2003M03",NA
"2035","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M04",589.1
"2036","Fat Content (%)","Domestic","2003M04",3.55
"2037","Protein Content (%)","Domestic","2003M04",3.25
"2038","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M04",32.5
"2039","Fat Content (%)","Import","2003M04",NA
"2040","Protein Content (%)","Import","2003M04",NA
"2041","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M05",705.1
"2042","Fat Content (%)","Domestic","2003M05",3.58
"2043","Protein Content (%)","Domestic","2003M05",3.29
"2044","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M05",36.2
"2045","Fat Content (%)","Import","2003M05",NA
"2046","Protein Content (%)","Import","2003M05",NA
"2047","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M06",655.4
"2048","Fat Content (%)","Domestic","2003M06",3.6
"2049","Protein Content (%)","Domestic","2003M06",3.25
"2050","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M06",32.8
"2051","Fat Content (%)","Import","2003M06",NA
"2052","Protein Content (%)","Import","2003M06",NA
"2053","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M07",627.9
"2054","Fat Content (%)","Domestic","2003M07",3.64
"2055","Protein Content (%)","Domestic","2003M07",3.24
"2056","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M07",30.2
"2057","Fat Content (%)","Import","2003M07",NA
"2058","Protein Content (%)","Import","2003M07",NA
"2059","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M08",566.9
"2060","Fat Content (%)","Domestic","2003M08",3.69
"2061","Protein Content (%)","Domestic","2003M08",3.26
"2062","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M08",27.8
"2063","Fat Content (%)","Import","2003M08",NA
"2064","Protein Content (%)","Import","2003M08",NA
"2065","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M09",479
"2066","Fat Content (%)","Domestic","2003M09",3.89
"2067","Protein Content (%)","Domestic","2003M09",3.42
"2068","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M09",20.7
"2069","Fat Content (%)","Import","2003M09",NA
"2070","Protein Content (%)","Import","2003M09",NA
"2071","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M10",410.4
"2072","Fat Content (%)","Domestic","2003M10",4.09
"2073","Protein Content (%)","Domestic","2003M10",3.6
"2074","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M10",31.3
"2075","Fat Content (%)","Import","2003M10",NA
"2076","Protein Content (%)","Import","2003M10",NA
"2077","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M11",256.5
"2078","Fat Content (%)","Domestic","2003M11",4.18
"2079","Protein Content (%)","Domestic","2003M11",3.57
"2080","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M11",30.9
"2081","Fat Content (%)","Import","2003M11",NA
"2082","Protein Content (%)","Import","2003M11",NA
"2083","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003M12",147.3
"2084","Fat Content (%)","Domestic","2003M12",3.99
"2085","Protein Content (%)","Domestic","2003M12",3.28
"2086","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2003M12",28.7
"2087","Fat Content (%)","Import","2003M12",NA
"2088","Protein Content (%)","Import","2003M12",NA
"2089","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2004M01",125.1
"2090","Fat Content (%)","Domestic","2004M01",3.79
"2091","Protein Content (%)","Domestic","2004M01",3.12
"2092","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2004M01",30.7
"2093","Fat Content (%)","Import","2004M01",NA
"2094","Protein Content (%)","Import","2004M01",NA
"2095","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2004M02",195.5
