"","Type.of.Milk","Month","value"
"521","All Milk","1988M09",41.5
"522","Whole Milk","1988M09",38.2
"523","Skimmed and Semi-skimmed milk","1988M09",NA
"524","Skimmed Milk","1988M09",0.4
"525","Semi-skimmed milk","1988M09",2.9
"526","All Milk","1988M10",41
"527","Whole Milk","1988M10",37.6
"528","Skimmed and Semi-skimmed milk","1988M10",NA
"529","Skimmed Milk","1988M10",0.4
"530","Semi-skimmed milk","1988M10",2.9
"531","All Milk","1988M11",41
"532","Whole Milk","1988M11",37.6
"533","Skimmed and Semi-skimmed milk","1988M11",NA
"534","Skimmed Milk","1988M11",0.4
"535","Semi-skimmed milk","1988M11",3
"536","All Milk","1988M12",41.6
"537","Whole Milk","1988M12",38.1
"538","Skimmed and Semi-skimmed milk","1988M12",NA
"539","Skimmed Milk","1988M12",0.3
"540","Semi-skimmed milk","1988M12",3.1
"541","All Milk","1989M01",40.8
"542","Whole Milk","1989M01",37.4
"543","Skimmed and Semi-skimmed milk","1989M01",NA
"544","Skimmed Milk","1989M01",0.4
"545","Semi-skimmed milk","1989M01",3
"546","All Milk","1989M02",38.5
"547","Whole Milk","1989M02",35.2
"548","Skimmed and Semi-skimmed milk","1989M02",NA
"549","Skimmed Milk","1989M02",0.4
"550","Semi-skimmed milk","1989M02",3
"551","All Milk","1989M03",43.2
"552","Whole Milk","1989M03",39.3
"553","Skimmed and Semi-skimmed milk","1989M03",NA
"554","Skimmed Milk","1989M03",0.4
"555","Semi-skimmed milk","1989M03",3.5
"556","All Milk","1989M04",40.4
"557","Whole Milk","1989M04",36.8
"558","Skimmed and Semi-skimmed milk","1989M04",NA
"559","Skimmed Milk","1989M04",0.4
"560","Semi-skimmed milk","1989M04",3.3
"561","All Milk","1989M05",41.8
"562","Whole Milk","1989M05",38
"563","Skimmed and Semi-skimmed milk","1989M05",NA
"564","Skimmed Milk","1989M05",0.4
"565","Semi-skimmed milk","1989M05",3.4
"566","All Milk","1989M06",42.9
"567","Whole Milk","1989M06",38.9
"568","Skimmed and Semi-skimmed milk","1989M06",NA
"569","Skimmed Milk","1989M06",0.4
"570","Semi-skimmed milk","1989M06",3.5
"571","All Milk","1989M07",41.7
"572","Whole Milk","1989M07",38.1
"573","Skimmed and Semi-skimmed milk","1989M07",NA
"574","Skimmed Milk","1989M07",0.4
"575","Semi-skimmed milk","1989M07",3.3
"576","All Milk","1989M08",42
"577","Whole Milk","1989M08",38.3
"578","Skimmed and Semi-skimmed milk","1989M08",NA
"579","Skimmed Milk","1989M08",0.4
"580","Semi-skimmed milk","1989M08",3.3
"581","All Milk","1989M09",43.6
"582","Whole Milk","1989M09",39.5
"583","Skimmed and Semi-skimmed milk","1989M09",NA
"584","Skimmed Milk","1989M09",0.4
"585","Semi-skimmed milk","1989M09",3.7
"586","All Milk","1989M10",41.2
"587","Whole Milk","1989M10",37.2
"588","Skimmed and Semi-skimmed milk","1989M10",NA
"589","Skimmed Milk","1989M10",0.4
"590","Semi-skimmed milk","1989M10",3.6
"591","All Milk","1989M11",40
"592","Whole Milk","1989M11",36.2
"593","Skimmed and Semi-skimmed milk","1989M11",NA
"594","Skimmed Milk","1989M11",0.4
"595","Semi-skimmed milk","1989M11",3.5
"596","All Milk","1989M12",42.4
"597","Whole Milk","1989M12",38.3
"598","Skimmed and Semi-skimmed milk","1989M12",NA
"599","Skimmed Milk","1989M12",0.4
"600","Semi-skimmed milk","1989M12",3.7
"601","All Milk","1990M01",40.2
"602","Whole Milk","1990M01",36.3
"603","Skimmed and Semi-skimmed milk","1990M01",NA
"604","Skimmed Milk","1990M01",0.4
"605","Semi-skimmed milk","1990M01",3.5
"606","All Milk","1990M02",38.7
"607","Whole Milk","1990M02",34.9
"608","Skimmed and Semi-skimmed milk","1990M02",NA
"609","Skimmed Milk","1990M02",0.4
"610","Semi-skimmed milk","1990M02",3.5
"611","All Milk","1990M03",44.2
"612","Whole Milk","1990M03",39.7
"613","Skimmed and Semi-skimmed milk","1990M03",NA
"614","Skimmed Milk","1990M03",0.4
"615","Semi-skimmed milk","1990M03",4.1
"616","All Milk","1990M04",40.4
"617","Whole Milk","1990M04",36.4
"618","Skimmed and Semi-skimmed milk","1990M04",NA
"619","Skimmed Milk","1990M04",0.4
"620","Semi-skimmed milk","1990M04",3.6
"621","All Milk","1990M05",41.9
"622","Whole Milk","1990M05",37.6
"623","Skimmed and Semi-skimmed milk","1990M05",NA
"624","Skimmed Milk","1990M05",0.4
"625","Semi-skimmed milk","1990M05",3.9
"626","All Milk","1990M06",43.2
"627","Whole Milk","1990M06",38.8
