"","Region","Year","Type.of.Land.Use","value"
"405","North West","1987","Total oats",3.3
"406","West","1987","Total oats",4.8
"407","South-East (IRL)","1987","Total oats",6.3
"408","South-West (IRL)","1987","Total oats",3.6
"409","State","1988","Total oats",22.6
"410","Midlands and East","1988","Total oats",5
"411","North West","1988","Total oats",3.3
"412","West","1988","Total oats",4.1
"413","South-East (IRL)","1988","Total oats",6.5
"414","South-West (IRL)","1988","Total oats",3.8
"415","State","1989","Total oats",22.4
"416","Midlands and East","1989","Total oats",5.2
"417","North West","1989","Total oats",2.8
"418","West","1989","Total oats",4
"419","South-East (IRL)","1989","Total oats",6.8
"420","South-West (IRL)","1989","Total oats",3.6
"421","State","1990","Total oats",21.8
"422","Midlands and East","1990","Total oats",4.6
"423","North West","1990","Total oats",2
"424","West","1990","Total oats",3.6
"425","South-East (IRL)","1990","Total oats",7.2
"426","South-West (IRL)","1990","Total oats",4.4
"427","State","1991","Total oats",20.6
"428","Midlands and East","1991","Total oats",5.2
"429","North West","1991","Total oats",1.3
"430","West","1991","Total oats",2.1
"431","South-East (IRL)","1991","Total oats",7.8
"432","South-West (IRL)","1991","Total oats",4.1
"433","State","1992","Total oats",20.1
"434","Midlands and East","1992","Total oats",5.2
"435","North West","1992","Total oats",1.2
"436","West","1992","Total oats",1.9
"437","South-East (IRL)","1992","Total oats",7.4
"438","South-West (IRL)","1992","Total oats",4.4
"439","State","1993","Total oats",20.2
"440","Midlands and East","1993","Total oats",6.3
"441","North West","1993","Total oats",1.1
"442","West","1993","Total oats",1.6
"443","South-East (IRL)","1993","Total oats",7.2
"444","South-West (IRL)","1993","Total oats",4.1
"445","State","1994","Total oats",20.9
"446","Midlands and East","1994","Total oats",6.1
"447","North West","1994","Total oats",1.3
"448","West","1994","Total oats",1.3
"449","South-East (IRL)","1994","Total oats",8.1
"450","South-West (IRL)","1994","Total oats",4
"451","State","1995","Total oats",19.9
"452","Midlands and East","1995","Total oats",6.7
"453","North West","1995","Total oats",1.3
"454","West","1995","Total oats",1.5
"455","South-East (IRL)","1995","Total oats",6.5
"456","South-West (IRL)","1995","Total oats",4
"457","State","1996","Total oats",20.9
"458","Midlands and East","1996","Total oats",6.4
"459","North West","1996","Total oats",1.2
"460","West","1996","Total oats",1.4
"461","South-East (IRL)","1996","Total oats",7.4
"462","South-West (IRL)","1996","Total oats",4.3
"463","State","1997","Total oats",20.6
"464","Midlands and East","1997","Total oats",6.4
"465","North West","1997","Total oats",1.5
"466","West","1997","Total oats",1.5
"467","South-East (IRL)","1997","Total oats",7
"468","South-West (IRL)","1997","Total oats",4.1
"469","State","1998","Total oats",19.4
"470","Midlands and East","1998","Total oats",6.5
"471","North West","1998","Total oats",1.4
"472","West","1998","Total oats",0.9
"473","South-East (IRL)","1998","Total oats",6.5
"474","South-West (IRL)","1998","Total oats",4.1
"475","State","1999","Total oats",20.2
"476","Midlands and East","1999","Total oats",6.4
"477","North West","1999","Total oats",1.7
"478","West","1999","Total oats",1.2
"479","South-East (IRL)","1999","Total oats",6.9
"480","South-West (IRL)","1999","Total oats",4
"481","State","1980","Winter oats",6.1
"482","Midlands and East","1980","Winter oats",1.7
"483","North West","1980","Winter oats",0.3
"484","West","1980","Winter oats",0.6
"485","South-East (IRL)","1980","Winter oats",2
"486","South-West (IRL)","1980","Winter oats",1.5
"487","State","1981","Winter oats",6.6
"488","Midlands and East","1981","Winter oats",2
"489","North West","1981","Winter oats",0.2
"490","West","1981","Winter oats",0.5
"491","South-East (IRL)","1981","Winter oats",2.5
"492","South-West (IRL)","1981","Winter oats",1.4
"493","State","1982","Winter oats",7.3
"494","Midlands and East","1982","Winter oats",2.6
"495","North West","1982","Winter oats",0.2
"496","West","1982","Winter oats",0.5
"497","South-East (IRL)","1982","Winter oats",2.7
"498","South-West (IRL)","1982","Winter oats",1.3
"499","State","1983","Winter oats",7.5
"500","Midlands and East","1983","Winter oats",2.5
"501","North West","1983","Winter oats",0.2
"502","West","1983","Winter oats",0.5
"503","South-East (IRL)","1983","Winter oats",2.9
"504","South-West (IRL)","1983","Winter oats",1.5
"505","State","1984","Winter oats",8.9
"506","Midlands and East","1984","Winter oats",3.1
"507","North West","1984","Winter oats",0.2
"508","West","1984","Winter oats",0.5
"509","South-East (IRL)","1984","Winter oats",3.4
"510","South-West (IRL)","1984","Winter oats",1.8
"511","State","1985","Winter oats",9.1
"512","Midlands and East","1985","Winter oats",3.2
"513","North West","1985","Winter oats",0.2
"514","West","1985","Winter oats",0.5
"515","South-East (IRL)","1985","Winter oats",3.4
"516","South-West (IRL)","1985","Winter oats",1.8
"517","State","1986","Winter oats",8.8
"518","Midlands and East","1986","Winter oats",3
"519","North West","1986","Winter oats",0.2
"520","West","1986","Winter oats",0.5
"521","South-East (IRL)","1986","Winter oats",3.3
"522","South-West (IRL)","1986","Winter oats",1.8
"523","State","1987","Winter oats",9
"524","Midlands and East","1987","Winter oats",3.1
"525","North West","1987","Winter oats",0.2
"526","West","1987","Winter oats",0.5
"527","South-East (IRL)","1987","Winter oats",3.5
"528","South-West (IRL)","1987","Winter oats",1.7
"529","State","1988","Winter oats",9.6
"530","Midlands and East","1988","Winter oats",3.3
"531","North West","1988","Winter oats",0.2
"532","West","1988","Winter oats",0.4
"533","South-East (IRL)","1988","Winter oats",3.8
"534","South-West (IRL)","1988","Winter oats",1.9
"535","State","1989","Winter oats",10.1
"536","Midlands and East","1989","Winter oats",3.6
"537","North West","1989","Winter oats",0.1
"538","West","1989","Winter oats",0.4
"539","South-East (IRL)","1989","Winter oats",4.1
"540","South-West (IRL)","1989","Winter oats",1.9
"541","State","1990","Winter oats",10.6
"542","Midlands and East","1990","Winter oats",3.3
"543","North West","1990","Winter oats",0.1
"544","West","1990","Winter oats",0.4
"545","South-East (IRL)","1990","Winter oats",4.4
"546","South-West (IRL)","1990","Winter oats",2.4
"547","State","1991","Winter oats",11.4
"548","Midlands and East","1991","Winter oats",3.8
"549","North West","1991","Winter oats",0.1
"550","West","1991","Winter oats",0.2
"551","South-East (IRL)","1991","Winter oats",4.9
"552","South-West (IRL)","1991","Winter oats",2.4
"553","State","1992","Winter oats",11.6
"554","Midlands and East","1992","Winter oats",3.9
"555","North West","1992","Winter oats",0.1
"556","West","1992","Winter oats",0.2
"557","South-East (IRL)","1992","Winter oats",4.7
"558","South-West (IRL)","1992","Winter oats",2.8
"559","State","1993","Winter oats",11.4
"560","Midlands and East","1993","Winter oats",4.4
"561","North West","1993","Winter oats",0.1
"562","West","1993","Winter oats",0.1
"563","South-East (IRL)","1993","Winter oats",4.6
"564","South-West (IRL)","1993","Winter oats",2.3
"565","State","1994","Winter oats",13.3
"566","Midlands and East","1994","Winter oats",4.6
"567","North West","1994","Winter oats",0.1
"568","West","1994","Winter oats",0.1
"569","South-East (IRL)","1994","Winter oats",5.9
"570","South-West (IRL)","1994","Winter oats",2.6
"571","State","1995","Winter oats",10.5
"572","Midlands and East","1995","Winter oats",4.7
"573","North West","1995","Winter oats",0.1
"574","West","1995","Winter oats",0.2
"575","South-East (IRL)","1995","Winter oats",3.7
"576","South-West (IRL)","1995","Winter oats",1.8
"577","State","1996","Winter oats",12.5
"578","Midlands and East","1996","Winter oats",5.3
"579","North West","1996","Winter oats",0
"580","West","1996","Winter oats",0
"581","South-East (IRL)","1996","Winter oats",4.7
"582","South-West (IRL)","1996","Winter oats",2.4
"583","State","1997","Winter oats",11.2
"584","Midlands and East","1997","Winter oats",5
"585","North West","1997","Winter oats",0.2
"586","West","1997","Winter oats",0.1
"587","South-East (IRL)","1997","Winter oats",3.9
"588","South-West (IRL)","1997","Winter oats",2
"589","State","1998","Winter oats",12.1
"590","Midlands and East","1998","Winter oats",5.4
"591","North West","1998","Winter oats",0.1
"592","West","1998","Winter oats",0
"593","South-East (IRL)","1998","Winter oats",4.2
"594","South-West (IRL)","1998","Winter oats",2.4
"595","State","1999","Winter oats",7.7
"596","Midlands and East","1999","Winter oats",3.1
"597","North West","1999","Winter oats",0.2
"598","West","1999","Winter oats",0
"599","South-East (IRL)","1999","Winter oats",3
"600","South-West (IRL)","1999","Winter oats",1.5
"601","State","1980","Spring oats",18.4
"602","Midlands and East","1980","Spring oats",2.1
"603","North West","1980","Spring oats",5.2
"604","West","1980","Spring oats",6.1
"605","South-East (IRL)","1980","Spring oats",2.3
"606","South-West (IRL)","1980","Spring oats",2.7
"607","State","1981","Spring oats",16.6
"608","Midlands and East","1981","Spring oats",2.1
"609","North West","1981","Spring oats",4.5
"610","West","1981","Spring oats",5
"611","South-East (IRL)","1981","Spring oats",2.6
"612","South-West (IRL)","1981","Spring oats",2.4
"613","State","1982","Spring oats",16
"614","Midlands and East","1982","Spring oats",2.4
"615","North West","1982","Spring oats",4.1
"616","West","1982","Spring oats",4.8
"617","South-East (IRL)","1982","Spring oats",2.6
"618","South-West (IRL)","1982","Spring oats",2.1
"619","State","1983","Spring oats",15.8
"620","Midlands and East","1983","Spring oats",2.2
"621","North West","1983","Spring oats",4.1
"622","West","1983","Spring oats",4.8
"623","South-East (IRL)","1983","Spring oats",2.7
"624","South-West (IRL)","1983","Spring oats",2.2
"625","State","1984","Spring oats",17.2
"626","Midlands and East","1984","Spring oats",2.4
"627","North West","1984","Spring oats",4.1
"628","West","1984","Spring oats",5.1
"629","South-East (IRL)","1984","Spring oats",3
"630","South-West (IRL)","1984","Spring oats",2.6
"631","State","1985","Spring oats",15.8
"632","Midlands and East","1985","Spring oats",2.2
"633","North West","1985","Spring oats",3.7
"634","West","1985","Spring oats",4.8
"635","South-East (IRL)","1985","Spring oats",2.8
"636","South-West (IRL)","1985","Spring oats",2.4
"637","State","1986","Spring oats",14.2
"638","Midlands and East","1986","Spring oats",1.9
"639","North West","1986","Spring oats",3.3
"640","West","1986","Spring oats",4.1
"641","South-East (IRL)","1986","Spring oats",2.7
"642","South-West (IRL)","1986","Spring oats",2.1
"643","State","1987","Spring oats",13.9
"644","Midlands and East","1987","Spring oats",1.8
"645","North West","1987","Spring oats",3.2
"646","West","1987","Spring oats",4.3
"647","South-East (IRL)","1987","Spring oats",2.7
"648","South-West (IRL)","1987","Spring oats",1.9
"649","State","1988","Spring oats",13
"650","Midlands and East","1988","Spring oats",1.7
"651","North West","1988","Spring oats",3.1
