"","Region","Year","Type.of.Land.Use","value"
"1608","South-West (IRL)","1987","Arable silage",NA
"1609","State","1988","Arable silage",NA
"1610","Midlands and East","1988","Arable silage",NA
"1611","North West","1988","Arable silage",NA
"1612","West","1988","Arable silage",NA
"1613","South-East (IRL)","1988","Arable silage",NA
"1614","South-West (IRL)","1988","Arable silage",NA
"1615","State","1989","Arable silage",NA
"1616","Midlands and East","1989","Arable silage",NA
"1617","North West","1989","Arable silage",NA
"1618","West","1989","Arable silage",NA
"1619","South-East (IRL)","1989","Arable silage",NA
"1620","South-West (IRL)","1989","Arable silage",NA
"1621","State","1990","Arable silage",NA
"1622","Midlands and East","1990","Arable silage",NA
"1623","North West","1990","Arable silage",NA
"1624","West","1990","Arable silage",NA
"1625","South-East (IRL)","1990","Arable silage",NA
"1626","South-West (IRL)","1990","Arable silage",NA
"1627","State","1991","Arable silage",NA
"1628","Midlands and East","1991","Arable silage",NA
"1629","North West","1991","Arable silage",NA
"1630","West","1991","Arable silage",NA
"1631","South-East (IRL)","1991","Arable silage",NA
"1632","South-West (IRL)","1991","Arable silage",NA
"1633","State","1992","Arable silage",NA
"1634","Midlands and East","1992","Arable silage",NA
"1635","North West","1992","Arable silage",NA
"1636","West","1992","Arable silage",NA
"1637","South-East (IRL)","1992","Arable silage",NA
"1638","South-West (IRL)","1992","Arable silage",NA
"1639","State","1993","Arable silage",NA
"1640","Midlands and East","1993","Arable silage",NA
"1641","North West","1993","Arable silage",NA
"1642","West","1993","Arable silage",NA
"1643","South-East (IRL)","1993","Arable silage",NA
"1644","South-West (IRL)","1993","Arable silage",NA
"1645","State","1994","Arable silage",NA
"1646","Midlands and East","1994","Arable silage",NA
"1647","North West","1994","Arable silage",NA
"1648","West","1994","Arable silage",NA
"1649","South-East (IRL)","1994","Arable silage",NA
"1650","South-West (IRL)","1994","Arable silage",NA
"1651","State","1995","Arable silage",NA
"1652","Midlands and East","1995","Arable silage",NA
"1653","North West","1995","Arable silage",NA
"1654","West","1995","Arable silage",NA
"1655","South-East (IRL)","1995","Arable silage",NA
"1656","South-West (IRL)","1995","Arable silage",NA
"1657","State","1996","Arable silage",NA
"1658","Midlands and East","1996","Arable silage",NA
"1659","North West","1996","Arable silage",NA
"1660","West","1996","Arable silage",NA
"1661","South-East (IRL)","1996","Arable silage",NA
"1662","South-West (IRL)","1996","Arable silage",NA
"1663","State","1997","Arable silage",NA
"1664","Midlands and East","1997","Arable silage",NA
"1665","North West","1997","Arable silage",NA
"1666","West","1997","Arable silage",NA
"1667","South-East (IRL)","1997","Arable silage",NA
"1668","South-West (IRL)","1997","Arable silage",NA
"1669","State","1998","Arable silage",NA
"1670","Midlands and East","1998","Arable silage",NA
"1671","North West","1998","Arable silage",NA
"1672","West","1998","Arable silage",NA
"1673","South-East (IRL)","1998","Arable silage",NA
"1674","South-West (IRL)","1998","Arable silage",NA
"1675","State","1999","Arable silage",NA
"1676","Midlands and East","1999","Arable silage",NA
"1677","North West","1999","Arable silage",NA
"1678","West","1999","Arable silage",NA
"1679","South-East (IRL)","1999","Arable silage",NA
"1680","South-West (IRL)","1999","Arable silage",NA
"1681","State","1980","Maize silage",NA
"1682","Midlands and East","1980","Maize silage",NA
"1683","North West","1980","Maize silage",NA
"1684","West","1980","Maize silage",NA
"1685","South-East (IRL)","1980","Maize silage",NA
"1686","South-West (IRL)","1980","Maize silage",NA
"1687","State","1981","Maize silage",NA
"1688","Midlands and East","1981","Maize silage",NA
"1689","North West","1981","Maize silage",NA
"1690","West","1981","Maize silage",NA
"1691","South-East (IRL)","1981","Maize silage",NA
"1692","South-West (IRL)","1981","Maize silage",NA
"1693","State","1982","Maize silage",NA
"1694","Midlands and East","1982","Maize silage",NA
"1695","North West","1982","Maize silage",NA
"1696","West","1982","Maize silage",NA
"1697","South-East (IRL)","1982","Maize silage",NA
"1698","South-West (IRL)","1982","Maize silage",NA
"1699","State","1983","Maize silage",NA
"1700","Midlands and East","1983","Maize silage",NA
"1701","North West","1983","Maize silage",NA
"1702","West","1983","Maize silage",NA
"1703","South-East (IRL)","1983","Maize silage",NA
"1704","South-West (IRL)","1983","Maize silage",NA
"1705","State","1984","Maize silage",NA
"1706","Midlands and East","1984","Maize silage",NA
"1707","North West","1984","Maize silage",NA
"1708","West","1984","Maize silage",NA
"1709","South-East (IRL)","1984","Maize silage",NA
"1710","South-West (IRL)","1984","Maize silage",NA
"1711","State","1985","Maize silage",NA
"1712","Midlands and East","1985","Maize silage",NA
"1713","North West","1985","Maize silage",NA
"1714","West","1985","Maize silage",NA
"1715","South-East (IRL)","1985","Maize silage",NA
"1716","South-West (IRL)","1985","Maize silage",NA
"1717","State","1986","Maize silage",NA
"1718","Midlands and East","1986","Maize silage",NA
"1719","North West","1986","Maize silage",NA
"1720","West","1986","Maize silage",NA
"1721","South-East (IRL)","1986","Maize silage",NA
"1722","South-West (IRL)","1986","Maize silage",NA
"1723","State","1987","Maize silage",NA
"1724","Midlands and East","1987","Maize silage",NA
"1725","North West","1987","Maize silage",NA
"1726","West","1987","Maize silage",NA
"1727","South-East (IRL)","1987","Maize silage",NA
"1728","South-West (IRL)","1987","Maize silage",NA
"1729","State","1988","Maize silage",NA
"1730","Midlands and East","1988","Maize silage",NA
"1731","North West","1988","Maize silage",NA
"1732","West","1988","Maize silage",NA
"1733","South-East (IRL)","1988","Maize silage",NA
"1734","South-West (IRL)","1988","Maize silage",NA
"1735","State","1989","Maize silage",NA
"1736","Midlands and East","1989","Maize silage",NA
"1737","North West","1989","Maize silage",NA
"1738","West","1989","Maize silage",NA
"1739","South-East (IRL)","1989","Maize silage",NA
"1740","South-West (IRL)","1989","Maize silage",NA
"1741","State","1990","Maize silage",NA
"1742","Midlands and East","1990","Maize silage",NA
"1743","North West","1990","Maize silage",NA
"1744","West","1990","Maize silage",NA
"1745","South-East (IRL)","1990","Maize silage",NA
"1746","South-West (IRL)","1990","Maize silage",NA
"1747","State","1991","Maize silage",NA
"1748","Midlands and East","1991","Maize silage",NA
"1749","North West","1991","Maize silage",NA
"1750","West","1991","Maize silage",NA
"1751","South-East (IRL)","1991","Maize silage",NA
"1752","South-West (IRL)","1991","Maize silage",NA
"1753","State","1992","Maize silage",NA
"1754","Midlands and East","1992","Maize silage",NA
"1755","North West","1992","Maize silage",NA
"1756","West","1992","Maize silage",NA
"1757","South-East (IRL)","1992","Maize silage",NA
"1758","South-West (IRL)","1992","Maize silage",NA
"1759","State","1993","Maize silage",NA
"1760","Midlands and East","1993","Maize silage",NA
"1761","North West","1993","Maize silage",NA
"1762","West","1993","Maize silage",NA
"1763","South-East (IRL)","1993","Maize silage",NA
"1764","South-West (IRL)","1993","Maize silage",NA
"1765","State","1994","Maize silage",NA
"1766","Midlands and East","1994","Maize silage",NA
"1767","North West","1994","Maize silage",NA
"1768","West","1994","Maize silage",NA
"1769","South-East (IRL)","1994","Maize silage",NA
"1770","South-West (IRL)","1994","Maize silage",NA
"1771","State","1995","Maize silage",NA
"1772","Midlands and East","1995","Maize silage",NA
"1773","North West","1995","Maize silage",NA
"1774","West","1995","Maize silage",NA
"1775","South-East (IRL)","1995","Maize silage",NA
"1776","South-West (IRL)","1995","Maize silage",NA
"1777","State","1996","Maize silage",NA
"1778","Midlands and East","1996","Maize silage",NA
"1779","North West","1996","Maize silage",NA
"1780","West","1996","Maize silage",NA
"1781","South-East (IRL)","1996","Maize silage",NA
"1782","South-West (IRL)","1996","Maize silage",NA
"1783","State","1997","Maize silage",NA
"1784","Midlands and East","1997","Maize silage",NA
"1785","North West","1997","Maize silage",NA
"1786","West","1997","Maize silage",NA
"1787","South-East (IRL)","1997","Maize silage",NA
"1788","South-West (IRL)","1997","Maize silage",NA
"1789","State","1998","Maize silage",NA
"1790","Midlands and East","1998","Maize silage",NA
"1791","North West","1998","Maize silage",NA
"1792","West","1998","Maize silage",NA
"1793","South-East (IRL)","1998","Maize silage",NA
"1794","South-West (IRL)","1998","Maize silage",NA
"1795","State","1999","Maize silage",NA
"1796","Midlands and East","1999","Maize silage",NA
"1797","North West","1999","Maize silage",NA
"1798","West","1999","Maize silage",NA
"1799","South-East (IRL)","1999","Maize silage",NA
"1800","South-West (IRL)","1999","Maize silage",NA
"1801","State","1980","Fodder rape and kale",NA
"1802","Midlands and East","1980","Fodder rape and kale",NA
"1803","North West","1980","Fodder rape and kale",NA
"1804","West","1980","Fodder rape and kale",NA
"1805","South-East (IRL)","1980","Fodder rape and kale",NA
"1806","South-West (IRL)","1980","Fodder rape and kale",NA
"1807","State","1981","Fodder rape and kale",NA
"1808","Midlands and East","1981","Fodder rape and kale",NA
"1809","North West","1981","Fodder rape and kale",NA
"1810","West","1981","Fodder rape and kale",NA
"1811","South-East (IRL)","1981","Fodder rape and kale",NA
"1812","South-West (IRL)","1981","Fodder rape and kale",NA
"1813","State","1982","Fodder rape and kale",NA
"1814","Midlands and East","1982","Fodder rape and kale",NA
"1815","North West","1982","Fodder rape and kale",NA
"1816","West","1982","Fodder rape and kale",NA
"1817","South-East (IRL)","1982","Fodder rape and kale",NA
"1818","South-West (IRL)","1982","Fodder rape and kale",NA
"1819","State","1983","Fodder rape and kale",NA
"1820","Midlands and East","1983","Fodder rape and kale",NA
"1821","North West","1983","Fodder rape and kale",NA
"1822","West","1983","Fodder rape and kale",NA
"1823","South-East (IRL)","1983","Fodder rape and kale",NA
"1824","South-West (IRL)","1983","Fodder rape and kale",NA
"1825","State","1984","Fodder rape and kale",NA
"1826","Midlands and East","1984","Fodder rape and kale",NA
"1827","North West","1984","Fodder rape and kale",NA
"1828","West","1984","Fodder rape and kale",NA
"1829","South-East (IRL)","1984","Fodder rape and kale",NA
"1830","South-West (IRL)","1984","Fodder rape and kale",NA
"1831","State","1985","Fodder rape and kale",NA
"1832","Midlands and East","1985","Fodder rape and kale",NA
"1833","North West","1985","Fodder rape and kale",NA
"1834","West","1985","Fodder rape and kale",NA
"1835","South-East (IRL)","1985","Fodder rape and kale",NA
"1836","South-West (IRL)","1985","Fodder rape and kale",NA
"1837","State","1986","Fodder rape and kale",NA
"1838","Midlands and East","1986","Fodder rape and kale",NA
"1839","North West","1986","Fodder rape and kale",NA
"1840","West","1986","Fodder rape and kale",NA
"1841","South-East (IRL)","1986","Fodder rape and kale",NA
"1842","South-West (IRL)","1986","Fodder rape and kale",NA
"1843","State","1987","Fodder rape and kale",NA
"1844","Midlands and East","1987","Fodder rape and kale",NA
"1845","North West","1987","Fodder rape and kale",NA
"1846","West","1987","Fodder rape and kale",NA
"1847","South-East (IRL)","1987","Fodder rape and kale",NA
"1848","South-West (IRL)","1987","Fodder rape and kale",NA
"1849","State","1988","Fodder rape and kale",NA
"1850","Midlands and East","1988","Fodder rape and kale",NA
"1851","North West","1988","Fodder rape and kale",NA
"1852","West","1988","Fodder rape and kale",NA
"1853","South-East (IRL)","1988","Fodder rape and kale",NA
"1854","South-West (IRL)","1988","Fodder rape and kale",NA
"1855","State","1989","Fodder rape and kale",NA
"1856","Midlands and East","1989","Fodder rape and kale",NA
"1857","North West","1989","Fodder rape and kale",NA
"1858","West","1989","Fodder rape and kale",NA
"1859","South-East (IRL)","1989","Fodder rape and kale",NA
"1860","South-West (IRL)","1989","Fodder rape and kale",NA
"1861","State","1990","Fodder rape and kale",NA
"1862","Midlands and East","1990","Fodder rape and kale",NA
"1863","North West","1990","Fodder rape and kale",NA
"1864","West","1990","Fodder rape and kale",NA
"1865","South-East (IRL)","1990","Fodder rape and kale",NA
"1866","South-West (IRL)","1990","Fodder rape and kale",NA
"1867","State","1991","Fodder rape and kale",NA
"1868","Midlands and East","1991","Fodder rape and kale",NA
"1869","North West","1991","Fodder rape and kale",NA
"1870","West","1991","Fodder rape and kale",NA
"1871","South-East (IRL)","1991","Fodder rape and kale",NA
"1872","South-West (IRL)","1991","Fodder rape and kale",NA
"1873","State","1992","Fodder rape and kale",NA
"1874","Midlands and East","1992","Fodder rape and kale",NA
"1875","North West","1992","Fodder rape and kale",NA
"1876","West","1992","Fodder rape and kale",NA
"1877","South-East (IRL)","1992","Fodder rape and kale",NA
"1878","South-West (IRL)","1992","Fodder rape and kale",NA
"1879","State","1993","Fodder rape and kale",NA
"1880","Midlands and East","1993","Fodder rape and kale",NA
"1881","North West","1993","Fodder rape and kale",NA
"1882","West","1993","Fodder rape and kale",NA
"1883","South-East (IRL)","1993","Fodder rape and kale",NA
"1884","South-West (IRL)","1993","Fodder rape and kale",NA
"1885","State","1994","Fodder rape and kale",NA
"1886","Midlands and East","1994","Fodder rape and kale",NA
"1887","North West","1994","Fodder rape and kale",NA
"1888","West","1994","Fodder rape and kale",NA
"1889","South-East (IRL)","1994","Fodder rape and kale",NA
"1890","South-West (IRL)","1994","Fodder rape and kale",NA
"1891","State","1995","Fodder rape and kale",NA
"1892","Midlands and East","1995","Fodder rape and kale",NA
"1893","North West","1995","Fodder rape and kale",NA
"1894","West","1995","Fodder rape and kale",NA
"1895","South-East (IRL)","1995","Fodder rape and kale",NA
"1896","South-West (IRL)","1995","Fodder rape and kale",NA
"1897","State","1996","Fodder rape and kale",NA
"1898","Midlands and East","1996","Fodder rape and kale",NA
"1899","North West","1996","Fodder rape and kale",NA
"1900","West","1996","Fodder rape and kale",NA
"1901","South-East (IRL)","1996","Fodder rape and kale",NA
"1902","South-West (IRL)","1996","Fodder rape and kale",NA
"1903","State","1997","Fodder rape and kale",NA
"1904","Midlands and East","1997","Fodder rape and kale",NA
"1905","North West","1997","Fodder rape and kale",NA
"1906","West","1997","Fodder rape and kale",NA
"1907","South-East (IRL)","1997","Fodder rape and kale",NA
"1908","South-West (IRL)","1997","Fodder rape and kale",NA
"1909","State","1998","Fodder rape and kale",NA
"1910","Midlands and East","1998","Fodder rape and kale",NA
