"","Statistic","Year","Type.of.Crop","value"
"313","Area under Crops (000 Hectares)","1997","Winter oats",11.2
"314","Crop Yield per Hectare (Tonnes)","1997","Winter oats",7.4
"315","Crop Yield (000 Tonnes)","1997","Winter oats",83.4
"316","Area under Crops (000 Hectares)","1998","Winter oats",12.1
"317","Crop Yield per Hectare (Tonnes)","1998","Winter oats",6.6
"318","Crop Yield (000 Tonnes)","1998","Winter oats",80.2
"319","Area under Crops (000 Hectares)","1999","Winter oats",7.7
"320","Crop Yield per Hectare (Tonnes)","1999","Winter oats",7.8
"321","Crop Yield (000 Tonnes)","1999","Winter oats",60.2
"322","Area under Crops (000 Hectares)","2000","Winter oats",9.6
"323","Crop Yield per Hectare (Tonnes)","2000","Winter oats",8.3
"324","Crop Yield (000 Tonnes)","2000","Winter oats",79.8
"325","Area under Crops (000 Hectares)","2001","Winter oats",5.7
"326","Crop Yield per Hectare (Tonnes)","2001","Winter oats",8
"327","Crop Yield (000 Tonnes)","2001","Winter oats",45.2
"328","Area under Crops (000 Hectares)","2002","Winter oats",11.8
"329","Crop Yield per Hectare (Tonnes)","2002","Winter oats",7.8
"330","Crop Yield (000 Tonnes)","2002","Winter oats",92.1
"331","Area under Crops (000 Hectares)","2003","Winter oats",9.4
"332","Crop Yield per Hectare (Tonnes)","2003","Winter oats",8.1
"333","Crop Yield (000 Tonnes)","2003","Winter oats",75.9
"334","Area under Crops (000 Hectares)","2004","Winter oats",12.9
"335","Crop Yield per Hectare (Tonnes)","2004","Winter oats",8.3
"336","Crop Yield (000 Tonnes)","2004","Winter oats",107.3
"337","Area under Crops (000 Hectares)","2005","Winter oats",8.6
"338","Crop Yield per Hectare (Tonnes)","2005","Winter oats",7.3
"339","Crop Yield (000 Tonnes)","2005","Winter oats",63.1
"340","Area under Crops (000 Hectares)","2006","Winter oats",9.3
"341","Crop Yield per Hectare (Tonnes)","2006","Winter oats",8
"342","Crop Yield (000 Tonnes)","2006","Winter oats",74.2
"343","Area under Crops (000 Hectares)","2007","Winter oats",13.5
"344","Crop Yield per Hectare (Tonnes)","2007","Winter oats",8.1
"345","Crop Yield (000 Tonnes)","2007","Winter oats",109.3
"346","Area under Crops (000 Hectares)","1985","Spring oats",15.8
"347","Crop Yield per Hectare (Tonnes)","1985","Spring oats",4.4
"348","Crop Yield (000 Tonnes)","1985","Spring oats",70
"349","Area under Crops (000 Hectares)","1986","Spring oats",14.2
"350","Crop Yield per Hectare (Tonnes)","1986","Spring oats",4.8
"351","Crop Yield (000 Tonnes)","1986","Spring oats",68
"352","Area under Crops (000 Hectares)","1987","Spring oats",13.9
"353","Crop Yield per Hectare (Tonnes)","1987","Spring oats",5
"354","Crop Yield (000 Tonnes)","1987","Spring oats",70
"355","Area under Crops (000 Hectares)","1988","Spring oats",13
"356","Crop Yield per Hectare (Tonnes)","1988","Spring oats",5.6
"357","Crop Yield (000 Tonnes)","1988","Spring oats",73
"358","Area under Crops (000 Hectares)","1989","Spring oats",12.3
"359","Crop Yield per Hectare (Tonnes)","1989","Spring oats",4.9
"360","Crop Yield (000 Tonnes)","1989","Spring oats",60
"361","Area under Crops (000 Hectares)","1990","Spring oats",11.2
"362","Crop Yield per Hectare (Tonnes)","1990","Spring oats",5.6
"363","Crop Yield (000 Tonnes)","1990","Spring oats",63
"364","Area under Crops (000 Hectares)","1991","Spring oats",9.2
"365","Crop Yield per Hectare (Tonnes)","1991","Spring oats",5.9
"366","Crop Yield (000 Tonnes)","1991","Spring oats",54
"367","Area under Crops (000 Hectares)","1992","Spring oats",8.4
"368","Crop Yield per Hectare (Tonnes)","1992","Spring oats",6
"369","Crop Yield (000 Tonnes)","1992","Spring oats",50
"370","Area under Crops (000 Hectares)","1993","Spring oats",8.8
"371","Crop Yield per Hectare (Tonnes)","1993","Spring oats",5.5
"372","Crop Yield (000 Tonnes)","1993","Spring oats",49
"373","Area under Crops (000 Hectares)","1994","Spring oats",7.6
"374","Crop Yield per Hectare (Tonnes)","1994","Spring oats",4.7
"375","Crop Yield (000 Tonnes)","1994","Spring oats",36
"376","Area under Crops (000 Hectares)","1995","Spring oats",9.4
"377","Crop Yield per Hectare (Tonnes)","1995","Spring oats",5.7
"378","Crop Yield (000 Tonnes)","1995","Spring oats",54
"379","Area under Crops (000 Hectares)","1996","Spring oats",8.4
"380","Crop Yield per Hectare (Tonnes)","1996","Spring oats",6.1
