"","Statistic","Agricultural.Product","Month","value"
"183","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2000M03",91.171
"184","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2000M03",89.394
"185","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2000M03",91.288
"186","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2000M03",NA
"187","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2000M03",82.052
"188","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2000M03",NA
"189","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2000M03",90.858
"190","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2000M03",90.393
"191","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2000M03",110.085
"192","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2000M03",102.634
"193","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2000M03",93.355
"194","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2000M03",NA
"195","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2000M03",104.453
"196","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2000M03",NA
"197","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2000M03",104.648
"198","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2000M03",105.206
"199","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2000M03",92.992
"200","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2000M03",NA
"201","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2000M03",102.479
"202","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2000M03",NA
"203","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2000M03",83.193
"204","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2000M03",NA
"205","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2000M03",86.667
"206","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2000M03",NA
"207","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2000M03",72.75
"208","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2000M03",NA
"209","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2000M03",73.689
"210","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2000M03",NA
