"","Statistic","Agricultural.Product","Month","value"
"11230","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2011M02",NA
"11231","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2011M02",102.882
"11232","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2011M02",NA
"11233","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2011M02",111.672
"11234","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2011M02",NA
"11235","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2011M02",133.498
"11236","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2011M02",NA
"11237","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2011M02",142.025
"11238","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2011M02",NA
"11239","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2011M02",132.174
"11240","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2011M02",NA
"11241","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2011M02",130.423
"11242","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2011M02",NA
"11243","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M02",133.783
"11244","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M02",NA
"11245","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2011M02",131.001
"11246","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2011M02",NA
"11247","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2011M02",130.982
"11248","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2011M02",NA
"11249","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2011M02",128.999
"11250","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2011M02",NA
"11251","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2011M02",107.1
"11252","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2011M02",NA
"11253","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2011M02",111.905
"11254","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2011M02",NA
"11255","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2011M02",124.062
"11256","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2011M02",NA
"11257","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2011M03",123.011
"11258","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2011M03",123.002
"11259","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2011M03",128.036
"11260","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2011M03",NA
"11261","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2011M03",156.565
"11262","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2011M03",NA
"11263","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2011M03",108.14
"11264","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2011M03",108.297
"11265","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2011M03",113.82
"11266","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2011M03",107.949
"11267","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2011M03",122.366
"11268","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2011M03",NA
"11269","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2011M03",124.42
"11270","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2011M03",NA
"11271","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2011M03",124.878
"11272","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2011M03",123.29
"11273","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2011M03",125.299
"11274","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2011M03",NA
"11275","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2011M03",85.2
"11276","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2011M03",NA
"11277","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2011M03",104.622
"11278","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2011M03",107.274
"11279","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2011M03",150.88
"11280","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2011M03",140.795
"11281","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2011M03",122.907
"11282","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2011M03",NA
"11283","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2011M03",119.25
"11284","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2011M03",NA
"11285","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2011M03",119.361
"11286","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2011M03",121.133
"11287","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2011M03",122.106
"11288","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2011M03",NA
"11289","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2011M03",89.59
"11290","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2011M03",NA
"11291","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2011M03",131.266
"11292","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2011M03",NA
"11293","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2011M03",107.83
"11294","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2011M03",NA
"11295","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2011M03",140.515
"11296","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2011M03",NA
"11297","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2011M03",119.77
"11298","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2011M03",NA
"11299","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2011M03",147.029
"11300","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2011M03",NA
"11301","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2011M03",129.168
"11302","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2011M03",NA
"11303","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2011M03",163.299
"11304","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2011M03",NA
"11305","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2011M03",154.646
"11306","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2011M03",NA
"11307","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2011M03",170.86
"11308","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2011M03",NA
"11309","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2011M03",201.464
"11310","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2011M03",NA
"11311","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2011M03",169.794
"11312","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2011M03",NA
"11313","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2011M03",109.979
"11314","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2011M03",NA
"11315","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2011M03",100.577
"11316","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2011M03",NA
"11317","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2011M03",111.672
"11318","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2011M03",NA
"11319","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2011M03",134.813
"11320","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2011M03",NA
"11321","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2011M03",144.773
"11322","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2011M03",NA
"11323","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2011M03",133.266
"11324","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2011M03",NA
"11325","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2011M03",131.578
"11326","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2011M03",NA
"11327","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M03",134.803
"11328","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M03",NA
"11329","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2011M03",131.976
"11330","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2011M03",NA
"11331","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2011M03",132.281
"11332","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2011M03",NA
"11333","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2011M03",130.243
"11334","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2011M03",NA
"11335","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2011M03",107.1
"11336","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2011M03",NA
"11337","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2011M03",111.605
"11338","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2011M03",NA
"11339","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2011M03",124.216
"11340","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2011M03",NA
"11341","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2011M04",125.318
"11342","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2011M04",124.779
"11343","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2011M04",127.735
"11344","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2011M04",NA
"11345","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2011M04",156.565
"11346","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2011M04",NA
"11347","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2011M04",107.84
"11348","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2011M04",108.36
"11349","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2011M04",112.91
"11350","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2011M04",104.621
"11351","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2011M04",125.007
"11352","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2011M04",NA
"11353","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2011M04",129.48
"11354","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2011M04",NA
"11355","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2011M04",129.153
"11356","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2011M04",126.124
"11357","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2011M04",129.392
"11358","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2011M04",NA
"11359","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2011M04",106.72
"11360","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2011M04",NA
"11361","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2011M04",107.28
"11362","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2011M04",108.134
"11363","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2011M04",168.28
"11364","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2011M04",146.732
"11365","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2011M04",122.869
"11366","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2011M04",NA
"11367","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2011M04",118.222
"11368","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2011M04",NA
"11369","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2011M04",118.308
"11370","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2011M04",122.577
"11371","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2011M04",122.106
"11372","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2011M04",NA
"11373","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2011M04",89.59
"11374","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2011M04",NA
"11375","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2011M04",131.55
"11376","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2011M04",NA
"11377","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2011M04",107.83
"11378","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2011M04",NA
"11379","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2011M04",142.155
"11380","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2011M04",NA
"11381","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2011M04",119.77
"11382","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2011M04",NA
"11383","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2011M04",149.196
"11384","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2011M04",NA
"11385","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2011M04",129.668
"11386","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2011M04",NA
"11387","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2011M04",162.405
"11388","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2011M04",NA
"11389","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2011M04",153.819
"11390","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2011M04",NA
"11391","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2011M04",169.882
"11392","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2011M04",NA
"11393","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2011M04",200.346
"11394","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2011M04",NA
"11395","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2011M04",168.82
"11396","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2011M04",NA
"11397","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2011M04",109.979
"11398","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2011M04",NA
"11399","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2011M04",100.515
"11400","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2011M04",NA
"11401","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2011M04",111.672
"11402","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2011M04",NA
"11403","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2011M04",135.459
"11404","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2011M04",NA
"11405","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2011M04",145.239
"11406","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2011M04",NA
"11407","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2011M04",133.941
"11408","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2011M04",NA
"11409","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2011M04",132.047
"11410","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2011M04",NA
"11411","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M04",134.945
"11412","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M04",NA
"11413","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2011M04",133.122
"11414","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2011M04",NA
"11415","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2011M04",133.849
"11416","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2011M04",NA
"11417","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2011M04",130.797
"11418","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2011M04",NA
"11419","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2011M04",107.1
"11420","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2011M04",NA
"11421","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2011M04",111.671
"11422","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2011M04",NA
"11423","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2011M04",124.175
"11424","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2011M04",NA
"11425","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2011M05",128.717
"11426","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2011M05",126.902
"11427","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2011M05",127.73
"11428","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2011M05",NA
"11429","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2011M05",156.565
"11430","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2011M05",NA
"11431","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2011M05",107.73
"11432","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2011M05",108.467
"11433","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2011M05",113.12
"11434","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2011M05",101.304
"11435","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2011M05",128.843
"11436","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2011M05",NA
"11437","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2011M05",135.509
"11438","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2011M05",NA
"11439","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2011M05",137.15
"11440","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2011M05",132.879
"11441","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2011M05",137.375
"11442","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2011M05",NA
"11443","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2011M05",115.97
"11444","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2011M05",NA
"11445","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2011M05",110.583
"11446","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2011M05",108.808
"11447","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2011M05",168.91
"11448","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2011M05",148.846
"11449","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2011M05",122.869
"11450","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2011M05",NA
"11451","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2011M05",118.734
"11452","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2011M05",NA
"11453","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2011M05",118.458
"11454","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2011M05",124.286
"11455","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2011M05",122.106
"11456","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Eggs","2011M05",NA
"11457","Agricultural Input and Output Price Indices (Base 2005=100)","Wool","2011M05",156.81
"11458","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Wool","2011M05",NA
"11459","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural input price index","2011M05",131.772
"11460","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural input price index","2011M05",NA
"11461","Agricultural Input and Output Price Indices (Base 2005=100)","Seeds","2011M05",107.83
"11462","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Seeds","2011M05",NA
"11463","Agricultural Input and Output Price Indices (Base 2005=100)","Energy","2011M05",141.074
"11464","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Energy","2011M05",NA
"11465","Agricultural Input and Output Price Indices (Base 2005=100)","Electricity","2011M05",119.87
"11466","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Electricity","2011M05",NA
"11467","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2011M05",147.729
"11468","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2011M05",NA
"11469","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2011M05",129.568
"11470","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2011M05",NA
"11471","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2011M05",163.15
"11472","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2011M05",NA
"11473","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2011M05",153.538
"11474","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2011M05",NA
"11475","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2011M05",171.216
"11476","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2011M05",NA
"11477","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2011M05",200.814
"11478","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2011M05",NA
"11479","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2011M05",170.184
"11480","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2011M05",NA
"11481","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2011M05",109.979
"11482","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2011M05",NA
"11483","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2011M05",100.595
"11484","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2011M05",NA
"11485","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2011M05",111.672
"11486","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2011M05",NA
"11487","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2011M05",136.524
"11488","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2011M05",NA
"11489","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2011M05",146.375
"11490","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2011M05",NA
"11491","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2011M05",134.995
"11492","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2011M05",NA
"11493","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2011M05",133.487
"11494","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2011M05",NA
"11495","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M05",135.883
"11496","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2011M05",NA
"11497","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2011M05",133.998
