"","Statistic","Month","Meat.Usage","value"
"393","Average Pig Carcass Weight (Kg)","1990M11","All Pigs",66.6
"394","Pigs Slaughtered (Number)","1990M12","All Pigs",158421
"395","Weight of Pigs Slaughtered (Tonnes)","1990M12","All Pigs",10495
"396","Average Pig Carcass Weight (Kg)","1990M12","All Pigs",66.2
"397","Pigs Slaughtered (Number)","1991M01","All Pigs",197273
"398","Weight of Pigs Slaughtered (Tonnes)","1991M01","All Pigs",13316
"399","Average Pig Carcass Weight (Kg)","1991M01","All Pigs",67.5
"400","Pigs Slaughtered (Number)","1991M02","All Pigs",170696
"401","Weight of Pigs Slaughtered (Tonnes)","1991M02","All Pigs",11473
"402","Average Pig Carcass Weight (Kg)","1991M02","All Pigs",67.2
"403","Pigs Slaughtered (Number)","1991M03","All Pigs",184912
"404","Weight of Pigs Slaughtered (Tonnes)","1991M03","All Pigs",12252
"405","Average Pig Carcass Weight (Kg)","1991M03","All Pigs",66.3
"406","Pigs Slaughtered (Number)","1991M04","All Pigs",188721
"407","Weight of Pigs Slaughtered (Tonnes)","1991M04","All Pigs",12708
"408","Average Pig Carcass Weight (Kg)","1991M04","All Pigs",67.3
"409","Pigs Slaughtered (Number)","1991M05","All Pigs",190802
"410","Weight of Pigs Slaughtered (Tonnes)","1991M05","All Pigs",12778
"411","Average Pig Carcass Weight (Kg)","1991M05","All Pigs",67
"412","Pigs Slaughtered (Number)","1991M06","All Pigs",171087
"413","Weight of Pigs Slaughtered (Tonnes)","1991M06","All Pigs",11452
"414","Average Pig Carcass Weight (Kg)","1991M06","All Pigs",66.9
"415","Pigs Slaughtered (Number)","1991M07","All Pigs",215978
"416","Weight of Pigs Slaughtered (Tonnes)","1991M07","All Pigs",14385
"417","Average Pig Carcass Weight (Kg)","1991M07","All Pigs",66.6
"418","Pigs Slaughtered (Number)","1991M08","All Pigs",205475
"419","Weight of Pigs Slaughtered (Tonnes)","1991M08","All Pigs",13423
"420","Average Pig Carcass Weight (Kg)","1991M08","All Pigs",65.3
"421","Pigs Slaughtered (Number)","1991M09","All Pigs",212385
"422","Weight of Pigs Slaughtered (Tonnes)","1991M09","All Pigs",14030
"423","Average Pig Carcass Weight (Kg)","1991M09","All Pigs",66.1
"424","Pigs Slaughtered (Number)","1991M10","All Pigs",226278
"425","Weight of Pigs Slaughtered (Tonnes)","1991M10","All Pigs",15341
"426","Average Pig Carcass Weight (Kg)","1991M10","All Pigs",67.8
"427","Pigs Slaughtered (Number)","1991M11","All Pigs",216577
"428","Weight of Pigs Slaughtered (Tonnes)","1991M11","All Pigs",14840
"429","Average Pig Carcass Weight (Kg)","1991M11","All Pigs",68.5
"430","Pigs Slaughtered (Number)","1991M12","All Pigs",197922
"431","Weight of Pigs Slaughtered (Tonnes)","1991M12","All Pigs",13389
"432","Average Pig Carcass Weight (Kg)","1991M12","All Pigs",67.6
"433","Pigs Slaughtered (Number)","1992M01","All Pigs",234085
"434","Weight of Pigs Slaughtered (Tonnes)","1992M01","All Pigs",16093
"435","Average Pig Carcass Weight (Kg)","1992M01","All Pigs",68.7
"436","Pigs Slaughtered (Number)","1992M02","All Pigs",190910
"437","Weight of Pigs Slaughtered (Tonnes)","1992M02","All Pigs",13255
"438","Average Pig Carcass Weight (Kg)","1992M02","All Pigs",69.4
"439","Pigs Slaughtered (Number)","1992M03","All Pigs",210700
"440","Weight of Pigs Slaughtered (Tonnes)","1992M03","All Pigs",14596
"441","Average Pig Carcass Weight (Kg)","1992M03","All Pigs",69.3
"442","Pigs Slaughtered (Number)","1992M04","All Pigs",204663
"443","Weight of Pigs Slaughtered (Tonnes)","1992M04","All Pigs",14185
"444","Average Pig Carcass Weight (Kg)","1992M04","All Pigs",69.3
"445","Pigs Slaughtered (Number)","1992M05","All Pigs",205106
"446","Weight of Pigs Slaughtered (Tonnes)","1992M05","All Pigs",14130
"447","Average Pig Carcass Weight (Kg)","1992M05","All Pigs",68.9
"448","Pigs Slaughtered (Number)","1992M06","All Pigs",212939
"449","Weight of Pigs Slaughtered (Tonnes)","1992M06","All Pigs",14464
"450","Average Pig Carcass Weight (Kg)","1992M06","All Pigs",67.9
"451","Pigs Slaughtered (Number)","1992M07","All Pigs",235456
"452","Weight of Pigs Slaughtered (Tonnes)","1992M07","All Pigs",16086
"453","Average Pig Carcass Weight (Kg)","1992M07","All Pigs",68.3
"454","Pigs Slaughtered (Number)","1992M08","All Pigs",213657
"455","Weight of Pigs Slaughtered (Tonnes)","1992M08","All Pigs",14582
"456","Average Pig Carcass Weight (Kg)","1992M08","All Pigs",68.2
"457","Pigs Slaughtered (Number)","1992M09","All Pigs",240379
"458","Weight of Pigs Slaughtered (Tonnes)","1992M09","All Pigs",16450
"459","Average Pig Carcass Weight (Kg)","1992M09","All Pigs",68.4
"460","Pigs Slaughtered (Number)","1992M10","All Pigs",225043
"461","Weight of Pigs Slaughtered (Tonnes)","1992M10","All Pigs",15474
"462","Average Pig Carcass Weight (Kg)","1992M10","All Pigs",68.8
"463","Pigs Slaughtered (Number)","1992M11","All Pigs",241337
"464","Weight of Pigs Slaughtered (Tonnes)","1992M11","All Pigs",16689
"465","Average Pig Carcass Weight (Kg)","1992M11","All Pigs",69.2
"466","Pigs Slaughtered (Number)","1992M12","All Pigs",221752
"467","Weight of Pigs Slaughtered (Tonnes)","1992M12","All Pigs",15039
"468","Average Pig Carcass Weight (Kg)","1992M12","All Pigs",67.8
"469","Pigs Slaughtered (Number)","1993M01","All Pigs",230771
"470","Weight of Pigs Slaughtered (Tonnes)","1993M01","All Pigs",16093
"471","Average Pig Carcass Weight (Kg)","1993M01","All Pigs",69.7
"472","Pigs Slaughtered (Number)","1993M02","All Pigs",195250
"473","Weight of Pigs Slaughtered (Tonnes)","1993M02","All Pigs",13623
"474","Average Pig Carcass Weight (Kg)","1993M02","All Pigs",69.8
"475","Pigs Slaughtered (Number)","1993M03","All Pigs",236385
"476","Weight of Pigs Slaughtered (Tonnes)","1993M03","All Pigs",16497
"477","Average Pig Carcass Weight (Kg)","1993M03","All Pigs",69.8
"478","Pigs Slaughtered (Number)","1993M04","All Pigs",222074
"479","Weight of Pigs Slaughtered (Tonnes)","1993M04","All Pigs",15312
"480","Average Pig Carcass Weight (Kg)","1993M04","All Pigs",69
"481","Pigs Slaughtered (Number)","1993M05","All Pigs",221494
"482","Weight of Pigs Slaughtered (Tonnes)","1993M05","All Pigs",15481
"483","Average Pig Carcass Weight (Kg)","1993M05","All Pigs",69.9
"484","Pigs Slaughtered (Number)","1993M06","All Pigs",229407
"485","Weight of Pigs Slaughtered (Tonnes)","1993M06","All Pigs",15733
"486","Average Pig Carcass Weight (Kg)","1993M06","All Pigs",68.6
"487","Pigs Slaughtered (Number)","1993M07","All Pigs",229337
"488","Weight of Pigs Slaughtered (Tonnes)","1993M07","All Pigs",15623
"489","Average Pig Carcass Weight (Kg)","1993M07","All Pigs",68.1
"490","Pigs Slaughtered (Number)","1993M08","All Pigs",240803
"491","Weight of Pigs Slaughtered (Tonnes)","1993M08","All Pigs",16638
"492","Average Pig Carcass Weight (Kg)","1993M08","All Pigs",69.1
"493","Pigs Slaughtered (Number)","1993M09","All Pigs",252866
"494","Weight of Pigs Slaughtered (Tonnes)","1993M09","All Pigs",17537
"495","Average Pig Carcass Weight (Kg)","1993M09","All Pigs",69.4
"496","Pigs Slaughtered (Number)","1993M10","All Pigs",228861
"497","Weight of Pigs Slaughtered (Tonnes)","1993M10","All Pigs",15997
"498","Average Pig Carcass Weight (Kg)","1993M10","All Pigs",69.9
"499","Pigs Slaughtered (Number)","1993M11","All Pigs",249779
"500","Weight of Pigs Slaughtered (Tonnes)","1993M11","All Pigs",17370
"501","Average Pig Carcass Weight (Kg)","1993M11","All Pigs",69.5
"502","Pigs Slaughtered (Number)","1993M12","All Pigs",220347
"503","Weight of Pigs Slaughtered (Tonnes)","1993M12","All Pigs",15234
"504","Average Pig Carcass Weight (Kg)","1993M12","All Pigs",69.1
"505","Pigs Slaughtered (Number)","1994M01","All Pigs",211625
"506","Weight of Pigs Slaughtered (Tonnes)","1994M01","All Pigs",15149
"507","Average Pig Carcass Weight (Kg)","1994M01","All Pigs",71.6
"508","Pigs Slaughtered (Number)","1994M02","All Pigs",194630
"509","Weight of Pigs Slaughtered (Tonnes)","1994M02","All Pigs",13742
"510","Average Pig Carcass Weight (Kg)","1994M02","All Pigs",70.6
"511","Pigs Slaughtered (Number)","1994M03","All Pigs",243622
"512","Weight of Pigs Slaughtered (Tonnes)","1994M03","All Pigs",17273
"513","Average Pig Carcass Weight (Kg)","1994M03","All Pigs",70.9
"514","Pigs Slaughtered (Number)","1994M04","All Pigs",214116
"515","Weight of Pigs Slaughtered (Tonnes)","1994M04","All Pigs",15060
"516","Average Pig Carcass Weight (Kg)","1994M04","All Pigs",70.3
"517","Pigs Slaughtered (Number)","1994M05","All Pigs",216969
"518","Weight of Pigs Slaughtered (Tonnes)","1994M05","All Pigs",15143
"519","Average Pig Carcass Weight (Kg)","1994M05","All Pigs",69.8
"520","Pigs Slaughtered (Number)","1994M06","All Pigs",243957
"521","Weight of Pigs Slaughtered (Tonnes)","1994M06","All Pigs",17033
"522","Average Pig Carcass Weight (Kg)","1994M06","All Pigs",69.8
"523","Pigs Slaughtered (Number)","1994M07","All Pigs",230749
"524","Weight of Pigs Slaughtered (Tonnes)","1994M07","All Pigs",15940
"525","Average Pig Carcass Weight (Kg)","1994M07","All Pigs",69.1
"526","Pigs Slaughtered (Number)","1994M08","All Pigs",242346
"527","Weight of Pigs Slaughtered (Tonnes)","1994M08","All Pigs",16814
"528","Average Pig Carcass Weight (Kg)","1994M08","All Pigs",69.4
"529","Pigs Slaughtered (Number)","1994M09","All Pigs",245399
"530","Weight of Pigs Slaughtered (Tonnes)","1994M09","All Pigs",16630
"531","Average Pig Carcass Weight (Kg)","1994M09","All Pigs",67.8
"532","Pigs Slaughtered (Number)","1994M10","All Pigs",228192
"533","Weight of Pigs Slaughtered (Tonnes)","1994M10","All Pigs",15925
"534","Average Pig Carcass Weight (Kg)","1994M10","All Pigs",69.8
"535","Pigs Slaughtered (Number)","1994M11","All Pigs",252182
"536","Weight of Pigs Slaughtered (Tonnes)","1994M11","All Pigs",17759
"537","Average Pig Carcass Weight (Kg)","1994M11","All Pigs",70.4
"538","Pigs Slaughtered (Number)","1994M12","All Pigs",237027
"539","Weight of Pigs Slaughtered (Tonnes)","1994M12","All Pigs",16418
"540","Average Pig Carcass Weight (Kg)","1994M12","All Pigs",69.3
"541","Pigs Slaughtered (Number)","1995M01","All Pigs",238155
"542","Weight of Pigs Slaughtered (Tonnes)","1995M01","All Pigs",17200
"543","Average Pig Carcass Weight (Kg)","1995M01","All Pigs",72.2
"544","Pigs Slaughtered (Number)","1995M02","All Pigs",210128
"545","Weight of Pigs Slaughtered (Tonnes)","1995M02","All Pigs",14948
"546","Average Pig Carcass Weight (Kg)","1995M02","All Pigs",71.1
"547","Pigs Slaughtered (Number)","1995M03","All Pigs",229318
"548","Weight of Pigs Slaughtered (Tonnes)","1995M03","All Pigs",16421
"549","Average Pig Carcass Weight (Kg)","1995M03","All Pigs",71.6
"550","Pigs Slaughtered (Number)","1995M04","All Pigs",204327
"551","Weight of Pigs Slaughtered (Tonnes)","1995M04","All Pigs",14460
"552","Average Pig Carcass Weight (Kg)","1995M04","All Pigs",70.8
"553","Pigs Slaughtered (Number)","1995M05","All Pigs",229737
"554","Weight of Pigs Slaughtered (Tonnes)","1995M05","All Pigs",16095
"555","Average Pig Carcass Weight (Kg)","1995M05","All Pigs",70.1
"556","Pigs Slaughtered (Number)","1995M06","All Pigs",229146
"557","Weight of Pigs Slaughtered (Tonnes)","1995M06","All Pigs",16033
"558","Average Pig Carcass Weight (Kg)","1995M06","All Pigs",70
"559","Pigs Slaughtered (Number)","1995M07","All Pigs",211790
"560","Weight of Pigs Slaughtered (Tonnes)","1995M07","All Pigs",14679
"561","Average Pig Carcass Weight (Kg)","1995M07","All Pigs",69.3
"562","Pigs Slaughtered (Number)","1995M08","All Pigs",234447
"563","Weight of Pigs Slaughtered (Tonnes)","1995M08","All Pigs",16294
"564","Average Pig Carcass Weight (Kg)","1995M08","All Pigs",69.5
"565","Pigs Slaughtered (Number)","1995M09","All Pigs",221926
"566","Weight of Pigs Slaughtered (Tonnes)","1995M09","All Pigs",15640
"567","Average Pig Carcass Weight (Kg)","1995M09","All Pigs",70.5
"568","Pigs Slaughtered (Number)","1995M10","All Pigs",231935
"569","Weight of Pigs Slaughtered (Tonnes)","1995M10","All Pigs",16563
"570","Average Pig Carcass Weight (Kg)","1995M10","All Pigs",71.4
"571","Pigs Slaughtered (Number)","1995M11","All Pigs",239129
"572","Weight of Pigs Slaughtered (Tonnes)","1995M11","All Pigs",17130
"573","Average Pig Carcass Weight (Kg)","1995M11","All Pigs",71.6
"574","Pigs Slaughtered (Number)","1995M12","All Pigs",197665
"575","Weight of Pigs Slaughtered (Tonnes)","1995M12","All Pigs",14056
"576","Average Pig Carcass Weight (Kg)","1995M12","All Pigs",71.1
"577","Pigs Slaughtered (Number)","1996M01","All Pigs",238162
"578","Weight of Pigs Slaughtered (Tonnes)","1996M01","All Pigs",17471
"579","Average Pig Carcass Weight (Kg)","1996M01","All Pigs",73.4
"580","Pigs Slaughtered (Number)","1996M02","All Pigs",210688
"581","Weight of Pigs Slaughtered (Tonnes)","1996M02","All Pigs",15337
"582","Average Pig Carcass Weight (Kg)","1996M02","All Pigs",72.8
"583","Pigs Slaughtered (Number)","1996M03","All Pigs",199111
"584","Weight of Pigs Slaughtered (Tonnes)","1996M03","All Pigs",14576
"585","Average Pig Carcass Weight (Kg)","1996M03","All Pigs",73.2
"586","Pigs Slaughtered (Number)","1996M04","All Pigs",206997
"587","Weight of Pigs Slaughtered (Tonnes)","1996M04","All Pigs",15175
"588","Average Pig Carcass Weight (Kg)","1996M04","All Pigs",73.3
"589","Pigs Slaughtered (Number)","1996M05","All Pigs",216980
"590","Weight of Pigs Slaughtered (Tonnes)","1996M05","All Pigs",15799
"591","Average Pig Carcass Weight (Kg)","1996M05","All Pigs",72.8
"592","Pigs Slaughtered (Number)","1996M06","All Pigs",185905
"593","Weight of Pigs Slaughtered (Tonnes)","1996M06","All Pigs",13477
"594","Average Pig Carcass Weight (Kg)","1996M06","All Pigs",72.5
"595","Pigs Slaughtered (Number)","1996M07","All Pigs",230837
"596","Weight of Pigs Slaughtered (Tonnes)","1996M07","All Pigs",16530
"597","Average Pig Carcass Weight (Kg)","1996M07","All Pigs",71.6
"598","Pigs Slaughtered (Number)","1996M08","All Pigs",210027
"599","Weight of Pigs Slaughtered (Tonnes)","1996M08","All Pigs",15101
"600","Average Pig Carcass Weight (Kg)","1996M08","All Pigs",71.9
"601","Pigs Slaughtered (Number)","1996M09","All Pigs",213835
"602","Weight of Pigs Slaughtered (Tonnes)","1996M09","All Pigs",15574
"603","Average Pig Carcass Weight (Kg)","1996M09","All Pigs",72.8
"604","Pigs Slaughtered (Number)","1996M10","All Pigs",238311
"605","Weight of Pigs Slaughtered (Tonnes)","1996M10","All Pigs",17563
"606","Average Pig Carcass Weight (Kg)","1996M10","All Pigs",73.7
"607","Pigs Slaughtered (Number)","1996M11","All Pigs",225935
"608","Weight of Pigs Slaughtered (Tonnes)","1996M11","All Pigs",16388
"609","Average Pig Carcass Weight (Kg)","1996M11","All Pigs",72.5
"610","Pigs Slaughtered (Number)","1996M12","All Pigs",202308
"611","Weight of Pigs Slaughtered (Tonnes)","1996M12","All Pigs",14484
"612","Average Pig Carcass Weight (Kg)","1996M12","All Pigs",71.6
"613","Pigs Slaughtered (Number)","1997M01","All Pigs",236863
"614","Weight of Pigs Slaughtered (Tonnes)","1997M01","All Pigs",17452
"615","Average Pig Carcass Weight (Kg)","1997M01","All Pigs",73.7
"616","Pigs Slaughtered (Number)","1997M02","All Pigs",209278
"617","Weight of Pigs Slaughtered (Tonnes)","1997M02","All Pigs",15246
"618","Average Pig Carcass Weight (Kg)","1997M02","All Pigs",72.9
"619","Pigs Slaughtered (Number)","1997M03","All Pigs",210816
"620","Weight of Pigs Slaughtered (Tonnes)","1997M03","All Pigs",15282
"621","Average Pig Carcass Weight (Kg)","1997M03","All Pigs",72.5
"622","Pigs Slaughtered (Number)","1997M04","All Pigs",235554
"623","Weight of Pigs Slaughtered (Tonnes)","1997M04","All Pigs",17038
"624","Average Pig Carcass Weight (Kg)","1997M04","All Pigs",72.3
"625","Pigs Slaughtered (Number)","1997M05","All Pigs",226965
"626","Weight of Pigs Slaughtered (Tonnes)","1997M05","All Pigs",16538
"627","Average Pig Carcass Weight (Kg)","1997M05","All Pigs",72.9
"628","Pigs Slaughtered (Number)","1997M06","All Pigs",212369
"629","Weight of Pigs Slaughtered (Tonnes)","1997M06","All Pigs",15044
"630","Average Pig Carcass Weight (Kg)","1997M06","All Pigs",70.8
"631","Pigs Slaughtered (Number)","1997M07","All Pigs",221969
"632","Weight of Pigs Slaughtered (Tonnes)","1997M07","All Pigs",15912
"633","Average Pig Carcass Weight (Kg)","1997M07","All Pigs",71.7
"634","Pigs Slaughtered (Number)","1997M08","All Pigs",212401
"635","Weight of Pigs Slaughtered (Tonnes)","1997M08","All Pigs",15230
"636","Average Pig Carcass Weight (Kg)","1997M08","All Pigs",71.7
"637","Pigs Slaughtered (Number)","1997M09","All Pigs",236246
"638","Weight of Pigs Slaughtered (Tonnes)","1997M09","All Pigs",17078
"639","Average Pig Carcass Weight (Kg)","1997M09","All Pigs",72.3
"640","Pigs Slaughtered (Number)","1997M10","All Pigs",244843
"641","Weight of Pigs Slaughtered (Tonnes)","1997M10","All Pigs",18030
"642","Average Pig Carcass Weight (Kg)","1997M10","All Pigs",73.6
"643","Pigs Slaughtered (Number)","1997M11","All Pigs",233244
"644","Weight of Pigs Slaughtered (Tonnes)","1997M11","All Pigs",16836
"645","Average Pig Carcass Weight (Kg)","1997M11","All Pigs",72.2
"646","Pigs Slaughtered (Number)","1997M12","All Pigs",219428
"647","Weight of Pigs Slaughtered (Tonnes)","1997M12","All Pigs",15766
"648","Average Pig Carcass Weight (Kg)","1997M12","All Pigs",71.8
"649","Pigs Slaughtered (Number)","1998M01","All Pigs",231739
"650","Weight of Pigs Slaughtered (Tonnes)","1998M01","All Pigs",16795
"651","Average Pig Carcass Weight (Kg)","1998M01","All Pigs",72.5
"652","Pigs Slaughtered (Number)","1998M02","All Pigs",220397
"653","Weight of Pigs Slaughtered (Tonnes)","1998M02","All Pigs",15877
"654","Average Pig Carcass Weight (Kg)","1998M02","All Pigs",72
"655","Pigs Slaughtered (Number)","1998M03","All Pigs",240413
"656","Weight of Pigs Slaughtered (Tonnes)","1998M03","All Pigs",17276
"657","Average Pig Carcass Weight (Kg)","1998M03","All Pigs",71.9
"658","Pigs Slaughtered (Number)","1998M04","All Pigs",241120
"659","Weight of Pigs Slaughtered (Tonnes)","1998M04","All Pigs",17274
"660","Average Pig Carcass Weight (Kg)","1998M04","All Pigs",71.6
"661","Pigs Slaughtered (Number)","1998M05","All Pigs",221545
"662","Weight of Pigs Slaughtered (Tonnes)","1998M05","All Pigs",15811
"663","Average Pig Carcass Weight (Kg)","1998M05","All Pigs",71.4
"664","Pigs Slaughtered (Number)","1998M06","All Pigs",245482
"665","Weight of Pigs Slaughtered (Tonnes)","1998M06","All Pigs",17247
"666","Average Pig Carcass Weight (Kg)","1998M06","All Pigs",70.3
"667","Pigs Slaughtered (Number)","1998M07","All Pigs",265468
"668","Weight of Pigs Slaughtered (Tonnes)","1998M07","All Pigs",18613
"669","Average Pig Carcass Weight (Kg)","1998M07","All Pigs",70.1
"670","Pigs Slaughtered (Number)","1998M08","All Pigs",256199
"671","Weight of Pigs Slaughtered (Tonnes)","1998M08","All Pigs",18104
"672","Average Pig Carcass Weight (Kg)","1998M08","All Pigs",70.7
"673","Pigs Slaughtered (Number)","1998M09","All Pigs",291837
"674","Weight of Pigs Slaughtered (Tonnes)","1998M09","All Pigs",20801
"675","Average Pig Carcass Weight (Kg)","1998M09","All Pigs",71.3
"676","Pigs Slaughtered (Number)","1998M10","All Pigs",266235
"677","Weight of Pigs Slaughtered (Tonnes)","1998M10","All Pigs",19528
"678","Average Pig Carcass Weight (Kg)","1998M10","All Pigs",73.3
"679","Pigs Slaughtered (Number)","1998M11","All Pigs",284925
"680","Weight of Pigs Slaughtered (Tonnes)","1998M11","All Pigs",20919
"681","Average Pig Carcass Weight (Kg)","1998M11","All Pigs",73.4
"682","Pigs Slaughtered (Number)","1998M12","All Pigs",263551
"683","Weight of Pigs Slaughtered (Tonnes)","1998M12","All Pigs",19133
"684","Average Pig Carcass Weight (Kg)","1998M12","All Pigs",72.6
