"","Statistic","Year","Type.of.Animal","value"
"319","Number of Animals Slaughtered (000 Head)","2001","Cattle (Including Calves)",1893.2
"320","Weight of Animals Slaughtered (000 Tonnes)","2001","Cattle (Including Calves)",579.3
"321","Number of Animals Slaughtered (000 Head)","2002","Cattle (Including Calves)",1781.7
"322","Weight of Animals Slaughtered (000 Tonnes)","2002","Cattle (Including Calves)",540.1
"323","Number of Animals Slaughtered (000 Head)","1980","Pigs",2385.2
"324","Weight of Animals Slaughtered (000 Tonnes)","1980","Pigs",NA
"325","Number of Animals Slaughtered (000 Head)","1981","Pigs",2353.1
"326","Weight of Animals Slaughtered (000 Tonnes)","1981","Pigs",NA
"327","Number of Animals Slaughtered (000 Head)","1982","Pigs",2381
"328","Weight of Animals Slaughtered (000 Tonnes)","1982","Pigs",NA
"329","Number of Animals Slaughtered (000 Head)","1983","Pigs",2519.9
"330","Weight of Animals Slaughtered (000 Tonnes)","1983","Pigs",NA
"331","Number of Animals Slaughtered (000 Head)","1984","Pigs",2224.5
"332","Weight of Animals Slaughtered (000 Tonnes)","1984","Pigs",NA
"333","Number of Animals Slaughtered (000 Head)","1985","Pigs",2118.8
"334","Weight of Animals Slaughtered (000 Tonnes)","1985","Pigs",NA
"335","Number of Animals Slaughtered (000 Head)","1986","Pigs",2178.4
"336","Weight of Animals Slaughtered (000 Tonnes)","1986","Pigs",NA
"337","Number of Animals Slaughtered (000 Head)","1987","Pigs",2246
"338","Weight of Animals Slaughtered (000 Tonnes)","1987","Pigs",NA
"339","Number of Animals Slaughtered (000 Head)","1988","Pigs",2294.8
"340","Weight of Animals Slaughtered (000 Tonnes)","1988","Pigs",NA
"341","Number of Animals Slaughtered (000 Head)","1989","Pigs",2227.8
"342","Weight of Animals Slaughtered (000 Tonnes)","1989","Pigs",NA
"343","Number of Animals Slaughtered (000 Head)","1990","Pigs",2375.3
"344","Weight of Animals Slaughtered (000 Tonnes)","1990","Pigs",NA
"345","Number of Animals Slaughtered (000 Head)","1991","Pigs",2688.4
"346","Weight of Animals Slaughtered (000 Tonnes)","1991","Pigs",179.6
"347","Number of Animals Slaughtered (000 Head)","1992","Pigs",2964.4
"348","Weight of Animals Slaughtered (000 Tonnes)","1992","Pigs",202.3
"349","Number of Animals Slaughtered (000 Head)","1993","Pigs",3070.1
"350","Weight of Animals Slaughtered (000 Tonnes)","1993","Pigs",212
"351","Number of Animals Slaughtered (000 Head)","1994","Pigs",3086.1
"352","Weight of Animals Slaughtered (000 Tonnes)","1994","Pigs",214.8
"353","Number of Animals Slaughtered (000 Head)","1995","Pigs",3002.6
"354","Weight of Animals Slaughtered (000 Tonnes)","1995","Pigs",211.2
"355","Number of Animals Slaughtered (000 Head)","1996","Pigs",2926.6
"356","Weight of Animals Slaughtered (000 Tonnes)","1996","Pigs",210.7
"357","Number of Animals Slaughtered (000 Head)","1997","Pigs",3065.4
"358","Weight of Animals Slaughtered (000 Tonnes)","1997","Pigs",219.9
"359","Number of Animals Slaughtered (000 Head)","1998","Pigs",3391.6
