"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"14351","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M12","Horses and Asses",0.3
"14352","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M12","Horses and Asses",0.1
"14353","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M01","Horses and Asses",0.8
"14354","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M01","Horses and Asses",0.2
"14355","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M01","Horses and Asses",0.3
"14356","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M01","Horses and Asses",0.1
"14357","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M01","Horses and Asses",0.3
"14358","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M01","Horses and Asses",0.1
"14359","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M01","Horses and Asses",0.1
"14360","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M01","Horses and Asses",0
"14361","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M02","Horses and Asses",0.8
"14362","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M02","Horses and Asses",0.2
"14363","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M02","Horses and Asses",0.2
"14364","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M02","Horses and Asses",0.1
"14365","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M02","Horses and Asses",0.2
"14366","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M02","Horses and Asses",0.1
"14367","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M02","Horses and Asses",0.2
"14368","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M02","Horses and Asses",0
"14369","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M03","Horses and Asses",0.8
"14370","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M03","Horses and Asses",0.2
"14371","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M03","Horses and Asses",0.2
"14372","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M03","Horses and Asses",0
"14373","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M03","Horses and Asses",0.2
"14374","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M03","Horses and Asses",0
"14375","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M03","Horses and Asses",0.2
"14376","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M03","Horses and Asses",0
"14377","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M04","Horses and Asses",0.7
"14378","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M04","Horses and Asses",0.2
"14379","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M04","Horses and Asses",0.1
"14380","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M04","Horses and Asses",0
"14381","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M04","Horses and Asses",0.1
"14382","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M04","Horses and Asses",0
"14383","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M04","Horses and Asses",0.1
"14384","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M04","Horses and Asses",0
"14385","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M05","Horses and Asses",0.8
"14386","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M05","Horses and Asses",0.2
"14387","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M05","Horses and Asses",0.2
"14388","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M05","Horses and Asses",0
"14389","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M05","Horses and Asses",0.2
"14390","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M05","Horses and Asses",0
"14391","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M05","Horses and Asses",0.1
"14392","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M05","Horses and Asses",0
"14393","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M06","Horses and Asses",0.8
"14394","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M06","Horses and Asses",0.2
"14395","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M06","Horses and Asses",0.2
"14396","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M06","Horses and Asses",0
"14397","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M06","Horses and Asses",0.2
"14398","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M06","Horses and Asses",0
"14399","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M06","Horses and Asses",0.3
"14400","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M06","Horses and Asses",0.1
"14401","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M07","Horses and Asses",0.8
"14402","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M07","Horses and Asses",0.2
"14403","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M07","Horses and Asses",0.2
"14404","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M07","Horses and Asses",0
"14405","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M07","Horses and Asses",0.1
"14406","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M07","Horses and Asses",0
"14407","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M07","Horses and Asses",0.3
"14408","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M07","Horses and Asses",0.1
"14409","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M08","Horses and Asses",0.6
"14410","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M08","Horses and Asses",0.2
"14411","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M08","Horses and Asses",0.2
"14412","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M08","Horses and Asses",0
"14413","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M08","Horses and Asses",0.2
"14414","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M08","Horses and Asses",0
"14415","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M08","Horses and Asses",0.2
"14416","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M08","Horses and Asses",0.1
"14417","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M09","Horses and Asses",1.1
"14418","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M09","Horses and Asses",0.3
"14419","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M09","Horses and Asses",0.2
"14420","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M09","Horses and Asses",0
"14421","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M09","Horses and Asses",0.1
"14422","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M09","Horses and Asses",0
"14423","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M09","Horses and Asses",0.6
"14424","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M09","Horses and Asses",0.1
"14425","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M10","Horses and Asses",1
"14426","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M10","Horses and Asses",0.3
"14427","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M10","Horses and Asses",0.2
"14428","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M10","Horses and Asses",0
"14429","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M10","Horses and Asses",0.2
"14430","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M10","Horses and Asses",0
"14431","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M10","Horses and Asses",0.7
"14432","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M10","Horses and Asses",0.2
"14433","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M11","Horses and Asses",0.9
"14434","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M11","Horses and Asses",0.2
"14435","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M11","Horses and Asses",0.3
"14436","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M11","Horses and Asses",0.1
"14437","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M11","Horses and Asses",0.3
"14438","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M11","Horses and Asses",0.1
"14439","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M11","Horses and Asses",0.7
"14440","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M11","Horses and Asses",0.2
"14441","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M12","Horses and Asses",0.7
"14442","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M12","Horses and Asses",0.2
"14443","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M12","Horses and Asses",0.5
"14444","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M12","Horses and Asses",0.1
"14445","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M12","Horses and Asses",0.5
"14446","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M12","Horses and Asses",0.1
"14447","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M12","Horses and Asses",0.3
"14448","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M12","Horses and Asses",0.1
"14449","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M01","Horses and Asses",0.5
"14450","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M01","Horses and Asses",0.1
"14451","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M01","Horses and Asses",0.3
"14452","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M01","Horses and Asses",0.1
"14453","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M01","Horses and Asses",0.3
"14454","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M01","Horses and Asses",0.1
"14455","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M01","Horses and Asses",0.1
"14456","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M01","Horses and Asses",0
"14457","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M02","Horses and Asses",0.9
"14458","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M02","Horses and Asses",0.2
"14459","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M02","Horses and Asses",0.2
"14460","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M02","Horses and Asses",0
"14461","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M02","Horses and Asses",0.2
"14462","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M02","Horses and Asses",0
"14463","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M02","Horses and Asses",0.2
"14464","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M02","Horses and Asses",0
"14465","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M03","Horses and Asses",0.5
"14466","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M03","Horses and Asses",0.1
"14467","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M03","Horses and Asses",0.3
"14468","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M03","Horses and Asses",0.1
"14469","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M03","Horses and Asses",0.2
"14470","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M03","Horses and Asses",0.1
"14471","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M03","Horses and Asses",0.1
"14472","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M03","Horses and Asses",0
"14473","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M04","Horses and Asses",0.8
"14474","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M04","Horses and Asses",0.2
"14475","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M04","Horses and Asses",0.1
"14476","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M04","Horses and Asses",0
"14477","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M04","Horses and Asses",0.1
