"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"168","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M09","Cattle without Calves",9.9
"169","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M10","Cattle without Calves",151.8
"170","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M10","Cattle without Calves",42.2
"171","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M10","Cattle without Calves",5.3
"172","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M10","Cattle without Calves",1.3
"173","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M10","Cattle without Calves",5.3
"174","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M10","Cattle without Calves",1.3
"175","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M10","Cattle without Calves",56.8
"176","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M10","Cattle without Calves",15.4
"177","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M11","Cattle without Calves",127.7
"178","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M11","Cattle without Calves",34.7
"179","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M11","Cattle without Calves",4.8
"180","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M11","Cattle without Calves",1.2
"181","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M11","Cattle without Calves",4.8
"182","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M11","Cattle without Calves",1.2
"183","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M11","Cattle without Calves",58.1
"184","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M11","Cattle without Calves",15.5
"185","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M12","Cattle without Calves",86.4
