"","Statistic","Month","Type.of.Animal","value"
"8102","Weight of Livestock Slaughtered (000 Tonnes)","1997M03","Sheep",4.1
"8103","Number of Livestock Slaughtered (000 Head)","1997M04","Sheep",315.1
"8104","Weight of Livestock Slaughtered (000 Tonnes)","1997M04","Sheep",6.3
"8105","Number of Livestock Slaughtered (000 Head)","1997M05","Sheep",394
"8106","Weight of Livestock Slaughtered (000 Tonnes)","1997M05","Sheep",7.8
"8107","Number of Livestock Slaughtered (000 Head)","1997M06","Sheep",386.1
"8108","Weight of Livestock Slaughtered (000 Tonnes)","1997M06","Sheep",7.7
"8109","Number of Livestock Slaughtered (000 Head)","1997M07","Sheep",436.3
"8110","Weight of Livestock Slaughtered (000 Tonnes)","1997M07","Sheep",8.7
"8111","Number of Livestock Slaughtered (000 Head)","1997M08","Sheep",370.4
"8112","Weight of Livestock Slaughtered (000 Tonnes)","1997M08","Sheep",7.4
"8113","Number of Livestock Slaughtered (000 Head)","1997M09","Sheep",399.5
"8114","Weight of Livestock Slaughtered (000 Tonnes)","1997M09","Sheep",8
"8115","Number of Livestock Slaughtered (000 Head)","1997M10","Sheep",345.9
"8116","Weight of Livestock Slaughtered (000 Tonnes)","1997M10","Sheep",7
"8117","Number of Livestock Slaughtered (000 Head)","1997M11","Sheep",260.9
"8118","Weight of Livestock Slaughtered (000 Tonnes)","1997M11","Sheep",5.3
"8119","Number of Livestock Slaughtered (000 Head)","1997M12","Sheep",281.2
"8120","Weight of Livestock Slaughtered (000 Tonnes)","1997M12","Sheep",5.6
"8121","Number of Livestock Slaughtered (000 Head)","1998M01","Sheep",250.9
"8122","Weight of Livestock Slaughtered (000 Tonnes)","1998M01","Sheep",5.1
"8123","Number of Livestock Slaughtered (000 Head)","1998M02","Sheep",197.2
"8124","Weight of Livestock Slaughtered (000 Tonnes)","1998M02","Sheep",4
"8125","Number of Livestock Slaughtered (000 Head)","1998M03","Sheep",270.1
"8126","Weight of Livestock Slaughtered (000 Tonnes)","1998M03","Sheep",5.4
"8127","Number of Livestock Slaughtered (000 Head)","1998M04","Sheep",325.3
"8128","Weight of Livestock Slaughtered (000 Tonnes)","1998M04","Sheep",6.5
"8129","Number of Livestock Slaughtered (000 Head)","1998M05","Sheep",411.9
"8130","Weight of Livestock Slaughtered (000 Tonnes)","1998M05","Sheep",8.1
"8131","Number of Livestock Slaughtered (000 Head)","1998M06","Sheep",436.8
"8132","Weight of Livestock Slaughtered (000 Tonnes)","1998M06","Sheep",8.6
"8133","Number of Livestock Slaughtered (000 Head)","1998M07","Sheep",488.7
"8134","Weight of Livestock Slaughtered (000 Tonnes)","1998M07","Sheep",9.6
"8135","Number of Livestock Slaughtered (000 Head)","1998M08","Sheep",431.6
"8136","Weight of Livestock Slaughtered (000 Tonnes)","1998M08","Sheep",8.6
"8137","Number of Livestock Slaughtered (000 Head)","1998M09","Sheep",387.5
"8138","Weight of Livestock Slaughtered (000 Tonnes)","1998M09","Sheep",7.8
"8139","Number of Livestock Slaughtered (000 Head)","1998M10","Sheep",373.3
"8140","Weight of Livestock Slaughtered (000 Tonnes)","1998M10","Sheep",7.5
"8141","Number of Livestock Slaughtered (000 Head)","1998M11","Sheep",380.9
"8142","Weight of Livestock Slaughtered (000 Tonnes)","1998M11","Sheep",8
"8143","Number of Livestock Slaughtered (000 Head)","1998M12","Sheep",371.1
"8144","Weight of Livestock Slaughtered (000 Tonnes)","1998M12","Sheep",7.5
"8145","Number of Livestock Slaughtered (000 Head)","1999M01","Sheep",264.8
"8146","Weight of Livestock Slaughtered (000 Tonnes)","1999M01","Sheep",5.3
"8147","Number of Livestock Slaughtered (000 Head)","1999M02","Sheep",224.9
"8148","Weight of Livestock Slaughtered (000 Tonnes)","1999M02","Sheep",4.5
"8149","Number of Livestock Slaughtered (000 Head)","1999M03","Sheep",289.9
"8150","Weight of Livestock Slaughtered (000 Tonnes)","1999M03","Sheep",5.8
"8151","Number of Livestock Slaughtered (000 Head)","1999M04","Sheep",347.5
"8152","Weight of Livestock Slaughtered (000 Tonnes)","1999M04","Sheep",7
"8153","Number of Livestock Slaughtered (000 Head)","1999M05","Sheep",407.6
"8154","Weight of Livestock Slaughtered (000 Tonnes)","1999M05","Sheep",8.1
"8155","Number of Livestock Slaughtered (000 Head)","1999M06","Sheep",505.2
"8156","Weight of Livestock Slaughtered (000 Tonnes)","1999M06","Sheep",9.9
"8157","Number of Livestock Slaughtered (000 Head)","1999M07","Sheep",457.6
"8158","Weight of Livestock Slaughtered (000 Tonnes)","1999M07","Sheep",9
"8159","Number of Livestock Slaughtered (000 Head)","1999M08","Sheep",436.6
"8160","Weight of Livestock Slaughtered (000 Tonnes)","1999M08","Sheep",8.8
"8161","Number of Livestock Slaughtered (000 Head)","1999M09","Sheep",420.9
"8162","Weight of Livestock Slaughtered (000 Tonnes)","1999M09","Sheep",8.5
"8163","Number of Livestock Slaughtered (000 Head)","1999M10","Sheep",422.1
"8164","Weight of Livestock Slaughtered (000 Tonnes)","1999M10","Sheep",8.5
"8165","Number of Livestock Slaughtered (000 Head)","1999M11","Sheep",368.7
"8166","Weight of Livestock Slaughtered (000 Tonnes)","1999M11","Sheep",7.4
"8167","Number of Livestock Slaughtered (000 Head)","1999M12","Sheep",377.6
"8168","Weight of Livestock Slaughtered (000 Tonnes)","1999M12","Sheep",7.5
"8169","Number of Livestock Slaughtered (000 Head)","2000M01","Sheep",258.9
"8170","Weight of Livestock Slaughtered (000 Tonnes)","2000M01","Sheep",5.2
"8171","Number of Livestock Slaughtered (000 Head)","2000M02","Sheep",214.8
"8172","Weight of Livestock Slaughtered (000 Tonnes)","2000M02","Sheep",4.4
"8173","Number of Livestock Slaughtered (000 Head)","2000M03","Sheep",203.5
"8174","Weight of Livestock Slaughtered (000 Tonnes)","2000M03","Sheep",4.2
"8175","Number of Livestock Slaughtered (000 Head)","2000M04","Sheep",252.6
"8176","Weight of Livestock Slaughtered (000 Tonnes)","2000M04","Sheep",5.1
"8177","Number of Livestock Slaughtered (000 Head)","2000M05","Sheep",466.8
"8178","Weight of Livestock Slaughtered (000 Tonnes)","2000M05","Sheep",9.3
"8179","Number of Livestock Slaughtered (000 Head)","2000M06","Sheep",487.1
"8180","Weight of Livestock Slaughtered (000 Tonnes)","2000M06","Sheep",9.6
"8181","Number of Livestock Slaughtered (000 Head)","2000M07","Sheep",444.6
"8182","Weight of Livestock Slaughtered (000 Tonnes)","2000M07","Sheep",8.9
"8183","Number of Livestock Slaughtered (000 Head)","2000M08","Sheep",426.1
"8184","Weight of Livestock Slaughtered (000 Tonnes)","2000M08","Sheep",8.6
"8185","Number of Livestock Slaughtered (000 Head)","2000M09","Sheep",345.2
"8186","Weight of Livestock Slaughtered (000 Tonnes)","2000M09","Sheep",7
"8187","Number of Livestock Slaughtered (000 Head)","2000M10","Sheep",336
"8188","Weight of Livestock Slaughtered (000 Tonnes)","2000M10","Sheep",6.9
"8189","Number of Livestock Slaughtered (000 Head)","2000M11","Sheep",380.6
"8190","Weight of Livestock Slaughtered (000 Tonnes)","2000M11","Sheep",7.7
"8191","Number of Livestock Slaughtered (000 Head)","2000M12","Sheep",300.4
"8192","Weight of Livestock Slaughtered (000 Tonnes)","2000M12","Sheep",6
"8193","Number of Livestock Slaughtered (000 Head)","2001M01","Sheep",258.6
"8194","Weight of Livestock Slaughtered (000 Tonnes)","2001M01","Sheep",5.2
"8195","Number of Livestock Slaughtered (000 Head)","2001M02","Sheep",238.4
"8196","Weight of Livestock Slaughtered (000 Tonnes)","2001M02","Sheep",4.8
"8197","Number of Livestock Slaughtered (000 Head)","2001M03","Sheep",157.2
"8198","Weight of Livestock Slaughtered (000 Tonnes)","2001M03","Sheep",3.2
"8199","Number of Livestock Slaughtered (000 Head)","2001M04","Sheep",273.8
"8200","Weight of Livestock Slaughtered (000 Tonnes)","2001M04","Sheep",5.5
"8201","Number of Livestock Slaughtered (000 Head)","2001M05","Sheep",411.3
"8202","Weight of Livestock Slaughtered (000 Tonnes)","2001M05","Sheep",8.2
"8203","Number of Livestock Slaughtered (000 Head)","2001M06","Sheep",346.8
"8204","Weight of Livestock Slaughtered (000 Tonnes)","2001M06","Sheep",6.9
"8205","Number of Livestock Slaughtered (000 Head)","2001M07","Sheep",399.6
"8206","Weight of Livestock Slaughtered (000 Tonnes)","2001M07","Sheep",7.9
"8207","Number of Livestock Slaughtered (000 Head)","2001M08","Sheep",456.5
"8208","Weight of Livestock Slaughtered (000 Tonnes)","2001M08","Sheep",9.1
"8209","Number of Livestock Slaughtered (000 Head)","2001M09","Sheep",388.2
"8210","Weight of Livestock Slaughtered (000 Tonnes)","2001M09","Sheep",7.8
"8211","Number of Livestock Slaughtered (000 Head)","2001M10","Sheep",408.4
"8212","Weight of Livestock Slaughtered (000 Tonnes)","2001M10","Sheep",8.2
"8213","Number of Livestock Slaughtered (000 Head)","2001M11","Sheep",347.1
"8214","Weight of Livestock Slaughtered (000 Tonnes)","2001M11","Sheep",6.9
"8215","Number of Livestock Slaughtered (000 Head)","2001M12","Sheep",217
"8216","Weight of Livestock Slaughtered (000 Tonnes)","2001M12","Sheep",4.4
"8217","Number of Livestock Slaughtered (000 Head)","2002M01","Sheep",159.5
"8218","Weight of Livestock Slaughtered (000 Tonnes)","2002M01","Sheep",3.3
"8219","Number of Livestock Slaughtered (000 Head)","2002M02","Sheep",97
"8220","Weight of Livestock Slaughtered (000 Tonnes)","2002M02","Sheep",2
"8221","Number of Livestock Slaughtered (000 Head)","2002M03","Sheep",114.4
"8222","Weight of Livestock Slaughtered (000 Tonnes)","2002M03","Sheep",2.4
"8223","Number of Livestock Slaughtered (000 Head)","2002M04","Sheep",202.5
"8224","Weight of Livestock Slaughtered (000 Tonnes)","2002M04","Sheep",4.1
"8225","Number of Livestock Slaughtered (000 Head)","2002M05","Sheep",325.8
"8226","Weight of Livestock Slaughtered (000 Tonnes)","2002M05","Sheep",6.5
"8227","Number of Livestock Slaughtered (000 Head)","2002M06","Sheep",329.5
"8228","Weight of Livestock Slaughtered (000 Tonnes)","2002M06","Sheep",6.5
"8229","Number of Livestock Slaughtered (000 Head)","2002M07","Sheep",427.9
"8230","Weight of Livestock Slaughtered (000 Tonnes)","2002M07","Sheep",8.5
"8231","Number of Livestock Slaughtered (000 Head)","2002M08","Sheep",391.7
"8232","Weight of Livestock Slaughtered (000 Tonnes)","2002M08","Sheep",7.8
"8233","Number of Livestock Slaughtered (000 Head)","2002M09","Sheep",337.2
"8234","Weight of Livestock Slaughtered (000 Tonnes)","2002M09","Sheep",6.8
"8235","Number of Livestock Slaughtered (000 Head)","2002M10","Sheep",336.1
"8236","Weight of Livestock Slaughtered (000 Tonnes)","2002M10","Sheep",6.8
"8237","Number of Livestock Slaughtered (000 Head)","2002M11","Sheep",314.2
"8238","Weight of Livestock Slaughtered (000 Tonnes)","2002M11","Sheep",6.4
"8239","Number of Livestock Slaughtered (000 Head)","2002M12","Sheep",271.7
"8240","Weight of Livestock Slaughtered (000 Tonnes)","2002M12","Sheep",5.4
"8241","Number of Livestock Slaughtered (000 Head)","2003M01","Sheep",234.5
"8242","Weight of Livestock Slaughtered (000 Tonnes)","2003M01","Sheep",4.7
"8243","Number of Livestock Slaughtered (000 Head)","2003M02","Sheep",180.1
"8244","Weight of Livestock Slaughtered (000 Tonnes)","2003M02","Sheep",3.6
"8245","Number of Livestock Slaughtered (000 Head)","2003M03","Sheep",144.8
"8246","Weight of Livestock Slaughtered (000 Tonnes)","2003M03","Sheep",2.9
"8247","Number of Livestock Slaughtered (000 Head)","2003M04","Sheep",247.6
"8248","Weight of Livestock Slaughtered (000 Tonnes)","2003M04","Sheep",5
"8249","Number of Livestock Slaughtered (000 Head)","2003M05","Sheep",311
"8250","Weight of Livestock Slaughtered (000 Tonnes)","2003M05","Sheep",6.2
"8251","Number of Livestock Slaughtered (000 Head)","2003M06","Sheep",297.8
"8252","Weight of Livestock Slaughtered (000 Tonnes)","2003M06","Sheep",5.9
"8253","Number of Livestock Slaughtered (000 Head)","2003M07","Sheep",332.9
"8254","Weight of Livestock Slaughtered (000 Tonnes)","2003M07","Sheep",6.6
"8255","Number of Livestock Slaughtered (000 Head)","2003M08","Sheep",305.6
"8256","Weight of Livestock Slaughtered (000 Tonnes)","2003M08","Sheep",6.1
"8257","Number of Livestock Slaughtered (000 Head)","2003M09","Sheep",329.9
"8258","Weight of Livestock Slaughtered (000 Tonnes)","2003M09","Sheep",6.7
"8259","Number of Livestock Slaughtered (000 Head)","2003M10","Sheep",281.3
"8260","Weight of Livestock Slaughtered (000 Tonnes)","2003M10","Sheep",5.7
"8261","Number of Livestock Slaughtered (000 Head)","2003M11","Sheep",238.8
"8262","Weight of Livestock Slaughtered (000 Tonnes)","2003M11","Sheep",4.8
"8263","Number of Livestock Slaughtered (000 Head)","2003M12","Sheep",254.7
"8264","Weight of Livestock Slaughtered (000 Tonnes)","2003M12","Sheep",5.1
"8265","Number of Livestock Slaughtered (000 Head)","2004M01","Sheep",234.2
"8266","Weight of Livestock Slaughtered (000 Tonnes)","2004M01","Sheep",4.7
"8267","Number of Livestock Slaughtered (000 Head)","2004M02","Sheep",177.2
"8268","Weight of Livestock Slaughtered (000 Tonnes)","2004M02","Sheep",3.6
"8269","Number of Livestock Slaughtered (000 Head)","2004M03","Sheep",198.4
"8270","Weight of Livestock Slaughtered (000 Tonnes)","2004M03","Sheep",4
"8271","Number of Livestock Slaughtered (000 Head)","2004M04","Sheep",270.8
"8272","Weight of Livestock Slaughtered (000 Tonnes)","2004M04","Sheep",5.5
"8273","Number of Livestock Slaughtered (000 Head)","2004M05","Sheep",303.5
"8274","Weight of Livestock Slaughtered (000 Tonnes)","2004M05","Sheep",6
"8275","Number of Livestock Slaughtered (000 Head)","2004M06","Sheep",331.7
"8276","Weight of Livestock Slaughtered (000 Tonnes)","2004M06","Sheep",6.6
"8277","Number of Livestock Slaughtered (000 Head)","2004M07","Sheep",346.8
"8278","Weight of Livestock Slaughtered (000 Tonnes)","2004M07","Sheep",7
"8279","Number of Livestock Slaughtered (000 Head)","2004M08","Sheep",353.9
"8280","Weight of Livestock Slaughtered (000 Tonnes)","2004M08","Sheep",7.1
"8281","Number of Livestock Slaughtered (000 Head)","2004M09","Sheep",379.4
"8282","Weight of Livestock Slaughtered (000 Tonnes)","2004M09","Sheep",7.7
"8283","Number of Livestock Slaughtered (000 Head)","2004M10","Sheep",346.6
"8284","Weight of Livestock Slaughtered (000 Tonnes)","2004M10","Sheep",7
"8285","Number of Livestock Slaughtered (000 Head)","2004M11","Sheep",317.1
"8286","Weight of Livestock Slaughtered (000 Tonnes)","2004M11","Sheep",6.4
"8287","Number of Livestock Slaughtered (000 Head)","2004M12","Sheep",305.8
"8288","Weight of Livestock Slaughtered (000 Tonnes)","2004M12","Sheep",6.2
"8289","Number of Livestock Slaughtered (000 Head)","2005M01","Sheep",244.3
"8290","Weight of Livestock Slaughtered (000 Tonnes)","2005M01","Sheep",5
"8291","Number of Livestock Slaughtered (000 Head)","2005M02","Sheep",215.2
"8292","Weight of Livestock Slaughtered (000 Tonnes)","2005M02","Sheep",4.4
"8293","Number of Livestock Slaughtered (000 Head)","2005M03","Sheep",272.6
"8294","Weight of Livestock Slaughtered (000 Tonnes)","2005M03","Sheep",5.6
"8295","Number of Livestock Slaughtered (000 Head)","2005M04","Sheep",219.8
"8296","Weight of Livestock Slaughtered (000 Tonnes)","2005M04","Sheep",4.5
"8297","Number of Livestock Slaughtered (000 Head)","2005M05","Sheep",347.4
"8298","Weight of Livestock Slaughtered (000 Tonnes)","2005M05","Sheep",7
"8299","Number of Livestock Slaughtered (000 Head)","2005M06","Sheep",346
"8300","Weight of Livestock Slaughtered (000 Tonnes)","2005M06","Sheep",6.9
"8301","Number of Livestock Slaughtered (000 Head)","2005M07","Sheep",321.9
"8302","Weight of Livestock Slaughtered (000 Tonnes)","2005M07","Sheep",6.5
"8303","Number of Livestock Slaughtered (000 Head)","2005M08","Sheep",345.4
"8304","Weight of Livestock Slaughtered (000 Tonnes)","2005M08","Sheep",7
"8305","Number of Livestock Slaughtered (000 Head)","2005M09","Sheep",343.1
"8306","Weight of Livestock Slaughtered (000 Tonnes)","2005M09","Sheep",7
"8307","Number of Livestock Slaughtered (000 Head)","2005M10","Sheep",320.2
"8308","Weight of Livestock Slaughtered (000 Tonnes)","2005M10","Sheep",6.5
"8309","Number of Livestock Slaughtered (000 Head)","2005M11","Sheep",333.1
"8310","Weight of Livestock Slaughtered (000 Tonnes)","2005M11","Sheep",6.8
"8311","Number of Livestock Slaughtered (000 Head)","2005M12","Sheep",304.1
"8312","Weight of Livestock Slaughtered (000 Tonnes)","2005M12","Sheep",6.1
"8313","Number of Livestock Slaughtered (000 Head)","2006M01","Sheep",250.6
"8314","Weight of Livestock Slaughtered (000 Tonnes)","2006M01","Sheep",5.1
"8315","Number of Livestock Slaughtered (000 Head)","2006M02","Sheep",202.6
"8316","Weight of Livestock Slaughtered (000 Tonnes)","2006M02","Sheep",4.1
"8317","Number of Livestock Slaughtered (000 Head)","2006M03","Sheep",229.8
"8318","Weight of Livestock Slaughtered (000 Tonnes)","2006M03","Sheep",4.7
"8319","Number of Livestock Slaughtered (000 Head)","2006M04","Sheep",244.4
"8320","Weight of Livestock Slaughtered (000 Tonnes)","2006M04","Sheep",5
"8321","Number of Livestock Slaughtered (000 Head)","2006M05","Sheep",311.8
"8322","Weight of Livestock Slaughtered (000 Tonnes)","2006M05","Sheep",6.2
"8323","Number of Livestock Slaughtered (000 Head)","2006M06","Sheep",330
"8324","Weight of Livestock Slaughtered (000 Tonnes)","2006M06","Sheep",6.5
"8325","Number of Livestock Slaughtered (000 Head)","2006M07","Sheep",324.2
"8326","Weight of Livestock Slaughtered (000 Tonnes)","2006M07","Sheep",6.5
"8327","Number of Livestock Slaughtered (000 Head)","2006M08","Sheep",373.3
"8328","Weight of Livestock Slaughtered (000 Tonnes)","2006M08","Sheep",7.5
"8329","Number of Livestock Slaughtered (000 Head)","2006M09","Sheep",344.2
"8330","Weight of Livestock Slaughtered (000 Tonnes)","2006M09","Sheep",7
"8331","Number of Livestock Slaughtered (000 Head)","2006M10","Sheep",327
"8332","Weight of Livestock Slaughtered (000 Tonnes)","2006M10","Sheep",6.6
"8333","Number of Livestock Slaughtered (000 Head)","2006M11","Sheep",284
"8334","Weight of Livestock Slaughtered (000 Tonnes)","2006M11","Sheep",5.8
"8335","Number of Livestock Slaughtered (000 Head)","2006M12","Sheep",266
"8336","Weight of Livestock Slaughtered (000 Tonnes)","2006M12","Sheep",5.3
"8337","Number of Livestock Slaughtered (000 Head)","2007M01","Sheep",217.2
"8338","Weight of Livestock Slaughtered (000 Tonnes)","2007M01","Sheep",4.4
"8339","Number of Livestock Slaughtered (000 Head)","2007M02","Sheep",168.6
"8340","Weight of Livestock Slaughtered (000 Tonnes)","2007M02","Sheep",3.4
"8341","Number of Livestock Slaughtered (000 Head)","2007M03","Sheep",196.9
"8342","Weight of Livestock Slaughtered (000 Tonnes)","2007M03","Sheep",4
"8343","Number of Livestock Slaughtered (000 Head)","2007M04","Sheep",230.5
"8344","Weight of Livestock Slaughtered (000 Tonnes)","2007M04","Sheep",4.7
"8345","Number of Livestock Slaughtered (000 Head)","2007M05","Sheep",294.5
"8346","Weight of Livestock Slaughtered (000 Tonnes)","2007M05","Sheep",5.9
"8347","Number of Livestock Slaughtered (000 Head)","2007M06","Sheep",273.6
"8348","Weight of Livestock Slaughtered (000 Tonnes)","2007M06","Sheep",5.5
"8349","Number of Livestock Slaughtered (000 Head)","2007M07","Sheep",301.2
"8350","Weight of Livestock Slaughtered (000 Tonnes)","2007M07","Sheep",6.1
"8351","Number of Livestock Slaughtered (000 Head)","2007M08","Sheep",392.1
"8352","Weight of Livestock Slaughtered (000 Tonnes)","2007M08","Sheep",7.9
"8353","Number of Livestock Slaughtered (000 Head)","2007M09","Sheep",342.1
"8354","Weight of Livestock Slaughtered (000 Tonnes)","2007M09","Sheep",6.9
"8355","Number of Livestock Slaughtered (000 Head)","2007M10","Sheep",362.7
"8356","Weight of Livestock Slaughtered (000 Tonnes)","2007M10","Sheep",7.3
"8357","Number of Livestock Slaughtered (000 Head)","2007M11","Sheep",252.5
"8358","Weight of Livestock Slaughtered (000 Tonnes)","2007M11","Sheep",5.1
"8359","Number of Livestock Slaughtered (000 Head)","2007M12","Sheep",231.8
"8360","Weight of Livestock Slaughtered (000 Tonnes)","2007M12","Sheep",4.6
"8361","Number of Livestock Slaughtered (000 Head)","2008M01","Sheep",212.37
"8362","Weight of Livestock Slaughtered (000 Tonnes)","2008M01","Sheep",4.29
"8363","Number of Livestock Slaughtered (000 Head)","2008M02","Sheep",175.69
"8364","Weight of Livestock Slaughtered (000 Tonnes)","2008M02","Sheep",3.54
"8365","Number of Livestock Slaughtered (000 Head)","2008M03","Sheep",189.5
"8366","Weight of Livestock Slaughtered (000 Tonnes)","2008M03","Sheep",3.8
"8367","Number of Livestock Slaughtered (000 Head)","2008M04","Sheep",211.19
"8368","Weight of Livestock Slaughtered (000 Tonnes)","2008M04","Sheep",4.27
"8369","Number of Livestock Slaughtered (000 Head)","2008M05","Sheep",244.59
"8370","Weight of Livestock Slaughtered (000 Tonnes)","2008M05","Sheep",4.9
"8371","Number of Livestock Slaughtered (000 Head)","2008M06","Sheep",248.83
"8372","Weight of Livestock Slaughtered (000 Tonnes)","2008M06","Sheep",4.97
"8373","Number of Livestock Slaughtered (000 Head)","2008M07","Sheep",273.21
"8374","Weight of Livestock Slaughtered (000 Tonnes)","2008M07","Sheep",5.51
"8375","Number of Livestock Slaughtered (000 Head)","2008M08","Sheep",269.69
"8376","Weight of Livestock Slaughtered (000 Tonnes)","2008M08","Sheep",5.45
"8377","Number of Livestock Slaughtered (000 Head)","2008M09","Sheep",302.02
"8378","Weight of Livestock Slaughtered (000 Tonnes)","2008M09","Sheep",6.11
"8379","Number of Livestock Slaughtered (000 Head)","2008M10","Sheep",276.08
"8380","Weight of Livestock Slaughtered (000 Tonnes)","2008M10","Sheep",5.58
"8381","Number of Livestock Slaughtered (000 Head)","2008M11","Sheep",238.13
"8382","Weight of Livestock Slaughtered (000 Tonnes)","2008M11","Sheep",4.79
"8383","Number of Livestock Slaughtered (000 Head)","2008M12","Sheep",277.83
"8384","Weight of Livestock Slaughtered (000 Tonnes)","2008M12","Sheep",5.53
"8385","Number of Livestock Slaughtered (000 Head)","2009M01","Sheep",210.66
"8386","Weight of Livestock Slaughtered (000 Tonnes)","2009M01","Sheep",4.22
"8387","Number of Livestock Slaughtered (000 Head)","2009M02","Sheep",172.06
"8388","Weight of Livestock Slaughtered (000 Tonnes)","2009M02","Sheep",3.46
"8389","Number of Livestock Slaughtered (000 Head)","2009M03","Sheep",172.87
"8390","Weight of Livestock Slaughtered (000 Tonnes)","2009M03","Sheep",3.48
"8391","Number of Livestock Slaughtered (000 Head)","2009M04","Sheep",195.16
"8392","Weight of Livestock Slaughtered (000 Tonnes)","2009M04","Sheep",3.95
"8393","Number of Livestock Slaughtered (000 Head)","2009M05","Sheep",202.95
"8394","Weight of Livestock Slaughtered (000 Tonnes)","2009M05","Sheep",4.09
"8395","Number of Livestock Slaughtered (000 Head)","2009M06","Sheep",241.74
"8396","Weight of Livestock Slaughtered (000 Tonnes)","2009M06","Sheep",4.87
"8397","Number of Livestock Slaughtered (000 Head)","2009M07","Sheep",258.96
"8398","Weight of Livestock Slaughtered (000 Tonnes)","2009M07","Sheep",5.25
"8399","Number of Livestock Slaughtered (000 Head)","2009M08","Sheep",282.58
"8400","Weight of Livestock Slaughtered (000 Tonnes)","2009M08","Sheep",5.74
"8401","Number of Livestock Slaughtered (000 Head)","2009M09","Sheep",274.07
"8402","Weight of Livestock Slaughtered (000 Tonnes)","2009M09","Sheep",5.56
"8403","Number of Livestock Slaughtered (000 Head)","2009M10","Sheep",254.13
"8404","Weight of Livestock Slaughtered (000 Tonnes)","2009M10","Sheep",5.12
"8405","Number of Livestock Slaughtered (000 Head)","2009M11","Sheep",236.68
"8406","Weight of Livestock Slaughtered (000 Tonnes)","2009M11","Sheep",4.74
"8407","Number of Livestock Slaughtered (000 Head)","2009M12","Sheep",228
"8408","Weight of Livestock Slaughtered (000 Tonnes)","2009M12","Sheep",4.54
"8409","Number of Livestock Slaughtered (000 Head)","2010M01","Sheep",161.15
"8410","Weight of Livestock Slaughtered (000 Tonnes)","2010M01","Sheep",3.22
"8411","Number of Livestock Slaughtered (000 Head)","2010M02","Sheep",147
"8412","Weight of Livestock Slaughtered (000 Tonnes)","2010M02","Sheep",2.92
"8413","Number of Livestock Slaughtered (000 Head)","2010M03","Sheep",175.76
"8414","Weight of Livestock Slaughtered (000 Tonnes)","2010M03","Sheep",3.53
"8415","Number of Livestock Slaughtered (000 Head)","2010M04","Sheep",153.11
"8416","Weight of Livestock Slaughtered (000 Tonnes)","2010M04","Sheep",3.1
"8417","Number of Livestock Slaughtered (000 Head)","2010M05","Sheep",165.64
"8418","Weight of Livestock Slaughtered (000 Tonnes)","2010M05","Sheep",3.34
"8419","Number of Livestock Slaughtered (000 Head)","2010M06","Sheep",204.57
"8420","Weight of Livestock Slaughtered (000 Tonnes)","2010M06","Sheep",4.09
"8421","Number of Livestock Slaughtered (000 Head)","2010M07","Sheep",234.48
"8422","Weight of Livestock Slaughtered (000 Tonnes)","2010M07","Sheep",4.71
"8423","Number of Livestock Slaughtered (000 Head)","2010M08","Sheep",255.5
"8424","Weight of Livestock Slaughtered (000 Tonnes)","2010M08","Sheep",5.12
"8425","Number of Livestock Slaughtered (000 Head)","2010M09","Sheep",249.27
"8426","Weight of Livestock Slaughtered (000 Tonnes)","2010M09","Sheep",5.03
"8427","Number of Livestock Slaughtered (000 Head)","2010M10","Sheep",234.31
"8428","Weight of Livestock Slaughtered (000 Tonnes)","2010M10","Sheep",4.69
"8429","Number of Livestock Slaughtered (000 Head)","2010M11","Sheep",233.15
"8430","Weight of Livestock Slaughtered (000 Tonnes)","2010M11","Sheep",4.67
"8431","Number of Livestock Slaughtered (000 Head)","2010M12","Sheep",168.77
"8432","Weight of Livestock Slaughtered (000 Tonnes)","2010M12","Sheep",3.36
"8433","Number of Livestock Slaughtered (000 Head)","2011M01","Sheep",157.5
"8434","Weight of Livestock Slaughtered (000 Tonnes)","2011M01","Sheep",3.15
"8435","Number of Livestock Slaughtered (000 Head)","2011M02","Sheep",145.79
"8436","Weight of Livestock Slaughtered (000 Tonnes)","2011M02","Sheep",2.92
"8437","Number of Livestock Slaughtered (000 Head)","2011M03","Sheep",147.18
"8438","Weight of Livestock Slaughtered (000 Tonnes)","2011M03","Sheep",2.95
"8439","Number of Livestock Slaughtered (000 Head)","2011M04","Sheep",165.52
"8440","Weight of Livestock Slaughtered (000 Tonnes)","2011M04","Sheep",3.33
"8441","Number of Livestock Slaughtered (000 Head)","2011M05","Sheep",189.48
"8442","Weight of Livestock Slaughtered (000 Tonnes)","2011M05","Sheep",3.78
"8443","Number of Livestock Slaughtered (000 Head)","2011M06","Sheep",224.11
"8444","Weight of Livestock Slaughtered (000 Tonnes)","2011M06","Sheep",4.45
"8445","Number of Livestock Slaughtered (000 Head)","2011M07","Sheep",233.83
"8446","Weight of Livestock Slaughtered (000 Tonnes)","2011M07","Sheep",4.64
"8447","Number of Livestock Slaughtered (000 Head)","2011M08","Sheep",257
"8448","Weight of Livestock Slaughtered (000 Tonnes)","2011M08","Sheep",5.15
"8449","Number of Livestock Slaughtered (000 Head)","2011M09","Sheep",242.89
"8450","Weight of Livestock Slaughtered (000 Tonnes)","2011M09","Sheep",4.87
"8451","Number of Livestock Slaughtered (000 Head)","2011M10","Sheep",221.1
"8452","Weight of Livestock Slaughtered (000 Tonnes)","2011M10","Sheep",4.42
