"","Statistic","Year","Port","value"
"243","Live Weight of Sea Fish Landings (Tonnes)","1994","Carlingford",2177
"244","Value of Sea Fish Landings (Euro Thousand)","1994","Carlingford",348
"245","Live Weight of Sea Fish Landings (Tonnes)","1995","Carlingford",1124
"246","Value of Sea Fish Landings (Euro Thousand)","1995","Carlingford",254
"247","Live Weight of Sea Fish Landings (Tonnes)","1996","Carlingford",1672
"248","Value of Sea Fish Landings (Euro Thousand)","1996","Carlingford",439
"249","Live Weight of Sea Fish Landings (Tonnes)","1997","Carlingford",2130
"250","Value of Sea Fish Landings (Euro Thousand)","1997","Carlingford",552
"251","Live Weight of Sea Fish Landings (Tonnes)","1998","Carlingford",5
"252","Value of Sea Fish Landings (Euro Thousand)","1998","Carlingford",3
"253","Live Weight of Sea Fish Landings (Tonnes)","1999","Carlingford",0
"254","Value of Sea Fish Landings (Euro Thousand)","1999","Carlingford",0
"255","Live Weight of Sea Fish Landings (Tonnes)","2000","Carlingford",0
"256","Value of Sea Fish Landings (Euro Thousand)","2000","Carlingford",0
"257","Live Weight of Sea Fish Landings (Tonnes)","2001","Carlingford",0
"258","Value of Sea Fish Landings (Euro Thousand)","2001","Carlingford",0
"259","Live Weight of Sea Fish Landings (Tonnes)","2002","Carlingford",0
"260","Value of Sea Fish Landings (Euro Thousand)","2002","Carlingford",0
"261","Live Weight of Sea Fish Landings (Tonnes)","2003","Carlingford",NA
"262","Value of Sea Fish Landings (Euro Thousand)","2003","Carlingford",NA
"263","Live Weight of Sea Fish Landings (Tonnes)","2004","Carlingford",NA
"264","Value of Sea Fish Landings (Euro Thousand)","2004","Carlingford",NA
"265","Live Weight of Sea Fish Landings (Tonnes)","1994","Carna",327
"266","Value of Sea Fish Landings (Euro Thousand)","1994","Carna",1018
"267","Live Weight of Sea Fish Landings (Tonnes)","1995","Carna",204
"268","Value of Sea Fish Landings (Euro Thousand)","1995","Carna",447
"269","Live Weight of Sea Fish Landings (Tonnes)","1996","Carna",309
"270","Value of Sea Fish Landings (Euro Thousand)","1996","Carna",755
"271","Live Weight of Sea Fish Landings (Tonnes)","1997","Carna",205
"272","Value of Sea Fish Landings (Euro Thousand)","1997","Carna",453
"273","Live Weight of Sea Fish Landings (Tonnes)","1998","Carna",230
"274","Value of Sea Fish Landings (Euro Thousand)","1998","Carna",631
"275","Live Weight of Sea Fish Landings (Tonnes)","1999","Carna",190
"276","Value of Sea Fish Landings (Euro Thousand)","1999","Carna",594
"277","Live Weight of Sea Fish Landings (Tonnes)","2000","Carna",222
"278","Value of Sea Fish Landings (Euro Thousand)","2000","Carna",905
"279","Live Weight of Sea Fish Landings (Tonnes)","2001","Carna",268
"280","Value of Sea Fish Landings (Euro Thousand)","2001","Carna",1259
"281","Live Weight of Sea Fish Landings (Tonnes)","2002","Carna",128
"282","Value of Sea Fish Landings (Euro Thousand)","2002","Carna",516
"283","Live Weight of Sea Fish Landings (Tonnes)","2003","Carna",153
"284","Value of Sea Fish Landings (Euro Thousand)","2003","Carna",554
"285","Live Weight of Sea Fish Landings (Tonnes)","2004","Carna",78
"286","Value of Sea Fish Landings (Euro Thousand)","2004","Carna",466
"287","Live Weight of Sea Fish Landings (Tonnes)","1994","Carrigaholt",231
"288","Value of Sea Fish Landings (Euro Thousand)","1994","Carrigaholt",486
"289","Live Weight of Sea Fish Landings (Tonnes)","1995","Carrigaholt",642
"290","Value of Sea Fish Landings (Euro Thousand)","1995","Carrigaholt",800
"291","Live Weight of Sea Fish Landings (Tonnes)","1996","Carrigaholt",339
"292","Value of Sea Fish Landings (Euro Thousand)","1996","Carrigaholt",529
"293","Live Weight of Sea Fish Landings (Tonnes)","1997","Carrigaholt",306
"294","Value of Sea Fish Landings (Euro Thousand)","1997","Carrigaholt",522
"295","Live Weight of Sea Fish Landings (Tonnes)","1998","Carrigaholt",251
"296","Value of Sea Fish Landings (Euro Thousand)","1998","Carrigaholt",457
"297","Live Weight of Sea Fish Landings (Tonnes)","1999","Carrigaholt",244
"298","Value of Sea Fish Landings (Euro Thousand)","1999","Carrigaholt",557
"299","Live Weight of Sea Fish Landings (Tonnes)","2000","Carrigaholt",590
"300","Value of Sea Fish Landings (Euro Thousand)","2000","Carrigaholt",549
"301","Live Weight of Sea Fish Landings (Tonnes)","2001","Carrigaholt",317
"302","Value of Sea Fish Landings (Euro Thousand)","2001","Carrigaholt",1346
"303","Live Weight of Sea Fish Landings (Tonnes)","2002","Carrigaholt",230
"304","Value of Sea Fish Landings (Euro Thousand)","2002","Carrigaholt",760
"305","Live Weight of Sea Fish Landings (Tonnes)","2003","Carrigaholt",166
"306","Value of Sea Fish Landings (Euro Thousand)","2003","Carrigaholt",401
"307","Live Weight of Sea Fish Landings (Tonnes)","2004","Carrigaholt",200
"308","Value of Sea Fish Landings (Euro Thousand)","2004","Carrigaholt",561
"309","Live Weight of Sea Fish Landings (Tonnes)","1994","Castlegregory",203
"310","Value of Sea Fish Landings (Euro Thousand)","1994","Castlegregory",844
"311","Live Weight of Sea Fish Landings (Tonnes)","1995","Castlegregory",409
"312","Value of Sea Fish Landings (Euro Thousand)","1995","Castlegregory",721
"313","Live Weight of Sea Fish Landings (Tonnes)","1996","Castlegregory",288
"314","Value of Sea Fish Landings (Euro Thousand)","1996","Castlegregory",869
"315","Live Weight of Sea Fish Landings (Tonnes)","1997","Castlegregory",246
"316","Value of Sea Fish Landings (Euro Thousand)","1997","Castlegregory",597
"317","Live Weight of Sea Fish Landings (Tonnes)","1998","Castlegregory",243
"318","Value of Sea Fish Landings (Euro Thousand)","1998","Castlegregory",504
"319","Live Weight of Sea Fish Landings (Tonnes)","1999","Castlegregory",267
"320","Value of Sea Fish Landings (Euro Thousand)","1999","Castlegregory",750
"321","Live Weight of Sea Fish Landings (Tonnes)","2000","Castlegregory",175
"322","Value of Sea Fish Landings (Euro Thousand)","2000","Castlegregory",566
"323","Live Weight of Sea Fish Landings (Tonnes)","2001","Castlegregory",224
"324","Value of Sea Fish Landings (Euro Thousand)","2001","Castlegregory",766
"325","Live Weight of Sea Fish Landings (Tonnes)","2002","Castlegregory",357
"326","Value of Sea Fish Landings (Euro Thousand)","2002","Castlegregory",1041
"327","Live Weight of Sea Fish Landings (Tonnes)","2003","Castlegregory",119
"328","Value of Sea Fish Landings (Euro Thousand)","2003","Castlegregory",249
"329","Live Weight of Sea Fish Landings (Tonnes)","2004","Castlegregory",122
"330","Value of Sea Fish Landings (Euro Thousand)","2004","Castlegregory",434
"331","Live Weight of Sea Fish Landings (Tonnes)","1994","Castletownbere",16159
"332","Value of Sea Fish Landings (Euro Thousand)","1994","Castletownbere",12815
"333","Live Weight of Sea Fish Landings (Tonnes)","1995","Castletownbere",26086
"334","Value of Sea Fish Landings (Euro Thousand)","1995","Castletownbere",13749
"335","Live Weight of Sea Fish Landings (Tonnes)","1996","Castletownbere",15549
"336","Value of Sea Fish Landings (Euro Thousand)","1996","Castletownbere",12276
"337","Live Weight of Sea Fish Landings (Tonnes)","1997","Castletownbere",12653
"338","Value of Sea Fish Landings (Euro Thousand)","1997","Castletownbere",13907
"339","Live Weight of Sea Fish Landings (Tonnes)","1998","Castletownbere",13442
"340","Value of Sea Fish Landings (Euro Thousand)","1998","Castletownbere",17128
"341","Live Weight of Sea Fish Landings (Tonnes)","1999","Castletownbere",9675
"342","Value of Sea Fish Landings (Euro Thousand)","1999","Castletownbere",17248
"343","Live Weight of Sea Fish Landings (Tonnes)","2000","Castletownbere",10673
"344","Value of Sea Fish Landings (Euro Thousand)","2000","Castletownbere",15057
"345","Live Weight of Sea Fish Landings (Tonnes)","2001","Castletownbere",8407
"346","Value of Sea Fish Landings (Euro Thousand)","2001","Castletownbere",13297
"347","Live Weight of Sea Fish Landings (Tonnes)","2002","Castletownbere",5905
"348","Value of Sea Fish Landings (Euro Thousand)","2002","Castletownbere",8679
"349","Live Weight of Sea Fish Landings (Tonnes)","2003","Castletownbere",5580
"350","Value of Sea Fish Landings (Euro Thousand)","2003","Castletownbere",8517
"351","Live Weight of Sea Fish Landings (Tonnes)","2004","Castletownbere",5784
"352","Value of Sea Fish Landings (Euro Thousand)","2004","Castletownbere",8594
"353","Live Weight of Sea Fish Landings (Tonnes)","1994","Cleggan/Clifden",539
"354","Value of Sea Fish Landings (Euro Thousand)","1994","Cleggan/Clifden",823
"355","Live Weight of Sea Fish Landings (Tonnes)","1995","Cleggan/Clifden",341
"356","Value of Sea Fish Landings (Euro Thousand)","1995","Cleggan/Clifden",574
"357","Live Weight of Sea Fish Landings (Tonnes)","1996","Cleggan/Clifden",252
"358","Value of Sea Fish Landings (Euro Thousand)","1996","Cleggan/Clifden",488
"359","Live Weight of Sea Fish Landings (Tonnes)","1997","Cleggan/Clifden",402
"360","Value of Sea Fish Landings (Euro Thousand)","1997","Cleggan/Clifden",529
"361","Live Weight of Sea Fish Landings (Tonnes)","1998","Cleggan/Clifden",347
"362","Value of Sea Fish Landings (Euro Thousand)","1998","Cleggan/Clifden",662
"363","Live Weight of Sea Fish Landings (Tonnes)","1999","Cleggan/Clifden",371
"364","Value of Sea Fish Landings (Euro Thousand)","1999","Cleggan/Clifden",656
"365","Live Weight of Sea Fish Landings (Tonnes)","2000","Cleggan/Clifden",0
"366","Value of Sea Fish Landings (Euro Thousand)","2000","Cleggan/Clifden",0
"367","Live Weight of Sea Fish Landings (Tonnes)","2001","Cleggan/Clifden",0
"368","Value of Sea Fish Landings (Euro Thousand)","2001","Cleggan/Clifden",0
"369","Live Weight of Sea Fish Landings (Tonnes)","2002","Cleggan/Clifden",0
"370","Value of Sea Fish Landings (Euro Thousand)","2002","Cleggan/Clifden",0
"371","Live Weight of Sea Fish Landings (Tonnes)","2003","Cleggan/Clifden",NA
"372","Value of Sea Fish Landings (Euro Thousand)","2003","Cleggan/Clifden",NA
