"","Statistic","Year","Key.Fish.Species","value"
"264","Value of Sea Fish Landings (Euro Thousand)","1976","Shellfish",4281
"265","Live Weight of Sea Fish Landings (Tonnes)","1977","Shellfish",10798
"266","Value of Sea Fish Landings (Euro Thousand)","1977","Shellfish",5362
"267","Live Weight of Sea Fish Landings (Tonnes)","1978","Shellfish",10657
"268","Value of Sea Fish Landings (Euro Thousand)","1978","Shellfish",6852
"269","Live Weight of Sea Fish Landings (Tonnes)","1979","Shellfish",10782
"270","Value of Sea Fish Landings (Euro Thousand)","1979","Shellfish",8711
"271","Live Weight of Sea Fish Landings (Tonnes)","1980","Shellfish",10293
"272","Value of Sea Fish Landings (Euro Thousand)","1980","Shellfish",7122
"273","Live Weight of Sea Fish Landings (Tonnes)","1981","Shellfish",11863
"274","Value of Sea Fish Landings (Euro Thousand)","1981","Shellfish",9764
"275","Live Weight of Sea Fish Landings (Tonnes)","1982","Shellfish",14858
"276","Value of Sea Fish Landings (Euro Thousand)","1982","Shellfish",12888
"277","Live Weight of Sea Fish Landings (Tonnes)","1983","Shellfish",15746
"278","Value of Sea Fish Landings (Euro Thousand)","1983","Shellfish",14793
"279","Live Weight of Sea Fish Landings (Tonnes)","1984","Shellfish",23538
"280","Value of Sea Fish Landings (Euro Thousand)","1984","Shellfish",16094
"281","Live Weight of Sea Fish Landings (Tonnes)","1985","Shellfish",22682
"282","Value of Sea Fish Landings (Euro Thousand)","1985","Shellfish",17368
"283","Live Weight of Sea Fish Landings (Tonnes)","1986","Shellfish",24322
"284","Value of Sea Fish Landings (Euro Thousand)","1986","Shellfish",20880
"285","Live Weight of Sea Fish Landings (Tonnes)","1987","Shellfish",25282
"286","Value of Sea Fish Landings (Euro Thousand)","1987","Shellfish",22868
"287","Live Weight of Sea Fish Landings (Tonnes)","1988","Shellfish",22208
"288","Value of Sea Fish Landings (Euro Thousand)","1988","Shellfish",22753
"289","Live Weight of Sea Fish Landings (Tonnes)","1989","Shellfish",25259
"290","Value of Sea Fish Landings (Euro Thousand)","1989","Shellfish",30421
"291","Live Weight of Sea Fish Landings (Tonnes)","1990","Shellfish",13409
"292","Value of Sea Fish Landings (Euro Thousand)","1990","Shellfish",32795
"293","Live Weight of Sea Fish Landings (Tonnes)","1991","Shellfish",16312
"294","Value of Sea Fish Landings (Euro Thousand)","1991","Shellfish",32297
"295","Live Weight of Sea Fish Landings (Tonnes)","1992","Shellfish",15933
"296","Value of Sea Fish Landings (Euro Thousand)","1992","Shellfish",30714
"297","Live Weight of Sea Fish Landings (Tonnes)","1993","Shellfish",23040
"298","Value of Sea Fish Landings (Euro Thousand)","1993","Shellfish",30982
"299","Live Weight of Sea Fish Landings (Tonnes)","1994","Shellfish",23140
"300","Value of Sea Fish Landings (Euro Thousand)","1994","Shellfish",38852
"301","Live Weight of Sea Fish Landings (Tonnes)","1995","Shellfish",30571
"302","Value of Sea Fish Landings (Euro Thousand)","1995","Shellfish",41940
"303","Live Weight of Sea Fish Landings (Tonnes)","1996","Shellfish",25199
"304","Value of Sea Fish Landings (Euro Thousand)","1996","Shellfish",39123
"305","Live Weight of Sea Fish Landings (Tonnes)","1997","Shellfish",25234
"306","Value of Sea Fish Landings (Euro Thousand)","1997","Shellfish",42017
"307","Live Weight of Sea Fish Landings (Tonnes)","1998","Shellfish",25266
"308","Value of Sea Fish Landings (Euro Thousand)","1998","Shellfish",46509
"309","Live Weight of Sea Fish Landings (Tonnes)","1999","Shellfish",28534
"310","Value of Sea Fish Landings (Euro Thousand)","1999","Shellfish",55410
"311","Live Weight of Sea Fish Landings (Tonnes)","2000","Shellfish",29528
"312","Value of Sea Fish Landings (Euro Thousand)","2000","Shellfish",57789
"313","Live Weight of Sea Fish Landings (Tonnes)","2001","Shellfish",31760
"314","Value of Sea Fish Landings (Euro Thousand)","2001","Shellfish",79061
"315","Live Weight of Sea Fish Landings (Tonnes)","2002","Shellfish",32087
"316","Value of Sea Fish Landings (Euro Thousand)","2002","Shellfish",67228
"317","Live Weight of Sea Fish Landings (Tonnes)","2003","Shellfish",33859
"318","Value of Sea Fish Landings (Euro Thousand)","2003","Shellfish",57483
"319","Live Weight of Sea Fish Landings (Tonnes)","2004","Shellfish",34803
"320","Value of Sea Fish Landings (Euro Thousand)","2004","Shellfish",62195
