"","Year","Type.of.Fertiliser","value"
"234","2009","Compound 7-6-17",NA
"235","2010","Compound 7-6-17",NA
"236","2011","Compound 7-6-17",NA
"237","2012","Compound 7-6-17",NA
"238","2013","Compound 7-6-17",NA
"239","1980","Compound 10-10-20",171
"240","1981","Compound 10-10-20",197
"241","1982","Compound 10-10-20",206
"242","1983","Compound 10-10-20",206
"243","1984","Compound 10-10-20",231
"244","1985","Compound 10-10-20",255
"245","1986","Compound 10-10-20",236
"246","1987","Compound 10-10-20",181
"247","1988","Compound 10-10-20",195
"248","1989","Compound 10-10-20",209
"249","1990","Compound 10-10-20",210
"250","1991","Compound 10-10-20",209
"251","1992","Compound 10-10-20",205
"252","1993","Compound 10-10-20",196
"253","1994","Compound 10-10-20",200
"254","1995","Compound 10-10-20",219
"255","1996","Compound 10-10-20",229
"256","1997","Compound 10-10-20",218
"257","1998","Compound 10-10-20",213
"258","1999","Compound 10-10-20",216
"259","2000","Compound 10-10-20",223
"260","2001","Compound 10-10-20",249
"261","2002","Compound 10-10-20",244
"262","2003","Compound 10-10-20",249
"263","2004","Compound 10-10-20",253
"264","2005","Compound 10-10-20",269
"265","2006","Compound 10-10-20",283
"266","2007","Compound 10-10-20",289
"267","2008","Compound 10-10-20",461
"268","2009","Compound 10-10-20",493
"269","2010","Compound 10-10-20",402
"270","2011","Compound 10-10-20",472
"271","2012","Compound 10-10-20",490
"272","2013","Compound 10-10-20",480
"273","1980","Compound 14-7-14",161
"274","1981","Compound 14-7-14",186
"275","1982","Compound 14-7-14",193
"276","1983","Compound 14-7-14",193
"277","1984","Compound 14-7-14",211
"278","1985","Compound 14-7-14",236
"279","1986","Compound 14-7-14",219
"280","1987","Compound 14-7-14",168
"281","1988","Compound 14-7-14",187
"282","1989","Compound 14-7-14",199
"283","1990","Compound 14-7-14",199
"284","1991","Compound 14-7-14",200
"285","1992","Compound 14-7-14",200
"286","1993","Compound 14-7-14",188
"287","1994","Compound 14-7-14",192
"288","1995","Compound 14-7-14",210
"289","1996","Compound 14-7-14",220
"290","1997","Compound 14-7-14",211
"291","1998","Compound 14-7-14",199
"292","1999","Compound 14-7-14",200
"293","2000","Compound 14-7-14",207
"294","2001","Compound 14-7-14",237
"295","2002","Compound 14-7-14",236
"296","2003","Compound 14-7-14",239
"297","2004","Compound 14-7-14",246
"298","2005","Compound 14-7-14",259
"299","2006","Compound 14-7-14",276
"300","2007","Compound 14-7-14",282
"301","2008","Compound 14-7-14",452
"302","2009","Compound 14-7-14",491
"303","2010","Compound 14-7-14",361
"304","2011","Compound 14-7-14",434
"305","2012","Compound 14-7-14",458
"306","2013","Compound 14-7-14",440
"307","1980","Compound 18-6-12",163
"308","1981","Compound 18-6-12",186
"309","1982","Compound 18-6-12",195
"310","1983","Compound 18-6-12",194
"311","1984","Compound 18-6-12",212
"312","1985","Compound 18-6-12",235
"313","1986","Compound 18-6-12",218
"314","1987","Compound 18-6-12",167
"315","1988","Compound 18-6-12",181
"316","1989","Compound 18-6-12",196
"317","1990","Compound 18-6-12",196
"318","1991","Compound 18-6-12",196
"319","1992","Compound 18-6-12",193
"320","1993","Compound 18-6-12",183
"321","1994","Compound 18-6-12",187
"322","1995","Compound 18-6-12",207
"323","1996","Compound 18-6-12",216
"324","1997","Compound 18-6-12",205
"325","1998","Compound 18-6-12",197
"326","1999","Compound 18-6-12",198
"327","2000","Compound 18-6-12",205
"328","2001","Compound 18-6-12",236
"329","2002","Compound 18-6-12",231
"330","2003","Compound 18-6-12",236
"331","2004","Compound 18-6-12",240
"332","2005","Compound 18-6-12",255
"333","2006","Compound 18-6-12",271
"334","2007","Compound 18-6-12",275
"335","2008","Compound 18-6-12",430
"336","2009","Compound 18-6-12",427
"337","2010","Compound 18-6-12",350
"338","2011","Compound 18-6-12",425
"339","2012","Compound 18-6-12",444
"340","2013","Compound 18-6-12",439
"341","1980","Compound 24-2.5-10",166
"342","1981","Compound 24-2.5-10",181
"343","1982","Compound 24-2.5-10",197
"344","1983","Compound 24-2.5-10",199
"345","1984","Compound 24-2.5-10",220
"346","1985","Compound 24-2.5-10",232
"347","1986","Compound 24-2.5-10",218
"348","1987","Compound 24-2.5-10",167
"349","1988","Compound 24-2.5-10",175
"350","1989","Compound 24-2.5-10",191
"351","1990","Compound 24-2.5-10",191
"352","1991","Compound 24-2.5-10",200
"353","1992","Compound 24-2.5-10",197
"354","1993","Compound 24-2.5-10",186
"355","1994","Compound 24-2.5-10",189
"356","1995","Compound 24-2.5-10",202
"357","1996","Compound 24-2.5-10",216
"358","1997","Compound 24-2.5-10",205
"359","1998","Compound 24-2.5-10",195
"360","1999","Compound 24-2.5-10",198
"361","2000","Compound 24-2.5-10",206
"362","2001","Compound 24-2.5-10",238
"363","2002","Compound 24-2.5-10",233
"364","2003","Compound 24-2.5-10",238
"365","2004","Compound 24-2.5-10",241
"366","2005","Compound 24-2.5-10",258
"367","2006","Compound 24-2.5-10",274
"368","2007","Compound 24-2.5-10",279
"369","2008","Compound 24-2.5-10",439
"370","2009","Compound 24-2.5-10",416
"371","2010","Compound 24-2.5-10",355
"372","2011","Compound 24-2.5-10",431
"373","2012","Compound 24-2.5-10",438
"374","2013","Compound 24-2.5-10",443
"375","1980","Compound 27-2.5-5",162
