"","Year","Type.of.Feedstuff","value"
"542","1985","Calf nuts and cubes (14-15% protein)",253
"543","1986","Calf nuts and cubes (14-15% protein)",241
"544","1987","Calf nuts and cubes (14-15% protein)",235
"545","1988","Calf nuts and cubes (14-15% protein)",237
"546","1989","Calf nuts and cubes (14-15% protein)",248
"547","1990","Calf nuts and cubes (14-15% protein)",242
"548","1991","Calf nuts and cubes (14-15% protein)",232
"549","1992","Calf nuts and cubes (14-15% protein)",232
"550","1993","Calf nuts and cubes (14-15% protein)",236
"551","1994","Calf nuts and cubes (14-15% protein)",238
"552","1995","Calf nuts and cubes (14-15% protein)",241
"553","1996","Calf nuts and cubes (14-15% protein)",251
"554","1997","Calf nuts and cubes (14-15% protein)",232
"555","1998","Calf nuts and cubes (14-15% protein)",214
"556","1999","Calf nuts and cubes (14-15% protein)",204
"557","2000","Calf nuts and cubes (14-15% protein)",213
"558","2001","Calf nuts and cubes (14-15% protein)",227
"559","2002","Calf nuts and cubes (14-15% protein)",233
"560","2003","Calf nuts and cubes (14-15% protein)",237
"561","2004","Calf nuts and cubes (14-15% protein)",248
"562","2005","Calf nuts and cubes (14-15% protein)",231
"563","2006","Calf nuts and cubes (14-15% protein)",227
"564","2007","Calf nuts and cubes (14-15% protein)",270
"565","2008","Calf nuts and cubes (14-15% protein)",315
"566","2009","Calf nuts and cubes (14-15% protein)",287
"567","2010","Calf nuts and cubes (14-15% protein)",NA
"568","2011","Calf nuts and cubes (14-15% protein)",NA
"569","2012","Calf nuts and cubes (14-15% protein)",NA
"570","2013","Calf nuts and cubes (14-15% protein)",NA
"571","1976","Cattle fattening nuts and cubes (13-15% protein)",NA
"572","1977","Cattle fattening nuts and cubes (13-15% protein)",NA
"573","1978","Cattle fattening nuts and cubes (13-15% protein)",NA
"574","1979","Cattle fattening nuts and cubes (13-15% protein)",NA
"575","1980","Cattle fattening nuts and cubes (13-15% protein)",184
"576","1981","Cattle fattening nuts and cubes (13-15% protein)",196
"577","1982","Cattle fattening nuts and cubes (13-15% protein)",210
"578","1983","Cattle fattening nuts and cubes (13-15% protein)",232
"579","1984","Cattle fattening nuts and cubes (13-15% protein)",244
"580","1985","Cattle fattening nuts and cubes (13-15% protein)",224
"581","1986","Cattle fattening nuts and cubes (13-15% protein)",219
"582","1987","Cattle fattening nuts and cubes (13-15% protein)",209
"583","1988","Cattle fattening nuts and cubes (13-15% protein)",213
"584","1989","Cattle fattening nuts and cubes (13-15% protein)",223
"585","1990","Cattle fattening nuts and cubes (13-15% protein)",216
"586","1991","Cattle fattening nuts and cubes (13-15% protein)",206
"587","1992","Cattle fattening nuts and cubes (13-15% protein)",206
"588","1993","Cattle fattening nuts and cubes (13-15% protein)",208
"589","1994","Cattle fattening nuts and cubes (13-15% protein)",209
"590","1995","Cattle fattening nuts and cubes (13-15% protein)",208
"591","1996","Cattle fattening nuts and cubes (13-15% protein)",217
"592","1997","Cattle fattening nuts and cubes (13-15% protein)",207
"593","1998","Cattle fattening nuts and cubes (13-15% protein)",195
"594","1999","Cattle fattening nuts and cubes (13-15% protein)",192
"595","2000","Cattle fattening nuts and cubes (13-15% protein)",198
"596","2001","Cattle fattening nuts and cubes (13-15% protein)",209
"597","2002","Cattle fattening nuts and cubes (13-15% protein)",211
"598","2003","Cattle fattening nuts and cubes (13-15% protein)",214
"599","2004","Cattle fattening nuts and cubes (13-15% protein)",220
"600","2005","Cattle fattening nuts and cubes (13-15% protein)",211
"601","2006","Cattle fattening nuts and cubes (13-15% protein)",217
"602","2007","Cattle fattening nuts and cubes (13-15% protein)",253
"603","2008","Cattle fattening nuts and cubes (13-15% protein)",290
"604","2009","Cattle fattening nuts and cubes (13-15% protein)",258
"605","2010","Cattle fattening nuts and cubes (13-15% protein)",250
"606","2011","Cattle fattening nuts and cubes (13-15% protein)",288
"607","2012","Cattle fattening nuts and cubes (13-15% protein)",309
"608","2013","Cattle fattening nuts and cubes (13-15% protein)",331
"609","1976","Dairy nuts and cubes (16-18% protein)",NA
"610","1977","Dairy nuts and cubes (16-18% protein)",NA
"611","1978","Dairy nuts and cubes (16-18% protein)",NA
"612","1979","Dairy nuts and cubes (16-18% protein)",NA
"613","1980","Dairy nuts and cubes (16-18% protein)",190
"614","1981","Dairy nuts and cubes (16-18% protein)",202
"615","1982","Dairy nuts and cubes (16-18% protein)",218
"616","1983","Dairy nuts and cubes (16-18% protein)",236
"617","1984","Dairy nuts and cubes (16-18% protein)",256
"618","1985","Dairy nuts and cubes (16-18% protein)",232
"619","1986","Dairy nuts and cubes (16-18% protein)",223
"620","1987","Dairy nuts and cubes (16-18% protein)",214
"621","1988","Dairy nuts and cubes (16-18% protein)",212
"622","1989","Dairy nuts and cubes (16-18% protein)",225
"623","1990","Dairy nuts and cubes (16-18% protein)",220
