"","Statistic","Month","Type.of.Cattle","value"
"195","Cattle Price per Head (Euro)","1984M02","Bullocks 200-249kg",422.3
"196","Cattle Price per 100 Kg (Euro)","1984M02","Bullocks 200-249kg",188.73
"197","Cattle Price per Head (Euro)","1984M03","Bullocks 200-249kg",449.31
"198","Cattle Price per 100 Kg (Euro)","1984M03","Bullocks 200-249kg",198.71
"199","Cattle Price per Head (Euro)","1984M04","Bullocks 200-249kg",448.74
"200","Cattle Price per 100 Kg (Euro)","1984M04","Bullocks 200-249kg",197.48
"201","Cattle Price per Head (Euro)","1984M05","Bullocks 200-249kg",448.71
"202","Cattle Price per 100 Kg (Euro)","1984M05","Bullocks 200-249kg",197.99
"203","Cattle Price per Head (Euro)","1984M06","Bullocks 200-249kg",416.78
"204","Cattle Price per 100 Kg (Euro)","1984M06","Bullocks 200-249kg",183.49
"205","Cattle Price per Head (Euro)","1984M07","Bullocks 200-249kg",398.93
"206","Cattle Price per 100 Kg (Euro)","1984M07","Bullocks 200-249kg",171.24
"207","Cattle Price per Head (Euro)","1984M08","Bullocks 200-249kg",379.73
"208","Cattle Price per 100 Kg (Euro)","1984M08","Bullocks 200-249kg",166.51
"209","Cattle Price per Head (Euro)","1984M09","Bullocks 200-249kg",368.24
"210","Cattle Price per 100 Kg (Euro)","1984M09","Bullocks 200-249kg",161.57
"211","Cattle Price per Head (Euro)","1984M10","Bullocks 200-249kg",384.32
"212","Cattle Price per 100 Kg (Euro)","1984M10","Bullocks 200-249kg",169.46
"213","Cattle Price per Head (Euro)","1984M11","Bullocks 200-249kg",380.65
"214","Cattle Price per 100 Kg (Euro)","1984M11","Bullocks 200-249kg",170.06
"215","Cattle Price per Head (Euro)","1984M12","Bullocks 200-249kg",407.05
"216","Cattle Price per 100 Kg (Euro)","1984M12","Bullocks 200-249kg",178.35
"217","Cattle Price per Head (Euro)","1985M01","Bullocks 200-249kg",443.15
"218","Cattle Price per 100 Kg (Euro)","1985M01","Bullocks 200-249kg",198.23
"219","Cattle Price per Head (Euro)","1985M02","Bullocks 200-249kg",465.59
"220","Cattle Price per 100 Kg (Euro)","1985M02","Bullocks 200-249kg",204.03
"221","Cattle Price per Head (Euro)","1985M03","Bullocks 200-249kg",447.37
"222","Cattle Price per 100 Kg (Euro)","1985M03","Bullocks 200-249kg",200.68
"223","Cattle Price per Head (Euro)","1985M04","Bullocks 200-249kg",464.86
"224","Cattle Price per 100 Kg (Euro)","1985M04","Bullocks 200-249kg",206.1
"225","Cattle Price per Head (Euro)","1985M05","Bullocks 200-249kg",451.65
"226","Cattle Price per 100 Kg (Euro)","1985M05","Bullocks 200-249kg",200.07
"227","Cattle Price per Head (Euro)","1985M06","Bullocks 200-249kg",446.08
"228","Cattle Price per 100 Kg (Euro)","1985M06","Bullocks 200-249kg",193.75
"229","Cattle Price per Head (Euro)","1985M07","Bullocks 200-249kg",418.95
"230","Cattle Price per 100 Kg (Euro)","1985M07","Bullocks 200-249kg",180.84
"231","Cattle Price per Head (Euro)","1985M08","Bullocks 200-249kg",380.35
"232","Cattle Price per 100 Kg (Euro)","1985M08","Bullocks 200-249kg",163.92
"233","Cattle Price per Head (Euro)","1985M09","Bullocks 200-249kg",346.32
"234","Cattle Price per 100 Kg (Euro)","1985M09","Bullocks 200-249kg",155.21
"235","Cattle Price per Head (Euro)","1985M10","Bullocks 200-249kg",373.33
"236","Cattle Price per 100 Kg (Euro)","1985M10","Bullocks 200-249kg",162.49
