"","Statistic","Month","Type.of.Cattle","value"
"339","Cattle Price per Head (Euro)","1990M02","Bullocks 200-249kg",435
"340","Cattle Price per 100 Kg (Euro)","1990M02","Bullocks 200-249kg",188.54
"341","Cattle Price per Head (Euro)","1990M03","Bullocks 200-249kg",504.01
"342","Cattle Price per 100 Kg (Euro)","1990M03","Bullocks 200-249kg",221
"343","Cattle Price per Head (Euro)","1990M04","Bullocks 200-249kg",477.28
"344","Cattle Price per 100 Kg (Euro)","1990M04","Bullocks 200-249kg",206.09
"345","Cattle Price per Head (Euro)","1990M05","Bullocks 200-249kg",442.12
"346","Cattle Price per 100 Kg (Euro)","1990M05","Bullocks 200-249kg",193.94
"347","Cattle Price per Head (Euro)","1990M06","Bullocks 200-249kg",418.8
"348","Cattle Price per 100 Kg (Euro)","1990M06","Bullocks 200-249kg",186.89
"349","Cattle Price per Head (Euro)","1990M07","Bullocks 200-249kg",396.37
"350","Cattle Price per 100 Kg (Euro)","1990M07","Bullocks 200-249kg",170.5
"351","Cattle Price per Head (Euro)","1990M08","Bullocks 200-249kg",395.21
"352","Cattle Price per 100 Kg (Euro)","1990M08","Bullocks 200-249kg",171.61
"353","Cattle Price per Head (Euro)","1990M09","Bullocks 200-249kg",383.58
"354","Cattle Price per 100 Kg (Euro)","1990M09","Bullocks 200-249kg",172.34
"355","Cattle Price per Head (Euro)","1990M10","Bullocks 200-249kg",390.65
"356","Cattle Price per 100 Kg (Euro)","1990M10","Bullocks 200-249kg",171.15
"357","Cattle Price per Head (Euro)","1990M11","Bullocks 200-249kg",421.62
"358","Cattle Price per 100 Kg (Euro)","1990M11","Bullocks 200-249kg",185.76
"359","Cattle Price per Head (Euro)","1990M12","Bullocks 200-249kg",410.32
"360","Cattle Price per 100 Kg (Euro)","1990M12","Bullocks 200-249kg",184.9
"361","Cattle Price per Head (Euro)","1991M01","Bullocks 200-249kg",383.5
"362","Cattle Price per 100 Kg (Euro)","1991M01","Bullocks 200-249kg",171.71
"363","Cattle Price per Head (Euro)","1991M02","Bullocks 200-249kg",393.62
"364","Cattle Price per 100 Kg (Euro)","1991M02","Bullocks 200-249kg",178.94
"365","Cattle Price per Head (Euro)","1991M03","Bullocks 200-249kg",397.54
"366","Cattle Price per 100 Kg (Euro)","1991M03","Bullocks 200-249kg",175.33
"367","Cattle Price per Head (Euro)","1991M04","Bullocks 200-249kg",394.18
"368","Cattle Price per 100 Kg (Euro)","1991M04","Bullocks 200-249kg",172.75
"369","Cattle Price per Head (Euro)","1991M05","Bullocks 200-249kg",404.88
"370","Cattle Price per 100 Kg (Euro)","1991M05","Bullocks 200-249kg",177.18
"371","Cattle Price per Head (Euro)","1991M06","Bullocks 200-249kg",380.72
"372","Cattle Price per 100 Kg (Euro)","1991M06","Bullocks 200-249kg",167.82
"373","Cattle Price per Head (Euro)","1991M07","Bullocks 200-249kg",333.06
"374","Cattle Price per 100 Kg (Euro)","1991M07","Bullocks 200-249kg",146.4
"375","Cattle Price per Head (Euro)","1991M08","Bullocks 200-249kg",327.81
"376","Cattle Price per 100 Kg (Euro)","1991M08","Bullocks 200-249kg",144.81
"377","Cattle Price per Head (Euro)","1991M09","Bullocks 200-249kg",380.98
"378","Cattle Price per 100 Kg (Euro)","1991M09","Bullocks 200-249kg",170.45
"379","Cattle Price per Head (Euro)","1991M10","Bullocks 200-249kg",354.42
"380","Cattle Price per 100 Kg (Euro)","1991M10","Bullocks 200-249kg",157.22
"381","Cattle Price per Head (Euro)","1991M11","Bullocks 200-249kg",354.21
"382","Cattle Price per 100 Kg (Euro)","1991M11","Bullocks 200-249kg",155.25
"383","Cattle Price per Head (Euro)","1991M12","Bullocks 200-249kg",388.78
"384","Cattle Price per 100 Kg (Euro)","1991M12","Bullocks 200-249kg",165.19
"385","Cattle Price per Head (Euro)","1992M01","Bullocks 200-249kg",387.24
"386","Cattle Price per 100 Kg (Euro)","1992M01","Bullocks 200-249kg",171.57
"387","Cattle Price per Head (Euro)","1992M02","Bullocks 200-249kg",414.11
"388","Cattle Price per 100 Kg (Euro)","1992M02","Bullocks 200-249kg",183.73
"389","Cattle Price per Head (Euro)","1992M03","Bullocks 200-249kg",407.69
"390","Cattle Price per 100 Kg (Euro)","1992M03","Bullocks 200-249kg",180.8
"391","Cattle Price per Head (Euro)","1992M04","Bullocks 200-249kg",422.49
"392","Cattle Price per 100 Kg (Euro)","1992M04","Bullocks 200-249kg",183.67
"393","Cattle Price per Head (Euro)","1992M05","Bullocks 200-249kg",412.03
"394","Cattle Price per 100 Kg (Euro)","1992M05","Bullocks 200-249kg",179.08
"395","Cattle Price per Head (Euro)","1992M06","Bullocks 200-249kg",446.34
"396","Cattle Price per 100 Kg (Euro)","1992M06","Bullocks 200-249kg",195.96
"397","Cattle Price per Head (Euro)","1992M07","Bullocks 200-249kg",434.35
"398","Cattle Price per 100 Kg (Euro)","1992M07","Bullocks 200-249kg",186.58
"399","Cattle Price per Head (Euro)","1992M08","Bullocks 200-249kg",444.04
"400","Cattle Price per 100 Kg (Euro)","1992M08","Bullocks 200-249kg",195.5
"401","Cattle Price per Head (Euro)","1992M09","Bullocks 200-249kg",446.74
"402","Cattle Price per 100 Kg (Euro)","1992M09","Bullocks 200-249kg",191.84
"403","Cattle Price per Head (Euro)","1992M10","Bullocks 200-249kg",394.61
"404","Cattle Price per 100 Kg (Euro)","1992M10","Bullocks 200-249kg",177.05
"405","Cattle Price per Head (Euro)","1992M11","Bullocks 200-249kg",366.93
"406","Cattle Price per 100 Kg (Euro)","1992M11","Bullocks 200-249kg",159.02
"407","Cattle Price per Head (Euro)","1992M12","Bullocks 200-249kg",395.73
"408","Cattle Price per 100 Kg (Euro)","1992M12","Bullocks 200-249kg",171.82
"409","Cattle Price per Head (Euro)","1993M01","Bullocks 200-249kg",397.09
"410","Cattle Price per 100 Kg (Euro)","1993M01","Bullocks 200-249kg",178.2
"411","Cattle Price per Head (Euro)","1993M02","Bullocks 200-249kg",441.59
"412","Cattle Price per 100 Kg (Euro)","1993M02","Bullocks 200-249kg",195.18
"413","Cattle Price per Head (Euro)","1993M03","Bullocks 200-249kg",442.92
"414","Cattle Price per 100 Kg (Euro)","1993M03","Bullocks 200-249kg",195.76
"415","Cattle Price per Head (Euro)","1993M04","Bullocks 200-249kg",425.3
"416","Cattle Price per 100 Kg (Euro)","1993M04","Bullocks 200-249kg",187.76
"417","Cattle Price per Head (Euro)","1993M05","Bullocks 200-249kg",443.93
"418","Cattle Price per 100 Kg (Euro)","1993M05","Bullocks 200-249kg",199.7
"419","Cattle Price per Head (Euro)","1993M06","Bullocks 200-249kg",461.32
"420","Cattle Price per 100 Kg (Euro)","1993M06","Bullocks 200-249kg",202.28
"421","Cattle Price per Head (Euro)","1993M07","Bullocks 200-249kg",418.96
"422","Cattle Price per 100 Kg (Euro)","1993M07","Bullocks 200-249kg",182.84
"423","Cattle Price per Head (Euro)","1993M08","Bullocks 200-249kg",448.64
"424","Cattle Price per 100 Kg (Euro)","1993M08","Bullocks 200-249kg",190.33
"425","Cattle Price per Head (Euro)","1993M09","Bullocks 200-249kg",428.82
"426","Cattle Price per 100 Kg (Euro)","1993M09","Bullocks 200-249kg",189.76
"427","Cattle Price per Head (Euro)","1993M10","Bullocks 200-249kg",424.61
"428","Cattle Price per 100 Kg (Euro)","1993M10","Bullocks 200-249kg",187.58
"429","Cattle Price per Head (Euro)","1993M11","Bullocks 200-249kg",437.21
"430","Cattle Price per 100 Kg (Euro)","1993M11","Bullocks 200-249kg",188.59
"431","Cattle Price per Head (Euro)","1993M12","Bullocks 200-249kg",440.89
"432","Cattle Price per 100 Kg (Euro)","1993M12","Bullocks 200-249kg",198.79
"433","Cattle Price per Head (Euro)","1994M01","Bullocks 200-249kg",492.93
"434","Cattle Price per 100 Kg (Euro)","1994M01","Bullocks 200-249kg",212.2
"435","Cattle Price per Head (Euro)","1994M02","Bullocks 200-249kg",497.43
"436","Cattle Price per 100 Kg (Euro)","1994M02","Bullocks 200-249kg",216.41
"437","Cattle Price per Head (Euro)","1994M03","Bullocks 200-249kg",574.32
"438","Cattle Price per 100 Kg (Euro)","1994M03","Bullocks 200-249kg",226.9
"439","Cattle Price per Head (Euro)","1994M04","Bullocks 200-249kg",481.14
"440","Cattle Price per 100 Kg (Euro)","1994M04","Bullocks 200-249kg",206.33
"441","Cattle Price per Head (Euro)","1994M05","Bullocks 200-249kg",494.52
"442","Cattle Price per 100 Kg (Euro)","1994M05","Bullocks 200-249kg",218.53
"443","Cattle Price per Head (Euro)","1994M06","Bullocks 200-249kg",474.09
"444","Cattle Price per 100 Kg (Euro)","1994M06","Bullocks 200-249kg",205.39
"445","Cattle Price per Head (Euro)","1994M07","Bullocks 200-249kg",433.35
"446","Cattle Price per 100 Kg (Euro)","1994M07","Bullocks 200-249kg",191.08
"447","Cattle Price per Head (Euro)","1994M08","Bullocks 200-249kg",404.23
"448","Cattle Price per 100 Kg (Euro)","1994M08","Bullocks 200-249kg",181.41
"449","Cattle Price per Head (Euro)","1994M09","Bullocks 200-249kg",396.17
"450","Cattle Price per 100 Kg (Euro)","1994M09","Bullocks 200-249kg",175.8
"451","Cattle Price per Head (Euro)","1994M10","Bullocks 200-249kg",427.58
"452","Cattle Price per 100 Kg (Euro)","1994M10","Bullocks 200-249kg",189.97
"453","Cattle Price per Head (Euro)","1994M11","Bullocks 200-249kg",452.59
"454","Cattle Price per 100 Kg (Euro)","1994M11","Bullocks 200-249kg",189.33
"455","Cattle Price per Head (Euro)","1994M12","Bullocks 200-249kg",437.22
"456","Cattle Price per 100 Kg (Euro)","1994M12","Bullocks 200-249kg",195.92
"457","Cattle Price per Head (Euro)","1995M01","Bullocks 200-249kg",471.65
"458","Cattle Price per 100 Kg (Euro)","1995M01","Bullocks 200-249kg",213.25
"459","Cattle Price per Head (Euro)","1995M02","Bullocks 200-249kg",484.12
"460","Cattle Price per 100 Kg (Euro)","1995M02","Bullocks 200-249kg",211.53
"461","Cattle Price per Head (Euro)","1995M03","Bullocks 200-249kg",485.8
"462","Cattle Price per 100 Kg (Euro)","1995M03","Bullocks 200-249kg",212.01
"463","Cattle Price per Head (Euro)","1995M04","Bullocks 200-249kg",493.98
"464","Cattle Price per 100 Kg (Euro)","1995M04","Bullocks 200-249kg",213.68
"465","Cattle Price per Head (Euro)","1995M05","Bullocks 200-249kg",489.78
"466","Cattle Price per 100 Kg (Euro)","1995M05","Bullocks 200-249kg",212.08
"467","Cattle Price per Head (Euro)","1995M06","Bullocks 200-249kg",464.37
"468","Cattle Price per 100 Kg (Euro)","1995M06","Bullocks 200-249kg",209.63
"469","Cattle Price per Head (Euro)","1995M07","Bullocks 200-249kg",473.35
"470","Cattle Price per 100 Kg (Euro)","1995M07","Bullocks 200-249kg",203.76
"471","Cattle Price per Head (Euro)","1995M08","Bullocks 200-249kg",465.11
"472","Cattle Price per 100 Kg (Euro)","1995M08","Bullocks 200-249kg",207.56
"473","Cattle Price per Head (Euro)","1995M09","Bullocks 200-249kg",471.78
"474","Cattle Price per 100 Kg (Euro)","1995M09","Bullocks 200-249kg",212.86
"475","Cattle Price per Head (Euro)","1995M10","Bullocks 200-249kg",391.85
"476","Cattle Price per 100 Kg (Euro)","1995M10","Bullocks 200-249kg",175.23
"477","Cattle Price per Head (Euro)","1995M11","Bullocks 200-249kg",465.03
"478","Cattle Price per 100 Kg (Euro)","1995M11","Bullocks 200-249kg",207.38
"479","Cattle Price per Head (Euro)","1995M12","Bullocks 200-249kg",408.3
"480","Cattle Price per 100 Kg (Euro)","1995M12","Bullocks 200-249kg",180.2
"481","Cattle Price per Head (Euro)","1996M01","Bullocks 200-249kg",482.27
"482","Cattle Price per 100 Kg (Euro)","1996M01","Bullocks 200-249kg",216.23
"483","Cattle Price per Head (Euro)","1996M02","Bullocks 200-249kg",496.83
"484","Cattle Price per 100 Kg (Euro)","1996M02","Bullocks 200-249kg",214.34
"485","Cattle Price per Head (Euro)","1996M03","Bullocks 200-249kg",472.99
"486","Cattle Price per 100 Kg (Euro)","1996M03","Bullocks 200-249kg",205.27
"487","Cattle Price per Head (Euro)","1996M04","Bullocks 200-249kg",440.69
"488","Cattle Price per 100 Kg (Euro)","1996M04","Bullocks 200-249kg",191.41
"489","Cattle Price per Head (Euro)","1996M05","Bullocks 200-249kg",419.62
"490","Cattle Price per 100 Kg (Euro)","1996M05","Bullocks 200-249kg",189.35
"491","Cattle Price per Head (Euro)","1996M06","Bullocks 200-249kg",413.93
"492","Cattle Price per 100 Kg (Euro)","1996M06","Bullocks 200-249kg",182.57
"493","Cattle Price per Head (Euro)","1996M07","Bullocks 200-249kg",356.8
"494","Cattle Price per 100 Kg (Euro)","1996M07","Bullocks 200-249kg",157
"495","Cattle Price per Head (Euro)","1996M08","Bullocks 200-249kg",399.2
"496","Cattle Price per 100 Kg (Euro)","1996M08","Bullocks 200-249kg",173.79
"497","Cattle Price per Head (Euro)","1996M09","Bullocks 200-249kg",409.84
"498","Cattle Price per 100 Kg (Euro)","1996M09","Bullocks 200-249kg",176.63
"499","Cattle Price per Head (Euro)","1996M10","Bullocks 200-249kg",425.07
"500","Cattle Price per 100 Kg (Euro)","1996M10","Bullocks 200-249kg",188.2
"501","Cattle Price per Head (Euro)","1996M11","Bullocks 200-249kg",344.41
"502","Cattle Price per 100 Kg (Euro)","1996M11","Bullocks 200-249kg",148.73
"503","Cattle Price per Head (Euro)","1996M12","Bullocks 200-249kg",390.44
"504","Cattle Price per 100 Kg (Euro)","1996M12","Bullocks 200-249kg",166.49
"505","Cattle Price per Head (Euro)","1997M01","Bullocks 200-249kg",374.47
"506","Cattle Price per 100 Kg (Euro)","1997M01","Bullocks 200-249kg",162.14
"507","Cattle Price per Head (Euro)","1997M02","Bullocks 200-249kg",364.16
"508","Cattle Price per 100 Kg (Euro)","1997M02","Bullocks 200-249kg",159.1
"509","Cattle Price per Head (Euro)","1997M03","Bullocks 200-249kg",416.13
"510","Cattle Price per 100 Kg (Euro)","1997M03","Bullocks 200-249kg",187.85
"511","Cattle Price per Head (Euro)","1997M04","Bullocks 200-249kg",368.89
"512","Cattle Price per 100 Kg (Euro)","1997M04","Bullocks 200-249kg",159.36
"513","Cattle Price per Head (Euro)","1997M05","Bullocks 200-249kg",375.6
"514","Cattle Price per 100 Kg (Euro)","1997M05","Bullocks 200-249kg",164.12
"515","Cattle Price per Head (Euro)","1997M06","Bullocks 200-249kg",415.02
"516","Cattle Price per 100 Kg (Euro)","1997M06","Bullocks 200-249kg",184.21
"517","Cattle Price per Head (Euro)","1997M07","Bullocks 200-249kg",391.53
"518","Cattle Price per 100 Kg (Euro)","1997M07","Bullocks 200-249kg",172.2
"519","Cattle Price per Head (Euro)","1997M08","Bullocks 200-249kg",416.47
"520","Cattle Price per 100 Kg (Euro)","1997M08","Bullocks 200-249kg",182.15
"521","Cattle Price per Head (Euro)","1997M09","Bullocks 200-249kg",371.85
"522","Cattle Price per 100 Kg (Euro)","1997M09","Bullocks 200-249kg",169.08
"523","Cattle Price per Head (Euro)","1997M10","Bullocks 200-249kg",377.28
"524","Cattle Price per 100 Kg (Euro)","1997M10","Bullocks 200-249kg",164.31
"525","Cattle Price per Head (Euro)","1997M11","Bullocks 200-249kg",402.21
"526","Cattle Price per 100 Kg (Euro)","1997M11","Bullocks 200-249kg",176.11
"527","Cattle Price per Head (Euro)","1997M12","Bullocks 200-249kg",414.64
"528","Cattle Price per 100 Kg (Euro)","1997M12","Bullocks 200-249kg",181.04
"529","Cattle Price per Head (Euro)","1998M01","Bullocks 200-249kg",396.96
"530","Cattle Price per 100 Kg (Euro)","1998M01","Bullocks 200-249kg",173.93
"531","Cattle Price per Head (Euro)","1998M02","Bullocks 200-249kg",389.26
"532","Cattle Price per 100 Kg (Euro)","1998M02","Bullocks 200-249kg",169.74
"533","Cattle Price per Head (Euro)","1998M03","Bullocks 200-249kg",415.84
"534","Cattle Price per 100 Kg (Euro)","1998M03","Bullocks 200-249kg",181.57
"535","Cattle Price per Head (Euro)","1998M04","Bullocks 200-249kg",398.11
"536","Cattle Price per 100 Kg (Euro)","1998M04","Bullocks 200-249kg",174.43
"537","Cattle Price per Head (Euro)","1998M05","Bullocks 200-249kg",390.39
"538","Cattle Price per 100 Kg (Euro)","1998M05","Bullocks 200-249kg",170.24
"539","Cattle Price per Head (Euro)","1998M06","Bullocks 200-249kg",374.48
"540","Cattle Price per 100 Kg (Euro)","1998M06","Bullocks 200-249kg",162.77
"541","Cattle Price per Head (Euro)","1998M07","Bullocks 200-249kg",352.9
"542","Cattle Price per 100 Kg (Euro)","1998M07","Bullocks 200-249kg",152.84
"543","Cattle Price per Head (Euro)","1998M08","Bullocks 200-249kg",326.27
"544","Cattle Price per 100 Kg (Euro)","1998M08","Bullocks 200-249kg",143.39
"545","Cattle Price per Head (Euro)","1998M09","Bullocks 200-249kg",341.84
"546","Cattle Price per 100 Kg (Euro)","1998M09","Bullocks 200-249kg",147.63
"547","Cattle Price per Head (Euro)","1998M10","Bullocks 200-249kg",318.7
"548","Cattle Price per 100 Kg (Euro)","1998M10","Bullocks 200-249kg",140.55
"549","Cattle Price per Head (Euro)","1998M11","Bullocks 200-249kg",268.23
"550","Cattle Price per 100 Kg (Euro)","1998M11","Bullocks 200-249kg",118.16
"551","Cattle Price per Head (Euro)","1998M12","Bullocks 200-249kg",253.77
"552","Cattle Price per 100 Kg (Euro)","1998M12","Bullocks 200-249kg",110.16
"553","Cattle Price per Head (Euro)","1999M01","Bullocks 200-249kg",296.32
"554","Cattle Price per 100 Kg (Euro)","1999M01","Bullocks 200-249kg",136.83
"555","Cattle Price per Head (Euro)","1999M02","Bullocks 200-249kg",327.79
"556","Cattle Price per 100 Kg (Euro)","1999M02","Bullocks 200-249kg",143.8
"557","Cattle Price per Head (Euro)","1999M03","Bullocks 200-249kg",338.89
"558","Cattle Price per 100 Kg (Euro)","1999M03","Bullocks 200-249kg",146.38
"559","Cattle Price per Head (Euro)","1999M04","Bullocks 200-249kg",293.63
"560","Cattle Price per 100 Kg (Euro)","1999M04","Bullocks 200-249kg",141.2
"561","Cattle Price per Head (Euro)","1999M05","Bullocks 200-249kg",312.46
"562","Cattle Price per 100 Kg (Euro)","1999M05","Bullocks 200-249kg",136.09
"563","Cattle Price per Head (Euro)","1999M06","Bullocks 200-249kg",276.46
"564","Cattle Price per 100 Kg (Euro)","1999M06","Bullocks 200-249kg",119.79
"565","Cattle Price per Head (Euro)","1999M07","Bullocks 200-249kg",268.96
"566","Cattle Price per 100 Kg (Euro)","1999M07","Bullocks 200-249kg",119.62
"567","Cattle Price per Head (Euro)","1999M08","Bullocks 200-249kg",282.03
"568","Cattle Price per 100 Kg (Euro)","1999M08","Bullocks 200-249kg",120.66
"569","Cattle Price per Head (Euro)","1999M09","Bullocks 200-249kg",282.29
"570","Cattle Price per 100 Kg (Euro)","1999M09","Bullocks 200-249kg",123.1
"571","Cattle Price per Head (Euro)","1999M10","Bullocks 200-249kg",265.31
"572","Cattle Price per 100 Kg (Euro)","1999M10","Bullocks 200-249kg",115.99
"573","Cattle Price per Head (Euro)","1999M11","Bullocks 200-249kg",370.48
"574","Cattle Price per 100 Kg (Euro)","1999M11","Bullocks 200-249kg",161.47
"575","Cattle Price per Head (Euro)","1999M12","Bullocks 200-249kg",293.74
"576","Cattle Price per 100 Kg (Euro)","1999M12","Bullocks 200-249kg",132.66
"577","Cattle Price per Head (Euro)","2000M01","Bullocks 200-249kg",329.99
"578","Cattle Price per 100 Kg (Euro)","2000M01","Bullocks 200-249kg",144.17
"579","Cattle Price per Head (Euro)","2000M02","Bullocks 200-249kg",401.01
"580","Cattle Price per 100 Kg (Euro)","2000M02","Bullocks 200-249kg",173.69
"581","Cattle Price per Head (Euro)","2000M03","Bullocks 200-249kg",387.08
"582","Cattle Price per 100 Kg (Euro)","2000M03","Bullocks 200-249kg",168.48
"583","Cattle Price per Head (Euro)","2000M04","Bullocks 200-249kg",404.77
"584","Cattle Price per 100 Kg (Euro)","2000M04","Bullocks 200-249kg",175.97
"585","Cattle Price per Head (Euro)","2000M05","Bullocks 200-249kg",447.79
"586","Cattle Price per 100 Kg (Euro)","2000M05","Bullocks 200-249kg",194.3
"587","Cattle Price per Head (Euro)","2000M06","Bullocks 200-249kg",443.49
"588","Cattle Price per 100 Kg (Euro)","2000M06","Bullocks 200-249kg",192.95
"589","Cattle Price per Head (Euro)","2000M07","Bullocks 200-249kg",466.2
"590","Cattle Price per 100 Kg (Euro)","2000M07","Bullocks 200-249kg",199.98
"591","Cattle Price per Head (Euro)","2000M08","Bullocks 200-249kg",466.78
"592","Cattle Price per 100 Kg (Euro)","2000M08","Bullocks 200-249kg",201.09
"593","Cattle Price per Head (Euro)","2000M09","Bullocks 200-249kg",510.8
"594","Cattle Price per 100 Kg (Euro)","2000M09","Bullocks 200-249kg",223.29
"595","Cattle Price per Head (Euro)","2000M10","Bullocks 200-249kg",494.75
"596","Cattle Price per 100 Kg (Euro)","2000M10","Bullocks 200-249kg",216.98
"597","Cattle Price per Head (Euro)","2000M11","Bullocks 200-249kg",465.77
