"","Statistic","Year","Type.of.Cattle","value"
"196","Cattle Price per 100 Kg (Euro)","1997","Bullocks 300-349kg",156.42
"197","Cattle Price per Head (Euro)","1998","Bullocks 300-349kg",468.7
"198","Cattle Price per 100 Kg (Euro)","1998","Bullocks 300-349kg",144.14
"199","Cattle Price per Head (Euro)","1999","Bullocks 300-349kg",408.76
"200","Cattle Price per 100 Kg (Euro)","1999","Bullocks 300-349kg",125.41
"201","Cattle Price per Head (Euro)","2000","Bullocks 300-349kg",543.8
"202","Cattle Price per 100 Kg (Euro)","2000","Bullocks 300-349kg",166.99
"203","Cattle Price per Head (Euro)","2001","Bullocks 300-349kg",533.96
"204","Cattle Price per 100 Kg (Euro)","2001","Bullocks 300-349kg",163.7
"205","Cattle Price per Head (Euro)","2002","Bullocks 300-349kg",557.26
"206","Cattle Price per 100 Kg (Euro)","2002","Bullocks 300-349kg",171.36
"207","Cattle Price per Head (Euro)","2003","Bullocks 300-349kg",558.29
"208","Cattle Price per 100 Kg (Euro)","2003","Bullocks 300-349kg",171.44
"209","Cattle Price per Head (Euro)","2004","Bullocks 300-349kg",613.6
"210","Cattle Price per 100 Kg (Euro)","2004","Bullocks 300-349kg",188.49
"211","Cattle Price per Head (Euro)","2005","Bullocks 300-349kg",536.54
"212","Cattle Price per 100 Kg (Euro)","2005","Bullocks 300-349kg",164.71
"213","Cattle Price per Head (Euro)","2006","Bullocks 300-349kg",526.68
"214","Cattle Price per 100 Kg (Euro)","2006","Bullocks 300-349kg",161.66
"215","Cattle Price per Head (Euro)","2007","Bullocks 300-349kg",534.86
"216","Cattle Price per 100 Kg (Euro)","2007","Bullocks 300-349kg",164.19
"217","Cattle Price per Head (Euro)","2008","Bullocks 300-349kg",590.89
"218","Cattle Price per 100 Kg (Euro)","2008","Bullocks 300-349kg",181.47
"219","Cattle Price per Head (Euro)","2009","Bullocks 300-349kg",499.88
"220","Cattle Price per 100 Kg (Euro)","2009","Bullocks 300-349kg",153.44
"221","Cattle Price per Head (Euro)","2010","Bullocks 300-349kg",505.22
"222","Cattle Price per 100 Kg (Euro)","2010","Bullocks 300-349kg",155.21
"223","Cattle Price per Head (Euro)","2011","Bullocks 300-349kg",655.9
"224","Cattle Price per 100 Kg (Euro)","2011","Bullocks 300-349kg",201.43
"225","Cattle Price per Head (Euro)","2012","Bullocks 300-349kg",749.01
"226","Cattle Price per 100 Kg (Euro)","2012","Bullocks 300-349kg",229.8
"227","Cattle Price per Head (Euro)","2013","Bullocks 300-349kg",641.13
"228","Cattle Price per 100 Kg (Euro)","2013","Bullocks 300-349kg",197
"229","Cattle Price per Head (Euro)","1976","Bullocks 350-399kg",270.47
"230","Cattle Price per 100 Kg (Euro)","1976","Bullocks 350-399kg",72.16
"231","Cattle Price per Head (Euro)","1977","Bullocks 350-399kg",320.28
"232","Cattle Price per 100 Kg (Euro)","1977","Bullocks 350-399kg",85.81
"233","Cattle Price per Head (Euro)","1978","Bullocks 350-399kg",378.23
"234","Cattle Price per 100 Kg (Euro)","1978","Bullocks 350-399kg",101.58
"235","Cattle Price per Head (Euro)","1979","Bullocks 350-399kg",396.76
"236","Cattle Price per 100 Kg (Euro)","1979","Bullocks 350-399kg",106.62
"237","Cattle Price per Head (Euro)","1980","Bullocks 350-399kg",376.36
"238","Cattle Price per 100 Kg (Euro)","1980","Bullocks 350-399kg",101.05
"239","Cattle Price per Head (Euro)","1981","Bullocks 350-399kg",466.95
"240","Cattle Price per 100 Kg (Euro)","1981","Bullocks 350-399kg",125.3
"241","Cattle Price per Head (Euro)","1982","Bullocks 350-399kg",521.38
"242","Cattle Price per 100 Kg (Euro)","1982","Bullocks 350-399kg",139.77
"243","Cattle Price per Head (Euro)","1983","Bullocks 350-399kg",567.33
"244","Cattle Price per 100 Kg (Euro)","1983","Bullocks 350-399kg",152.25
"245","Cattle Price per Head (Euro)","1984","Bullocks 350-399kg",593.45
"246","Cattle Price per 100 Kg (Euro)","1984","Bullocks 350-399kg",159.03
"247","Cattle Price per Head (Euro)","1985","Bullocks 350-399kg",590.4
"248","Cattle Price per 100 Kg (Euro)","1985","Bullocks 350-399kg",158.21
"249","Cattle Price per Head (Euro)","1986","Bullocks 350-399kg",542.03
"250","Cattle Price per 100 Kg (Euro)","1986","Bullocks 350-399kg",144.83
"251","Cattle Price per Head (Euro)","1987","Bullocks 350-399kg",613
"252","Cattle Price per 100 Kg (Euro)","1987","Bullocks 350-399kg",164.27
"253","Cattle Price per Head (Euro)","1988","Bullocks 350-399kg",721.26
"254","Cattle Price per 100 Kg (Euro)","1988","Bullocks 350-399kg",193.13
"255","Cattle Price per Head (Euro)","1989","Bullocks 350-399kg",699.97
"256","Cattle Price per 100 Kg (Euro)","1989","Bullocks 350-399kg",187.57
"257","Cattle Price per Head (Euro)","1990","Bullocks 350-399kg",605.17
"258","Cattle Price per 100 Kg (Euro)","1990","Bullocks 350-399kg",161.69
"259","Cattle Price per Head (Euro)","1991","Bullocks 350-399kg",567.07
"260","Cattle Price per 100 Kg (Euro)","1991","Bullocks 350-399kg",151.45
"261","Cattle Price per Head (Euro)","1992","Bullocks 350-399kg",578.66
"262","Cattle Price per 100 Kg (Euro)","1992","Bullocks 350-399kg",154.87
"263","Cattle Price per Head (Euro)","1993","Bullocks 350-399kg",633.54
"264","Cattle Price per 100 Kg (Euro)","1993","Bullocks 350-399kg",168.91
"265","Cattle Price per Head (Euro)","1994","Bullocks 350-399kg",655.72
"266","Cattle Price per 100 Kg (Euro)","1994","Bullocks 350-399kg",175.73
"267","Cattle Price per Head (Euro)","1995","Bullocks 350-399kg",644.43
"268","Cattle Price per 100 Kg (Euro)","1995","Bullocks 350-399kg",171.96
"269","Cattle Price per Head (Euro)","1996","Bullocks 350-399kg",562.81
"270","Cattle Price per 100 Kg (Euro)","1996","Bullocks 350-399kg",150.04
"271","Cattle Price per Head (Euro)","1997","Bullocks 350-399kg",558.3
"272","Cattle Price per 100 Kg (Euro)","1997","Bullocks 350-399kg",148.62
"273","Cattle Price per Head (Euro)","1998","Bullocks 350-399kg",509.61
"274","Cattle Price per 100 Kg (Euro)","1998","Bullocks 350-399kg",136.11
"275","Cattle Price per Head (Euro)","1999","Bullocks 350-399kg",468.07
"276","Cattle Price per 100 Kg (Euro)","1999","Bullocks 350-399kg",124.08
"277","Cattle Price per Head (Euro)","2000","Bullocks 350-399kg",598.83
"278","Cattle Price per 100 Kg (Euro)","2000","Bullocks 350-399kg",159.83
"279","Cattle Price per Head (Euro)","2001","Bullocks 350-399kg",579.5
"280","Cattle Price per 100 Kg (Euro)","2001","Bullocks 350-399kg",154.38
"281","Cattle Price per Head (Euro)","2002","Bullocks 350-399kg",595.52
"282","Cattle Price per 100 Kg (Euro)","2002","Bullocks 350-399kg",158.96
"283","Cattle Price per Head (Euro)","2003","Bullocks 350-399kg",609.52
"284","Cattle Price per 100 Kg (Euro)","2003","Bullocks 350-399kg",162.64
"285","Cattle Price per Head (Euro)","2004","Bullocks 350-399kg",660.98
