"","Region","Year","Type.of.Animal","value"
"2395","State","1999","Total sheep",7925.5
"2396","Midlands and East","1999","Total sheep",1358.8
"2397","South-East (IRL)","1999","Total sheep",2276.5
"2398","South-West (IRL)","1999","Total sheep",989.1
"2399","West","1999","Total sheep",2116.8
"2400","North West","1999","Total sheep",1184.5
"2401","State","1980","Breeding sheep",1586.1
"2402","Midlands and East","1980","Breeding sheep",203.2
"2403","South-East (IRL)","1980","Breeding sheep",415.1
"2404","South-West (IRL)","1980","Breeding sheep",223
"2405","West","1980","Breeding sheep",486.3
"2406","North West","1980","Breeding sheep",258.4
"2407","State","1981","Breeding sheep",1659.6
"2408","Midlands and East","1981","Breeding sheep",212.1
"2409","South-East (IRL)","1981","Breeding sheep",431.9
"2410","South-West (IRL)","1981","Breeding sheep",234
"2411","West","1981","Breeding sheep",500.5
"2412","North West","1981","Breeding sheep",281.1
"2413","State","1982","Breeding sheep",1725.7
"2414","Midlands and East","1982","Breeding sheep",224.7
"2415","South-East (IRL)","1982","Breeding sheep",454.7
"2416","South-West (IRL)","1982","Breeding sheep",243.5
"2417","West","1982","Breeding sheep",514.2
"2418","North West","1982","Breeding sheep",288.6
"2419","State","1983","Breeding sheep",1871.1
"2420","Midlands and East","1983","Breeding sheep",255.2
"2421","South-East (IRL)","1983","Breeding sheep",497.8
"2422","South-West (IRL)","1983","Breeding sheep",267.1
"2423","West","1983","Breeding sheep",538.4
"2424","North West","1983","Breeding sheep",312.6
"2425","State","1984","Breeding sheep",1982.7
"2426","Midlands and East","1984","Breeding sheep",273.5
"2427","South-East (IRL)","1984","Breeding sheep",521.6
"2428","South-West (IRL)","1984","Breeding sheep",280
"2429","West","1984","Breeding sheep",570.9
"2430","North West","1984","Breeding sheep",336.6
"2431","State","1985","Breeding sheep",2188.9
"2432","Midlands and East","1985","Breeding sheep",310.4
"2433","South-East (IRL)","1985","Breeding sheep",571.1
"2434","South-West (IRL)","1985","Breeding sheep",313.7
"2435","West","1985","Breeding sheep",628.9
"2436","North West","1985","Breeding sheep",364.9
"2437","State","1986","Breeding sheep",2394.4
"2438","Midlands and East","1986","Breeding sheep",341.1
"2439","South-East (IRL)","1986","Breeding sheep",635.5
"2440","South-West (IRL)","1986","Breeding sheep",343.2
"2441","West","1986","Breeding sheep",662.4
"2442","North West","1986","Breeding sheep",412.1
"2443","State","1987","Breeding sheep",2676.2
"2444","Midlands and East","1987","Breeding sheep",390.8
"2445","South-East (IRL)","1987","Breeding sheep",716.5
"2446","South-West (IRL)","1987","Breeding sheep",391.7
"2447","West","1987","Breeding sheep",726.4
"2448","North West","1987","Breeding sheep",450.8
"2449","State","1988","Breeding sheep",3187
"2450","Midlands and East","1988","Breeding sheep",496.9
"2451","South-East (IRL)","1988","Breeding sheep",866.8
"2452","South-West (IRL)","1988","Breeding sheep",446
"2453","West","1988","Breeding sheep",843.7
"2454","North West","1988","Breeding sheep",533.6
"2455","State","1989","Breeding sheep",3801.2
"2456","Midlands and East","1989","Breeding sheep",635.1
"2457","South-East (IRL)","1989","Breeding sheep",1039.9
"2458","South-West (IRL)","1989","Breeding sheep",517
"2459","West","1989","Breeding sheep",975.6
"2460","North West","1989","Breeding sheep",633.6
"2461","State","1990","Breeding sheep",4332.7
"2462","Midlands and East","1990","Breeding sheep",750.8
"2463","South-East (IRL)","1990","Breeding sheep",1180.7
"2464","South-West (IRL)","1990","Breeding sheep",572.5
"2465","West","1990","Breeding sheep",1099.6
"2466","North West","1990","Breeding sheep",729.3
"2467","State","1991","Breeding sheep",4741.8
"2468","Midlands and East","1991","Breeding sheep",823.9
"2469","South-East (IRL)","1991","Breeding sheep",1310.9
"2470","South-West (IRL)","1991","Breeding sheep",690.8
"2471","West","1991","Breeding sheep",1188.2
"2472","North West","1991","Breeding sheep",727.9
"2473","State","1992","Breeding sheep",4867.7
"2474","Midlands and East","1992","Breeding sheep",841.4
"2475","South-East (IRL)","1992","Breeding sheep",1323.8
"2476","South-West (IRL)","1992","Breeding sheep",726.6
"2477","West","1992","Breeding sheep",1219.3
"2478","North West","1992","Breeding sheep",756.6
"2479","State","1993","Breeding sheep",4839.8
"2480","Midlands and East","1993","Breeding sheep",827.7
"2481","South-East (IRL)","1993","Breeding sheep",1305.7
"2482","South-West (IRL)","1993","Breeding sheep",717.4
"2483","West","1993","Breeding sheep",1228.8
"2484","North West","1993","Breeding sheep",760.1
"2485","State","1994","Breeding sheep",4741.2
"2486","Midlands and East","1994","Breeding sheep",807.5
"2487","South-East (IRL)","1994","Breeding sheep",1291
"2488","South-West (IRL)","1994","Breeding sheep",692.7
"2489","West","1994","Breeding sheep",1208.7
"2490","North West","1994","Breeding sheep",741.2
"2491","State","1995","Breeding sheep",4613.6
"2492","Midlands and East","1995","Breeding sheep",762
"2493","South-East (IRL)","1995","Breeding sheep",1246.3
"2494","South-West (IRL)","1995","Breeding sheep",665.2
"2495","West","1995","Breeding sheep",1203.3
"2496","North West","1995","Breeding sheep",736.9
"2497","State","1996","Breeding sheep",4465.8
"2498","Midlands and East","1996","Breeding sheep",716.4
"2499","South-East (IRL)","1996","Breeding sheep",1197.8
"2500","South-West (IRL)","1996","Breeding sheep",650.2
"2501","West","1996","Breeding sheep",1185.5
"2502","North West","1996","Breeding sheep",715.9
"2503","State","1997","Breeding sheep",4491.4
"2504","Midlands and East","1997","Breeding sheep",727.5
"2505","South-East (IRL)","1997","Breeding sheep",1199.3
"2506","South-West (IRL)","1997","Breeding sheep",648.4
"2507","West","1997","Breeding sheep",1196.6
"2508","North West","1997","Breeding sheep",719.4
"2509","State","1998","Breeding sheep",4577.4
"2510","Midlands and East","1998","Breeding sheep",735.2
"2511","South-East (IRL)","1998","Breeding sheep",1213.5
"2512","South-West (IRL)","1998","Breeding sheep",658.3
"2513","West","1998","Breeding sheep",1224
"2514","North West","1998","Breeding sheep",746.4
"2515","State","1999","Breeding sheep",4398.8
"2516","Midlands and East","1999","Breeding sheep",736.5
"2517","South-East (IRL)","1999","Breeding sheep",1214.9
"2518","South-West (IRL)","1999","Breeding sheep",614.4
"2519","West","1999","Breeding sheep",1152.4
"2520","North West","1999","Breeding sheep",680.6
"2521","State","1980","Ewes",1547.4
"2522","Midlands and East","1980","Ewes",197.9
"2523","South-East (IRL)","1980","Ewes",405.5
"2524","South-West (IRL)","1980","Ewes",217.8
"2525","West","1980","Ewes",473.9
"2526","North West","1980","Ewes",252.3
"2527","State","1981","Ewes",1618.8
"2528","Midlands and East","1981","Ewes",206.6
"2529","South-East (IRL)","1981","Ewes",421.8
"2530","South-West (IRL)","1981","Ewes",228.5
"2531","West","1981","Ewes",487.4
"2532","North West","1981","Ewes",274.5
"2533","State","1982","Ewes",1682.7
"2534","Midlands and East","1982","Ewes",218.8
"2535","South-East (IRL)","1982","Ewes",443.7
"2536","South-West (IRL)","1982","Ewes",237.7
"2537","West","1982","Ewes",500.7
"2538","North West","1982","Ewes",281.8
"2539","State","1983","Ewes",1824.2
"2540","Midlands and East","1983","Ewes",248.7
"2541","South-East (IRL)","1983","Ewes",485.7
"2542","South-West (IRL)","1983","Ewes",260.9
"2543","West","1983","Ewes",523.8
"2544","North West","1983","Ewes",305.1
"2545","State","1984","Ewes",1933.1
"2546","Midlands and East","1984","Ewes",266.6
"2547","South-East (IRL)","1984","Ewes",508.8
"2548","South-West (IRL)","1984","Ewes",273.5
"2549","West","1984","Ewes",555.3
"2550","North West","1984","Ewes",328.9
"2551","State","1985","Ewes",2133.1
"2552","Midlands and East","1985","Ewes",302.5
"2553","South-East (IRL)","1985","Ewes",556.9
"2554","South-West (IRL)","1985","Ewes",306.1
"2555","West","1985","Ewes",611.2
"2556","North West","1985","Ewes",356.4
"2557","State","1986","Ewes",2334.4
"2558","Midlands and East","1986","Ewes",332.7
"2559","South-East (IRL)","1986","Ewes",619.9
"2560","South-West (IRL)","1986","Ewes",334.9
"2561","West","1986","Ewes",643.8
"2562","North West","1986","Ewes",403.1
"2563","State","1987","Ewes",2609.9
"2564","Midlands and East","1987","Ewes",381.5
"2565","South-East (IRL)","1987","Ewes",698.8
"2566","South-West (IRL)","1987","Ewes",382
"2567","West","1987","Ewes",706.6
"2568","North West","1987","Ewes",441
"2569","State","1988","Ewes",3107.4
"2570","Midlands and East","1988","Ewes",484.8
"2571","South-East (IRL)","1988","Ewes",845.2
"2572","South-West (IRL)","1988","Ewes",435
"2573","West","1988","Ewes",820.4
"2574","North West","1988","Ewes",522
"2575","State","1989","Ewes",3707.1
"2576","Midlands and East","1989","Ewes",620.4
"2577","South-East (IRL)","1989","Ewes",1014.4
"2578","South-West (IRL)","1989","Ewes",504.1
"2579","West","1989","Ewes",948.1
"2580","North West","1989","Ewes",620.1
"2581","State","1990","Ewes",4226.8
"2582","Midlands and East","1990","Ewes",733.5
"2583","South-East (IRL)","1990","Ewes",1151.3
"2584","South-West (IRL)","1990","Ewes",558.1
"2585","West","1990","Ewes",1070
"2586","North West","1990","Ewes",714
"2587","State","1991","Ewes",4626.1
"2588","Midlands and East","1991","Ewes",801.1
"2589","South-East (IRL)","1991","Ewes",1278
"2590","South-West (IRL)","1991","Ewes",675.6
"2591","West","1991","Ewes",1161.1
"2592","North West","1991","Ewes",710.3
"2593","State","1992","Ewes",4744.8
"2594","Midlands and East","1992","Ewes",817.5
"2595","South-East (IRL)","1992","Ewes",1290.5
"2596","South-West (IRL)","1992","Ewes",710.2
"2597","West","1992","Ewes",1190.4
"2598","North West","1992","Ewes",736.2
"2599","State","1993","Ewes",4718.4
"2600","Midlands and East","1993","Ewes",804.6
"2601","South-East (IRL)","1993","Ewes",1272.8
"2602","South-West (IRL)","1993","Ewes",700.9
"2603","West","1993","Ewes",1199.4
"2604","North West","1993","Ewes",740.7
"2605","State","1994","Ewes",4621.4
"2606","Midlands and East","1994","Ewes",785.5
"2607","South-East (IRL)","1994","Ewes",1258.4
"2608","South-West (IRL)","1994","Ewes",677
"2609","West","1994","Ewes",1179.8
"2610","North West","1994","Ewes",720.7
"2611","State","1995","Ewes",4495.9
"2612","Midlands and East","1995","Ewes",740.3
"2613","South-East (IRL)","1995","Ewes",1215
"2614","South-West (IRL)","1995","Ewes",650
"2615","West","1995","Ewes",1172.5
"2616","North West","1995","Ewes",718.2
"2617","State","1996","Ewes",4355.6
"2618","Midlands and East","1996","Ewes",697.9
"2619","South-East (IRL)","1996","Ewes",1168.9
"2620","South-West (IRL)","1996","Ewes",635.8
"2621","West","1996","Ewes",1154.6
"2622","North West","1996","Ewes",698.4
"2623","State","1997","Ewes",4379.3
"2624","Midlands and East","1997","Ewes",708.4
"2625","South-East (IRL)","1997","Ewes",1170.1
"2626","South-West (IRL)","1997","Ewes",633.3
"2627","West","1997","Ewes",1166.4
"2628","North West","1997","Ewes",701
"2629","State","1998","Ewes",4463.3
"2630","Midlands and East","1998","Ewes",715.5
"2631","South-East (IRL)","1998","Ewes",1183.8
"2632","South-West (IRL)","1998","Ewes",642.7
"2633","West","1998","Ewes",1193.9
"2634","North West","1998","Ewes",727.4
"2635","State","1999","Ewes",4287.1
"2636","Midlands and East","1999","Ewes",716.9
"2637","South-East (IRL)","1999","Ewes",1185.5
"2638","South-West (IRL)","1999","Ewes",599.7
"2639","West","1999","Ewes",1124
"2640","North West","1999","Ewes",661
"2641","State","1980","Ewes: 2 years and over",0
"2642","Midlands and East","1980","Ewes: 2 years and over",0
"2643","South-East (IRL)","1980","Ewes: 2 years and over",0
"2644","South-West (IRL)","1980","Ewes: 2 years and over",0
"2645","West","1980","Ewes: 2 years and over",0
"2646","North West","1980","Ewes: 2 years and over",0
"2647","State","1981","Ewes: 2 years and over",0
"2648","Midlands and East","1981","Ewes: 2 years and over",0
"2649","South-East (IRL)","1981","Ewes: 2 years and over",0
"2650","South-West (IRL)","1981","Ewes: 2 years and over",0
"2651","West","1981","Ewes: 2 years and over",0
"2652","North West","1981","Ewes: 2 years and over",0
"2653","State","1982","Ewes: 2 years and over",0
"2654","Midlands and East","1982","Ewes: 2 years and over",0
"2655","South-East (IRL)","1982","Ewes: 2 years and over",0
"2656","South-West (IRL)","1982","Ewes: 2 years and over",0
"2657","West","1982","Ewes: 2 years and over",0
"2658","North West","1982","Ewes: 2 years and over",0
"2659","State","1983","Ewes: 2 years and over",0
"2660","Midlands and East","1983","Ewes: 2 years and over",0
"2661","South-East (IRL)","1983","Ewes: 2 years and over",0
"2662","South-West (IRL)","1983","Ewes: 2 years and over",0
"2663","West","1983","Ewes: 2 years and over",0
"2664","North West","1983","Ewes: 2 years and over",0
"2665","State","1984","Ewes: 2 years and over",0
"2666","Midlands and East","1984","Ewes: 2 years and over",0
"2667","South-East (IRL)","1984","Ewes: 2 years and over",0
"2668","South-West (IRL)","1984","Ewes: 2 years and over",0
"2669","West","1984","Ewes: 2 years and over",0
"2670","North West","1984","Ewes: 2 years and over",0
"2671","State","1985","Ewes: 2 years and over",0
"2672","Midlands and East","1985","Ewes: 2 years and over",0
"2673","South-East (IRL)","1985","Ewes: 2 years and over",0
"2674","South-West (IRL)","1985","Ewes: 2 years and over",0
"2675","West","1985","Ewes: 2 years and over",0
"2676","North West","1985","Ewes: 2 years and over",0
"2677","State","1986","Ewes: 2 years and over",0
"2678","Midlands and East","1986","Ewes: 2 years and over",0
"2679","South-East (IRL)","1986","Ewes: 2 years and over",0
"2680","South-West (IRL)","1986","Ewes: 2 years and over",0
"2681","West","1986","Ewes: 2 years and over",0
"2682","North West","1986","Ewes: 2 years and over",0
"2683","State","1987","Ewes: 2 years and over",0
"2684","Midlands and East","1987","Ewes: 2 years and over",0
"2685","South-East (IRL)","1987","Ewes: 2 years and over",0
"2686","South-West (IRL)","1987","Ewes: 2 years and over",0
"2687","West","1987","Ewes: 2 years and over",0
"2688","North West","1987","Ewes: 2 years and over",0
"2689","State","1988","Ewes: 2 years and over",0
"2690","Midlands and East","1988","Ewes: 2 years and over",0
"2691","South-East (IRL)","1988","Ewes: 2 years and over",0
"2692","South-West (IRL)","1988","Ewes: 2 years and over",0
"2693","West","1988","Ewes: 2 years and over",0
"2694","North West","1988","Ewes: 2 years and over",0
"2695","State","1989","Ewes: 2 years and over",0
"2696","Midlands and East","1989","Ewes: 2 years and over",0
"2697","South-East (IRL)","1989","Ewes: 2 years and over",0
"2698","South-West (IRL)","1989","Ewes: 2 years and over",0
"2699","West","1989","Ewes: 2 years and over",0
"2700","North West","1989","Ewes: 2 years and over",0
"2701","State","1990","Ewes: 2 years and over",0
"2702","Midlands and East","1990","Ewes: 2 years and over",0
"2703","South-East (IRL)","1990","Ewes: 2 years and over",0
"2704","South-West (IRL)","1990","Ewes: 2 years and over",0
"2705","West","1990","Ewes: 2 years and over",0
"2706","North West","1990","Ewes: 2 years and over",0
"2707","State","1991","Ewes: 2 years and over",4003.2
"2708","Midlands and East","1991","Ewes: 2 years and over",705.4
"2709","South-East (IRL)","1991","Ewes: 2 years and over",1105.1
"2710","South-West (IRL)","1991","Ewes: 2 years and over",573.4
"2711","West","1991","Ewes: 2 years and over",1013.8
"2712","North West","1991","Ewes: 2 years and over",605.6
"2713","State","1992","Ewes: 2 years and over",3953.2
"2714","Midlands and East","1992","Ewes: 2 years and over",690.9
"2715","South-East (IRL)","1992","Ewes: 2 years and over",1066.9
"2716","South-West (IRL)","1992","Ewes: 2 years and over",598.3
"2717","West","1992","Ewes: 2 years and over",989
"2718","North West","1992","Ewes: 2 years and over",608
"2719","State","1993","Ewes: 2 years and over",3890.7
"2720","Midlands and East","1993","Ewes: 2 years and over",666.8
"2721","South-East (IRL)","1993","Ewes: 2 years and over",1027.6
"2722","South-West (IRL)","1993","Ewes: 2 years and over",587.6
"2723","West","1993","Ewes: 2 years and over",996
"2724","North West","1993","Ewes: 2 years and over",612.6
"2725","State","1994","Ewes: 2 years and over",3752.8
"2726","Midlands and East","1994","Ewes: 2 years and over",636.6
"2727","South-East (IRL)","1994","Ewes: 2 years and over",997.4
"2728","South-West (IRL)","1994","Ewes: 2 years and over",564.2
"2729","West","1994","Ewes: 2 years and over",971.1
"2730","North West","1994","Ewes: 2 years and over",583.5
"2731","State","1995","Ewes: 2 years and over",3666.4
"2732","Midlands and East","1995","Ewes: 2 years and over",615.4
"2733","South-East (IRL)","1995","Ewes: 2 years and over",970.5
"2734","South-West (IRL)","1995","Ewes: 2 years and over",538.1
"2735","West","1995","Ewes: 2 years and over",966.1
"2736","North West","1995","Ewes: 2 years and over",576.4
"2737","State","1996","Ewes: 2 years and over",3526.8
"2738","Midlands and East","1996","Ewes: 2 years and over",589.1
"2739","South-East (IRL)","1996","Ewes: 2 years and over",933.7
"2740","South-West (IRL)","1996","Ewes: 2 years and over",512.6
"2741","West","1996","Ewes: 2 years and over",940.2
"2742","North West","1996","Ewes: 2 years and over",551.2
"2743","State","1997","Ewes: 2 years and over",3512
"2744","Midlands and East","1997","Ewes: 2 years and over",578.4
"2745","South-East (IRL)","1997","Ewes: 2 years and over",927.3
"2746","South-West (IRL)","1997","Ewes: 2 years and over",507.9
"2747","West","1997","Ewes: 2 years and over",941.1
"2748","North West","1997","Ewes: 2 years and over",557.2
"2749","State","1998","Ewes: 2 years and over",3536.4
"2750","Midlands and East","1998","Ewes: 2 years and over",575.5
"2751","South-East (IRL)","1998","Ewes: 2 years and over",926.5
"2752","South-West (IRL)","1998","Ewes: 2 years and over",513.7
"2753","West","1998","Ewes: 2 years and over",955.6
"2754","North West","1998","Ewes: 2 years and over",564.9
"2755","State","1999","Ewes: 2 years and over",3475.8
"2756","Midlands and East","1999","Ewes: 2 years and over",584.1
"2757","South-East (IRL)","1999","Ewes: 2 years and over",956.1
"2758","South-West (IRL)","1999","Ewes: 2 years and over",484.7
"2759","West","1999","Ewes: 2 years and over",913.4
"2760","North West","1999","Ewes: 2 years and over",537.5
"2761","State","1980","Ewes: under 2 years",0
"2762","Midlands and East","1980","Ewes: under 2 years",0
"2763","South-East (IRL)","1980","Ewes: under 2 years",0
"2764","South-West (IRL)","1980","Ewes: under 2 years",0
"2765","West","1980","Ewes: under 2 years",0
"2766","North West","1980","Ewes: under 2 years",0
"2767","State","1981","Ewes: under 2 years",0
"2768","Midlands and East","1981","Ewes: under 2 years",0
"2769","South-East (IRL)","1981","Ewes: under 2 years",0
"2770","South-West (IRL)","1981","Ewes: under 2 years",0
"2771","West","1981","Ewes: under 2 years",0
"2772","North West","1981","Ewes: under 2 years",0
"2773","State","1982","Ewes: under 2 years",0
"2774","Midlands and East","1982","Ewes: under 2 years",0
"2775","South-East (IRL)","1982","Ewes: under 2 years",0
"2776","South-West (IRL)","1982","Ewes: under 2 years",0
"2777","West","1982","Ewes: under 2 years",0
"2778","North West","1982","Ewes: under 2 years",0
"2779","State","1983","Ewes: under 2 years",0
"2780","Midlands and East","1983","Ewes: under 2 years",0
"2781","South-East (IRL)","1983","Ewes: under 2 years",0
"2782","South-West (IRL)","1983","Ewes: under 2 years",0
"2783","West","1983","Ewes: under 2 years",0
"2784","North West","1983","Ewes: under 2 years",0
"2785","State","1984","Ewes: under 2 years",0
"2786","Midlands and East","1984","Ewes: under 2 years",0
"2787","South-East (IRL)","1984","Ewes: under 2 years",0
"2788","South-West (IRL)","1984","Ewes: under 2 years",0
"2789","West","1984","Ewes: under 2 years",0
"2790","North West","1984","Ewes: under 2 years",0
"2791","State","1985","Ewes: under 2 years",0
"2792","Midlands and East","1985","Ewes: under 2 years",0
"2793","South-East (IRL)","1985","Ewes: under 2 years",0
"2794","South-West (IRL)","1985","Ewes: under 2 years",0
"2795","West","1985","Ewes: under 2 years",0
"2796","North West","1985","Ewes: under 2 years",0
"2797","State","1986","Ewes: under 2 years",0
"2798","Midlands and East","1986","Ewes: under 2 years",0
"2799","South-East (IRL)","1986","Ewes: under 2 years",0
"2800","South-West (IRL)","1986","Ewes: under 2 years",0
"2801","West","1986","Ewes: under 2 years",0
"2802","North West","1986","Ewes: under 2 years",0
"2803","State","1987","Ewes: under 2 years",0
"2804","Midlands and East","1987","Ewes: under 2 years",0
"2805","South-East (IRL)","1987","Ewes: under 2 years",0
"2806","South-West (IRL)","1987","Ewes: under 2 years",0
"2807","West","1987","Ewes: under 2 years",0
"2808","North West","1987","Ewes: under 2 years",0
"2809","State","1988","Ewes: under 2 years",0
"2810","Midlands and East","1988","Ewes: under 2 years",0
"2811","South-East (IRL)","1988","Ewes: under 2 years",0
"2812","South-West (IRL)","1988","Ewes: under 2 years",0
"2813","West","1988","Ewes: under 2 years",0
"2814","North West","1988","Ewes: under 2 years",0
"2815","State","1989","Ewes: under 2 years",0
"2816","Midlands and East","1989","Ewes: under 2 years",0
"2817","South-East (IRL)","1989","Ewes: under 2 years",0
"2818","South-West (IRL)","1989","Ewes: under 2 years",0
"2819","West","1989","Ewes: under 2 years",0
"2820","North West","1989","Ewes: under 2 years",0
"2821","State","1990","Ewes: under 2 years",0
"2822","Midlands and East","1990","Ewes: under 2 years",0
"2823","South-East (IRL)","1990","Ewes: under 2 years",0
"2824","South-West (IRL)","1990","Ewes: under 2 years",0
"2825","West","1990","Ewes: under 2 years",0
"2826","North West","1990","Ewes: under 2 years",0
"2827","State","1991","Ewes: under 2 years",622.8
"2828","Midlands and East","1991","Ewes: under 2 years",95.8
"2829","South-East (IRL)","1991","Ewes: under 2 years",172.9
"2830","South-West (IRL)","1991","Ewes: under 2 years",102.2
"2831","West","1991","Ewes: under 2 years",147.2
"2832","North West","1991","Ewes: under 2 years",104.7
"2833","State","1992","Ewes: under 2 years",791.6
"2834","Midlands and East","1992","Ewes: under 2 years",126.6
"2835","South-East (IRL)","1992","Ewes: under 2 years",223.6
"2836","South-West (IRL)","1992","Ewes: under 2 years",111.9
"2837","West","1992","Ewes: under 2 years",201.3
"2838","North West","1992","Ewes: under 2 years",128.2
"2839","State","1993","Ewes: under 2 years",827.7
"2840","Midlands and East","1993","Ewes: under 2 years",137.8
"2841","South-East (IRL)","1993","Ewes: under 2 years",245.1
"2842","South-West (IRL)","1993","Ewes: under 2 years",113.3
"2843","West","1993","Ewes: under 2 years",203.4
"2844","North West","1993","Ewes: under 2 years",128.1
"2845","State","1994","Ewes: under 2 years",868.6
"2846","Midlands and East","1994","Ewes: under 2 years",148.9
"2847","South-East (IRL)","1994","Ewes: under 2 years",260.9
"2848","South-West (IRL)","1994","Ewes: under 2 years",112.8
"2849","West","1994","Ewes: under 2 years",208.7
"2850","North West","1994","Ewes: under 2 years",137.2
"2851","State","1995","Ewes: under 2 years",829.5
"2852","Midlands and East","1995","Ewes: under 2 years",124.9
"2853","South-East (IRL)","1995","Ewes: under 2 years",244.5
"2854","South-West (IRL)","1995","Ewes: under 2 years",111.9
"2855","West","1995","Ewes: under 2 years",206.4
"2856","North West","1995","Ewes: under 2 years",141.8
"2857","State","1996","Ewes: under 2 years",828.8
"2858","Midlands and East","1996","Ewes: under 2 years",108.9
"2859","South-East (IRL)","1996","Ewes: under 2 years",235.2
"2860","South-West (IRL)","1996","Ewes: under 2 years",123.2
"2861","West","1996","Ewes: under 2 years",214.3
"2862","North West","1996","Ewes: under 2 years",147.2
"2863","State","1997","Ewes: under 2 years",867.3
"2864","Midlands and East","1997","Ewes: under 2 years",130
"2865","South-East (IRL)","1997","Ewes: under 2 years",242.8
"2866","South-West (IRL)","1997","Ewes: under 2 years",125.4
"2867","West","1997","Ewes: under 2 years",225.3
"2868","North West","1997","Ewes: under 2 years",143.8
"2869","State","1998","Ewes: under 2 years",926.9
"2870","Midlands and East","1998","Ewes: under 2 years",140
"2871","South-East (IRL)","1998","Ewes: under 2 years",257.3
"2872","South-West (IRL)","1998","Ewes: under 2 years",129
"2873","West","1998","Ewes: under 2 years",238.2
"2874","North West","1998","Ewes: under 2 years",162.5
"2875","State","1999","Ewes: under 2 years",811.4
"2876","Midlands and East","1999","Ewes: under 2 years",132.8
"2877","South-East (IRL)","1999","Ewes: under 2 years",229.5
"2878","South-West (IRL)","1999","Ewes: under 2 years",115
"2879","West","1999","Ewes: under 2 years",210.6
"2880","North West","1999","Ewes: under 2 years",123.5
"2881","State","1980","Rams",38.7
"2882","Midlands and East","1980","Rams",5.3
"2883","South-East (IRL)","1980","Rams",9.6
"2884","South-West (IRL)","1980","Rams",5.2
"2885","West","1980","Rams",12.4
"2886","North West","1980","Rams",6.1
"2887","State","1981","Rams",40.8
"2888","Midlands and East","1981","Rams",5.5
"2889","South-East (IRL)","1981","Rams",10.1
"2890","South-West (IRL)","1981","Rams",5.5
"2891","West","1981","Rams",13.1
"2892","North West","1981","Rams",6.6
"2893","State","1982","Rams",43
"2894","Midlands and East","1982","Rams",5.9
"2895","South-East (IRL)","1982","Rams",11
"2896","South-West (IRL)","1982","Rams",5.8
"2897","West","1982","Rams",13.5
"2898","North West","1982","Rams",6.8
"2899","State","1983","Rams",46.9
"2900","Midlands and East","1983","Rams",6.5
"2901","South-East (IRL)","1983","Rams",12.1
"2902","South-West (IRL)","1983","Rams",6.2
"2903","West","1983","Rams",14.6
"2904","North West","1983","Rams",7.5
"2905","State","1984","Rams",49.6
"2906","Midlands and East","1984","Rams",6.9
"2907","South-East (IRL)","1984","Rams",12.8
"2908","South-West (IRL)","1984","Rams",6.5
"2909","West","1984","Rams",15.6
"2910","North West","1984","Rams",7.7
"2911","State","1985","Rams",55.8
"2912","Midlands and East","1985","Rams",7.9
"2913","South-East (IRL)","1985","Rams",14.2
"2914","South-West (IRL)","1985","Rams",7.6
"2915","West","1985","Rams",17.7
"2916","North West","1985","Rams",8.5
"2917","State","1986","Rams",60
"2918","Midlands and East","1986","Rams",8.4
"2919","South-East (IRL)","1986","Rams",15.6
"2920","South-West (IRL)","1986","Rams",8.3
"2921","West","1986","Rams",18.6
"2922","North West","1986","Rams",9
"2923","State","1987","Rams",66.3
"2924","Midlands and East","1987","Rams",9.3
"2925","South-East (IRL)","1987","Rams",17.7
"2926","South-West (IRL)","1987","Rams",9.7
"2927","West","1987","Rams",19.8
"2928","North West","1987","Rams",9.8
"2929","State","1988","Rams",79.6
"2930","Midlands and East","1988","Rams",12.1
"2931","South-East (IRL)","1988","Rams",21.6
"2932","South-West (IRL)","1988","Rams",11
"2933","West","1988","Rams",23.3
"2934","North West","1988","Rams",11.6
"2935","State","1989","Rams",94.1
"2936","Midlands and East","1989","Rams",14.7
"2937","South-East (IRL)","1989","Rams",25.5
"2938","South-West (IRL)","1989","Rams",12.9
"2939","West","1989","Rams",27.5
"2940","North West","1989","Rams",13.5
"2941","State","1990","Rams",105.9
"2942","Midlands and East","1990","Rams",17.3
"2943","South-East (IRL)","1990","Rams",29.4
"2944","South-West (IRL)","1990","Rams",14.4
"2945","West","1990","Rams",29.6
"2946","North West","1990","Rams",15.3
"2947","State","1991","Rams",115.7
"2948","Midlands and East","1991","Rams",22.8
"2949","South-East (IRL)","1991","Rams",32.9
"2950","South-West (IRL)","1991","Rams",15.2
"2951","West","1991","Rams",27.1
"2952","North West","1991","Rams",17.6
"2953","State","1992","Rams",122.9
"2954","Midlands and East","1992","Rams",23.9
"2955","South-East (IRL)","1992","Rams",33.3
"2956","South-West (IRL)","1992","Rams",16.4
"2957","West","1992","Rams",28.9
"2958","North West","1992","Rams",20.4
"2959","State","1993","Rams",121.4
"2960","Midlands and East","1993","Rams",23.1
"2961","South-East (IRL)","1993","Rams",32.9
"2962","South-West (IRL)","1993","Rams",16.5
"2963","West","1993","Rams",29.4
"2964","North West","1993","Rams",19.4
"2965","State","1994","Rams",119.8
"2966","Midlands and East","1994","Rams",22
"2967","South-East (IRL)","1994","Rams",32.6
"2968","South-West (IRL)","1994","Rams",15.7
"2969","West","1994","Rams",28.9
"2970","North West","1994","Rams",20.5
"2971","State","1995","Rams",117.7
"2972","Midlands and East","1995","Rams",21.7
"2973","South-East (IRL)","1995","Rams",31.3
"2974","South-West (IRL)","1995","Rams",15.2
