"","Year","Region","Type.of.Animal","value"
"615","2007","West","Cattle: 1-2 years",227.3
"616","2008","West","Cattle: 1-2 years",232.7
"617","2009","West","Cattle: 1-2 years",234.3
"618","2010","West","Cattle: 1-2 years",210.2
"619","2011","West","Cattle: 1-2 years",200.9
"620","2012","West","Cattle: 1-2 years",215.4
"621","2013","West","Cattle: 1-2 years",230.3
"622","2005","Mid-West","Cattle: 1-2 years",270.5
"623","2006","Mid-West","Cattle: 1-2 years",247.9
"624","2007","Mid-West","Cattle: 1-2 years",236.9
"625","2008","Mid-West","Cattle: 1-2 years",245.6
"626","2009","Mid-West","Cattle: 1-2 years",250
"627","2010","Mid-West","Cattle: 1-2 years",230
"628","2011","Mid-West","Cattle: 1-2 years",210.3
"629","2012","Mid-West","Cattle: 1-2 years",235.3
"630","2013","Mid-West","Cattle: 1-2 years",255.7
"631","2005","South-East","Cattle: 1-2 years",357.4
"632","2006","South-East","Cattle: 1-2 years",336.7
"633","2007","South-East","Cattle: 1-2 years",328.4
"634","2008","South-East","Cattle: 1-2 years",326.4
"635","2009","South-East","Cattle: 1-2 years",332.6
"636","2010","South-East","Cattle: 1-2 years",317.1
"637","2011","South-East","Cattle: 1-2 years",298.9
"638","2012","South-East","Cattle: 1-2 years",327.5
"639","2013","South-East","Cattle: 1-2 years",362.5
"640","2005","South-West","Cattle: 1-2 years",353.2
"641","2006","South-West","Cattle: 1-2 years",326.7
"642","2007","South-West","Cattle: 1-2 years",309.7
"643","2008","South-West","Cattle: 1-2 years",317
"644","2009","South-West","Cattle: 1-2 years",325.4
"645","2010","South-West","Cattle: 1-2 years",308.7
"646","2011","South-West","Cattle: 1-2 years",280.6
"647","2012","South-West","Cattle: 1-2 years",307.8
"648","2013","South-West","Cattle: 1-2 years",335.5
"649","2005","State","Cattle male: 1-2 years",972.1
"650","2006","State","Cattle male: 1-2 years",845.2
"651","2007","State","Cattle male: 1-2 years",817.9
"652","2008","State","Cattle male: 1-2 years",832.2
"653","2009","State","Cattle male: 1-2 years",851.4
"654","2010","State","Cattle male: 1-2 years",760.3
"655","2011","State","Cattle male: 1-2 years",673.4
"656","2012","State","Cattle male: 1-2 years",770.2
"657","2013","State","Cattle male: 1-2 years",872.7
"658","2005","Dublin plus Mid East","Cattle male: 1-2 years",84.5
"659","2006","Dublin plus Mid East","Cattle male: 1-2 years",72
"660","2007","Dublin plus Mid East","Cattle male: 1-2 years",72.3
"661","2008","Dublin plus Mid East","Cattle male: 1-2 years",72.7
"662","2009","Dublin plus Mid East","Cattle male: 1-2 years",73.9
"663","2010","Dublin plus Mid East","Cattle male: 1-2 years",68.2
"664","2011","Dublin plus Mid East","Cattle male: 1-2 years",62.4
"665","2012","Dublin plus Mid East","Cattle male: 1-2 years",69.3
"666","2013","Dublin plus Mid East","Cattle male: 1-2 years",80.3
"667","2005","Border","Cattle male: 1-2 years",118.1
"668","2006","Border","Cattle male: 1-2 years",99.6
"669","2007","Border","Cattle male: 1-2 years",101.8
"670","2008","Border","Cattle male: 1-2 years",101.3
"671","2009","Border","Cattle male: 1-2 years",102.7
"672","2010","Border","Cattle male: 1-2 years",94.9
"673","2011","Border","Cattle male: 1-2 years",88.8
"674","2012","Border","Cattle male: 1-2 years",95.4
"675","2013","Border","Cattle male: 1-2 years",105.7
"676","2005","Midland","Cattle male: 1-2 years",125.2
"677","2006","Midland","Cattle male: 1-2 years",108.6
"678","2007","Midland","Cattle male: 1-2 years",105.7
"679","2008","Midland","Cattle male: 1-2 years",108.8
"680","2009","Midland","Cattle male: 1-2 years",111.1
"681","2010","Midland","Cattle male: 1-2 years",101.2
"682","2011","Midland","Cattle male: 1-2 years",90.3
"683","2012","Midland","Cattle male: 1-2 years",104.4
"684","2013","Midland","Cattle male: 1-2 years",118.7
"685","2005","West","Cattle male: 1-2 years",130.6
"686","2006","West","Cattle male: 1-2 years",110.8
"687","2007","West","Cattle male: 1-2 years",111.6
"688","2008","West","Cattle male: 1-2 years",116.3
"689","2009","West","Cattle male: 1-2 years",114.5
"690","2010","West","Cattle male: 1-2 years",95.7
"691","2011","West","Cattle male: 1-2 years",88.1
"692","2012","West","Cattle male: 1-2 years",97.4
"693","2013","West","Cattle male: 1-2 years",106
"694","2005","Mid-West","Cattle male: 1-2 years",146.8
"695","2006","Mid-West","Cattle male: 1-2 years",125.8
"696","2007","Mid-West","Cattle male: 1-2 years",118.7
"697","2008","Mid-West","Cattle male: 1-2 years",124.3
"698","2009","Mid-West","Cattle male: 1-2 years",127.8
"699","2010","Mid-West","Cattle male: 1-2 years",110.1
"700","2011","Mid-West","Cattle male: 1-2 years",95.1
"701","2012","Mid-West","Cattle male: 1-2 years",114.1
"702","2013","Mid-West","Cattle male: 1-2 years",128.4
"703","2005","South-East","Cattle male: 1-2 years",189.5
"704","2006","South-East","Cattle male: 1-2 years",172.6
"705","2007","South-East","Cattle male: 1-2 years",164.6
"706","2008","South-East","Cattle male: 1-2 years",163.5
"707","2009","South-East","Cattle male: 1-2 years",168.9
"708","2010","South-East","Cattle male: 1-2 years",155.8
"709","2011","South-East","Cattle male: 1-2 years",139.9
"710","2012","South-East","Cattle male: 1-2 years",161.8
"711","2013","South-East","Cattle male: 1-2 years",184.8
"712","2005","South-West","Cattle male: 1-2 years",177.5
"713","2006","South-West","Cattle male: 1-2 years",155.9
"714","2007","South-West","Cattle male: 1-2 years",143.1
"715","2008","South-West","Cattle male: 1-2 years",145.4
"716","2009","South-West","Cattle male: 1-2 years",152.4
"717","2010","South-West","Cattle male: 1-2 years",134.5
"718","2011","South-West","Cattle male: 1-2 years",108.8
"719","2012","South-West","Cattle male: 1-2 years",127.8
"720","2013","South-West","Cattle male: 1-2 years",148.7
"721","2005","State","Cattle female: 1-2 years",900.5
"722","2006","State","Cattle female: 1-2 years",876
"723","2007","State","Cattle female: 1-2 years",867.7
"724","2008","State","Cattle female: 1-2 years",871.7
"725","2009","State","Cattle female: 1-2 years",884.2
"726","2010","State","Cattle female: 1-2 years",871.5
"727","2011","State","Cattle female: 1-2 years",854.7
"728","2012","State","Cattle female: 1-2 years",889.8
"729","2013","State","Cattle female: 1-2 years",938.3
"730","2005","Dublin plus Mid East","Cattle female: 1-2 years",82.2
"731","2006","Dublin plus Mid East","Cattle female: 1-2 years",79.9
"732","2007","Dublin plus Mid East","Cattle female: 1-2 years",77.7
"733","2008","Dublin plus Mid East","Cattle female: 1-2 years",77.6
"734","2009","Dublin plus Mid East","Cattle female: 1-2 years",77.9
"735","2010","Dublin plus Mid East","Cattle female: 1-2 years",78.1
"736","2011","Dublin plus Mid East","Cattle female: 1-2 years",77.4
"737","2012","Dublin plus Mid East","Cattle female: 1-2 years",79.6
"738","2013","Dublin plus Mid East","Cattle female: 1-2 years",85.2
"739","2005","Border","Cattle female: 1-2 years",118.4
"740","2006","Border","Cattle female: 1-2 years",115.1
"741","2007","Border","Cattle female: 1-2 years",117
"742","2008","Border","Cattle female: 1-2 years",114
"743","2009","Border","Cattle female: 1-2 years",117.8
"744","2010","Border","Cattle female: 1-2 years",115.4
"745","2011","Border","Cattle female: 1-2 years",113.3
"746","2012","Border","Cattle female: 1-2 years",114.5
"747","2013","Border","Cattle female: 1-2 years",120.8
"748","2005","Midland","Cattle female: 1-2 years",113.2
"749","2006","Midland","Cattle female: 1-2 years",110.8
"750","2007","Midland","Cattle female: 1-2 years",108.8
"751","2008","Midland","Cattle female: 1-2 years",107.8
"752","2009","Midland","Cattle female: 1-2 years",109.9
"753","2010","Midland","Cattle female: 1-2 years",108.1
"754","2011","Midland","Cattle female: 1-2 years",105.1
"755","2012","Midland","Cattle female: 1-2 years",110.7
"756","2013","Midland","Cattle female: 1-2 years",116.2
"757","2005","West","Cattle female: 1-2 years",119.1
"758","2006","West","Cattle female: 1-2 years",113.3
"759","2007","West","Cattle female: 1-2 years",115.7
"760","2008","West","Cattle female: 1-2 years",116.4
"761","2009","West","Cattle female: 1-2 years",119.8
"762","2010","West","Cattle female: 1-2 years",114.5
"763","2011","West","Cattle female: 1-2 years",112.8
"764","2012","West","Cattle female: 1-2 years",117.9
"765","2013","West","Cattle female: 1-2 years",124.3
"766","2005","Mid-West","Cattle female: 1-2 years",123.8
"767","2006","Mid-West","Cattle female: 1-2 years",122.1
"768","2007","Mid-West","Cattle female: 1-2 years",118.1
"769","2008","Mid-West","Cattle female: 1-2 years",121.3
"770","2009","Mid-West","Cattle female: 1-2 years",122.2
"771","2010","Mid-West","Cattle female: 1-2 years",119.9
"772","2011","Mid-West","Cattle female: 1-2 years",115.2
"773","2012","Mid-West","Cattle female: 1-2 years",121.2
"774","2013","Mid-West","Cattle female: 1-2 years",127.3
"775","2005","South-East","Cattle female: 1-2 years",168
"776","2006","South-East","Cattle female: 1-2 years",164.1
"777","2007","South-East","Cattle female: 1-2 years",163.8
"778","2008","South-East","Cattle female: 1-2 years",163
"779","2009","South-East","Cattle female: 1-2 years",163.6
"780","2010","South-East","Cattle female: 1-2 years",161.3
"781","2011","South-East","Cattle female: 1-2 years",159
"782","2012","South-East","Cattle female: 1-2 years",165.7
"783","2013","South-East","Cattle female: 1-2 years",177.6
"784","2005","South-West","Cattle female: 1-2 years",175.8
"785","2006","South-West","Cattle female: 1-2 years",170.8
"786","2007","South-West","Cattle female: 1-2 years",166.6
"787","2008","South-West","Cattle female: 1-2 years",171.6
"788","2009","South-West","Cattle female: 1-2 years",173
"789","2010","South-West","Cattle female: 1-2 years",174.2
"790","2011","South-West","Cattle female: 1-2 years",171.9
"791","2012","South-West","Cattle female: 1-2 years",180.1
"792","2013","South-West","Cattle female: 1-2 years",186.8
"793","2005","State","Cattle: under 1 year",1962.4
"794","2006","State","Cattle: under 1 year",1952.8
"795","2007","State","Cattle: under 1 year",1941.1
"796","2008","State","Cattle: under 1 year",1959.3
"797","2009","State","Cattle: under 1 year",1889.1
"798","2010","State","Cattle: under 1 year",1761.3
"799","2011","State","Cattle: under 1 year",1845.5
"800","2012","State","Cattle: under 1 year",2036
"801","2013","State","Cattle: under 1 year",1968.5
"802","2005","Dublin plus Mid East","Cattle: under 1 year",141
"803","2006","Dublin plus Mid East","Cattle: under 1 year",141.3
"804","2007","Dublin plus Mid East","Cattle: under 1 year",141.8
"805","2008","Dublin plus Mid East","Cattle: under 1 year",141.1
"806","2009","Dublin plus Mid East","Cattle: under 1 year",137.9
"807","2010","Dublin plus Mid East","Cattle: under 1 year",133.3
"808","2011","Dublin plus Mid East","Cattle: under 1 year",137.8
"809","2012","Dublin plus Mid East","Cattle: under 1 year",153.5
"810","2013","Dublin plus Mid East","Cattle: under 1 year",149.2
"811","2005","Border","Cattle: under 1 year",269.1
"812","2006","Border","Cattle: under 1 year",269
"813","2007","Border","Cattle: under 1 year",266.8
"814","2008","Border","Cattle: under 1 year",269.6
"815","2009","Border","Cattle: under 1 year",257.9
"816","2010","Border","Cattle: under 1 year",248.4
"817","2011","Border","Cattle: under 1 year",250.1
"818","2012","Border","Cattle: under 1 year",271.4
"819","2013","Border","Cattle: under 1 year",246.8
"820","2005","Midland","Cattle: under 1 year",213.1
"821","2006","Midland","Cattle: under 1 year",219
"822","2007","Midland","Cattle: under 1 year",216.6
"823","2008","Midland","Cattle: under 1 year",218.6
"824","2009","Midland","Cattle: under 1 year",210.2
"825","2010","Midland","Cattle: under 1 year",196.2
"826","2011","Midland","Cattle: under 1 year",207.1
"827","2012","Midland","Cattle: under 1 year",231.7
"828","2013","Midland","Cattle: under 1 year",220.5
"829","2005","West","Cattle: under 1 year",286.2
"830","2006","West","Cattle: under 1 year",289.1
"831","2007","West","Cattle: under 1 year",288.3
"832","2008","West","Cattle: under 1 year",289.5
"833","2009","West","Cattle: under 1 year",273.5
"834","2010","West","Cattle: under 1 year",255.5
"835","2011","West","Cattle: under 1 year",264.2
"836","2012","West","Cattle: under 1 year",283.5
"837","2013","West","Cattle: under 1 year",272.8
"838","2005","Mid-West","Cattle: under 1 year",301.2
"839","2006","Mid-West","Cattle: under 1 year",296.9
"840","2007","Mid-West","Cattle: under 1 year",293.6
"841","2008","Mid-West","Cattle: under 1 year",296.3
"842","2009","Mid-West","Cattle: under 1 year",282.4
"843","2010","Mid-West","Cattle: under 1 year",256.1
"844","2011","Mid-West","Cattle: under 1 year",271.3
"845","2012","Mid-West","Cattle: under 1 year",302.4
"846","2013","Mid-West","Cattle: under 1 year",292.4
"847","2005","South-East","Cattle: under 1 year",352.8
"848","2006","South-East","Cattle: under 1 year",353.4
"849","2007","South-East","Cattle: under 1 year",351.5
"850","2008","South-East","Cattle: under 1 year",354.1
"851","2009","South-East","Cattle: under 1 year",348.9
"852","2010","South-East","Cattle: under 1 year",327.4
"853","2011","South-East","Cattle: under 1 year",345.6
"854","2012","South-East","Cattle: under 1 year",388
"855","2013","South-East","Cattle: under 1 year",380
"856","2005","South-West","Cattle: under 1 year",398.9
"857","2006","South-West","Cattle: under 1 year",384.1
"858","2007","South-West","Cattle: under 1 year",382.3
"859","2008","South-West","Cattle: under 1 year",390.2
"860","2009","South-West","Cattle: under 1 year",378.1
"861","2010","South-West","Cattle: under 1 year",344.3
"862","2011","South-West","Cattle: under 1 year",369.4
"863","2012","South-West","Cattle: under 1 year",405.5
"864","2013","South-West","Cattle: under 1 year",388.8
"865","2005","State","Cattle male: under 1 year",957.5
"866","2006","State","Cattle male: under 1 year",951.1
"867","2007","State","Cattle male: under 1 year",947.1
"868","2008","State","Cattle male: under 1 year",969.4
"869","2009","State","Cattle male: under 1 year",918.2
"870","2010","State","Cattle male: under 1 year",826.7
"871","2011","State","Cattle male: under 1 year",891.9
"872","2012","State","Cattle male: under 1 year",1023.2
"873","2013","State","Cattle male: under 1 year",959.2
"874","2005","Dublin plus Mid East","Cattle male: under 1 year",66.3
"875","2006","Dublin plus Mid East","Cattle male: under 1 year",67.3
"876","2007","Dublin plus Mid East","Cattle male: under 1 year",68.1
"877","2008","Dublin plus Mid East","Cattle male: under 1 year",68.3
"878","2009","Dublin plus Mid East","Cattle male: under 1 year",66.4
"879","2010","Dublin plus Mid East","Cattle male: under 1 year",62.8
"880","2011","Dublin plus Mid East","Cattle male: under 1 year",67.3
"881","2012","Dublin plus Mid East","Cattle male: under 1 year",77.2
"882","2013","Dublin plus Mid East","Cattle male: under 1 year",73.2
"883","2005","Border","Cattle male: under 1 year",128.7
"884","2006","Border","Cattle male: under 1 year",130.2
"885","2007","Border","Cattle male: under 1 year",129.1
"886","2008","Border","Cattle male: under 1 year",131.2
"887","2009","Border","Cattle male: under 1 year",124
"888","2010","Border","Cattle male: under 1 year",119
"889","2011","Border","Cattle male: under 1 year",120.6
"890","2012","Border","Cattle male: under 1 year",134.1
"891","2013","Border","Cattle male: under 1 year",128.8
"892","2005","Midland","Cattle male: under 1 year",103.2
"893","2006","Midland","Cattle male: under 1 year",106.7
"894","2007","Midland","Cattle male: under 1 year",106.7
"895","2008","Midland","Cattle male: under 1 year",109.8
"896","2009","Midland","Cattle male: under 1 year",105.1
"897","2010","Midland","Cattle male: under 1 year",96.1
"898","2011","Midland","Cattle male: under 1 year",103.8
"899","2012","Midland","Cattle male: under 1 year",122
"900","2013","Midland","Cattle male: under 1 year",111.9
"901","2005","West","Cattle male: under 1 year",141
"902","2006","West","Cattle male: under 1 year",143.8
"903","2007","West","Cattle male: under 1 year",143.4
"904","2008","West","Cattle male: under 1 year",145
"905","2009","West","Cattle male: under 1 year",135.2
"906","2010","West","Cattle male: under 1 year",125.5
"907","2011","West","Cattle male: under 1 year",131.2
"908","2012","West","Cattle male: under 1 year",141.9
"909","2013","West","Cattle male: under 1 year",134.8
"910","2005","Mid-West","Cattle male: under 1 year",149.6
"911","2006","Mid-West","Cattle male: under 1 year",147.7
"912","2007","Mid-West","Cattle male: under 1 year",146.2
"913","2008","Mid-West","Cattle male: under 1 year",150
"914","2009","Mid-West","Cattle male: under 1 year",138.7
"915","2010","Mid-West","Cattle male: under 1 year",120.7
"916","2011","Mid-West","Cattle male: under 1 year",133
"917","2012","Mid-West","Cattle male: under 1 year",155
"918","2013","Mid-West","Cattle male: under 1 year",144.9
"919","2005","South-East","Cattle male: under 1 year",177.3
"920","2006","South-East","Cattle male: under 1 year",175.4
"921","2007","South-East","Cattle male: under 1 year",174.6
"922","2008","South-East","Cattle male: under 1 year",178.3
"923","2009","South-East","Cattle male: under 1 year",174.7
"924","2010","South-East","Cattle male: under 1 year",157.8
"925","2011","South-East","Cattle male: under 1 year",172.7
"926","2012","South-East","Cattle male: under 1 year",202.8
"927","2013","South-East","Cattle male: under 1 year",192.1
"928","2005","South-West","Cattle male: under 1 year",191.5
"929","2006","South-West","Cattle male: under 1 year",180
"930","2007","South-West","Cattle male: under 1 year",178.9
"931","2008","South-West","Cattle male: under 1 year",186.8
"932","2009","South-West","Cattle male: under 1 year",174
"933","2010","South-West","Cattle male: under 1 year",144.7
"934","2011","South-West","Cattle male: under 1 year",163.4
"935","2012","South-West","Cattle male: under 1 year",190.3
"936","2013","South-West","Cattle male: under 1 year",173.5
"937","2005","State","Cattle female: under 1 year",1004.8
"938","2006","State","Cattle female: under 1 year",1001.7
"939","2007","State","Cattle female: under 1 year",994
"940","2008","State","Cattle female: under 1 year",989.9
"941","2009","State","Cattle female: under 1 year",970.8
"942","2010","State","Cattle female: under 1 year",934.6
"943","2011","State","Cattle female: under 1 year",953.6
"944","2012","State","Cattle female: under 1 year",1012.8
"945","2013","State","Cattle female: under 1 year",1009.3
"946","2005","Dublin plus Mid East","Cattle female: under 1 year",74.8
"947","2006","Dublin plus Mid East","Cattle female: under 1 year",74
"948","2007","Dublin plus Mid East","Cattle female: under 1 year",73.7
"949","2008","Dublin plus Mid East","Cattle female: under 1 year",72.8
"950","2009","Dublin plus Mid East","Cattle female: under 1 year",71.5
"951","2010","Dublin plus Mid East","Cattle female: under 1 year",70.5
"952","2011","Dublin plus Mid East","Cattle female: under 1 year",70.6
"953","2012","Dublin plus Mid East","Cattle female: under 1 year",76.4
"954","2013","Dublin plus Mid East","Cattle female: under 1 year",75.9
"955","2005","Border","Cattle female: under 1 year",140.4
"956","2006","Border","Cattle female: under 1 year",138.9
"957","2007","Border","Cattle female: under 1 year",137.8
"958","2008","Border","Cattle female: under 1 year",138.5
"959","2009","Border","Cattle female: under 1 year",133.9
"960","2010","Border","Cattle female: under 1 year",129.5
"961","2011","Border","Cattle female: under 1 year",129.5
"962","2012","Border","Cattle female: under 1 year",137.4
"963","2013","Border","Cattle female: under 1 year",136.1
"964","2005","Midland","Cattle female: under 1 year",110
"965","2006","Midland","Cattle female: under 1 year",112.3
"966","2007","Midland","Cattle female: under 1 year",109.9
"967","2008","Midland","Cattle female: under 1 year",108.7
"968","2009","Midland","Cattle female: under 1 year",105.1
"969","2010","Midland","Cattle female: under 1 year",100.1
"970","2011","Midland","Cattle female: under 1 year",103.3
"971","2012","Midland","Cattle female: under 1 year",109.8
"972","2013","Midland","Cattle female: under 1 year",108.6
"973","2005","West","Cattle female: under 1 year",145.2
"974","2006","West","Cattle female: under 1 year",145.4
"975","2007","West","Cattle female: under 1 year",144.9
"976","2008","West","Cattle female: under 1 year",144.5
"977","2009","West","Cattle female: under 1 year",138.3
"978","2010","West","Cattle female: under 1 year",130
"979","2011","West","Cattle female: under 1 year",133
"980","2012","West","Cattle female: under 1 year",141.6
"981","2013","West","Cattle female: under 1 year",138
"982","2005","Mid-West","Cattle female: under 1 year",151.6
"983","2006","Mid-West","Cattle female: under 1 year",149.3
"984","2007","Mid-West","Cattle female: under 1 year",147.4
"985","2008","Mid-West","Cattle female: under 1 year",146.3
"986","2009","Mid-West","Cattle female: under 1 year",143.7
"987","2010","Mid-West","Cattle female: under 1 year",135.3
"988","2011","Mid-West","Cattle female: under 1 year",138.3
"989","2012","Mid-West","Cattle female: under 1 year",147.4
"990","2013","Mid-West","Cattle female: under 1 year",147.5
"991","2005","South-East","Cattle female: under 1 year",175.6
"992","2006","South-East","Cattle female: under 1 year",178
"993","2007","South-East","Cattle female: under 1 year",176.9
"994","2008","South-East","Cattle female: under 1 year",175.8
"995","2009","South-East","Cattle female: under 1 year",174.2
"996","2010","South-East","Cattle female: under 1 year",169.6
"997","2011","South-East","Cattle female: under 1 year",172.9
"998","2012","South-East","Cattle female: under 1 year",185.1
"999","2013","South-East","Cattle female: under 1 year",187.9
"1000","2005","South-West","Cattle female: under 1 year",207.4
"1001","2006","South-West","Cattle female: under 1 year",204
"1002","2007","South-West","Cattle female: under 1 year",203.4
"1003","2008","South-West","Cattle female: under 1 year",203.3
"1004","2009","South-West","Cattle female: under 1 year",204.2
"1005","2010","South-West","Cattle female: under 1 year",199.6
"1006","2011","South-West","Cattle female: under 1 year",206
"1007","2012","South-West","Cattle female: under 1 year",215.2
"1008","2013","South-West","Cattle female: under 1 year",215.3
"1009","2005","State","Total cattle: male",2529.1
"1010","2006","State","Total cattle: male",2432.1
"1011","2007","State","Total cattle: male",2335.8
"1012","2008","State","Total cattle: male",2334.8
"1013","2009","State","Total cattle: male",2326
"1014","2010","State","Total cattle: male",2145.1
"1015","2011","State","Total cattle: male",2032.7
"1016","2012","State","Total cattle: male",2190.1
"1017","2013","State","Total cattle: male",2261.5
"1018","2005","Dublin plus Mid East","Total cattle: male",232.1
"1019","2006","Dublin plus Mid East","Total cattle: male",221.5
"1020","2007","Dublin plus Mid East","Total cattle: male",213.4
"1021","2008","Dublin plus Mid East","Total cattle: male",207.3
"1022","2009","Dublin plus Mid East","Total cattle: male",207.5
"1023","2010","Dublin plus Mid East","Total cattle: male",196.7
"1024","2011","Dublin plus Mid East","Total cattle: male",184.9
"1025","2012","Dublin plus Mid East","Total cattle: male",193
"1026","2013","Dublin plus Mid East","Total cattle: male",202.1
"1027","2005","Border","Total cattle: male",312
"1028","2006","Border","Total cattle: male",298
"1029","2007","Border","Total cattle: male",289.4
"1030","2008","Border","Total cattle: male",286.6
"1031","2009","Border","Total cattle: male",283.2
"1032","2010","Border","Total cattle: male",267.6
"1033","2011","Border","Total cattle: male",254.6
"1034","2012","Border","Total cattle: male",270.3
"1035","2013","Border","Total cattle: male",276.9
"1036","2005","Midland","Total cattle: male",315.3
"1037","2006","Midland","Total cattle: male",310.2
"1038","2007","Midland","Total cattle: male",296.9
"1039","2008","Midland","Total cattle: male",297.3
"1040","2009","Midland","Total cattle: male",297.5
"1041","2010","Midland","Total cattle: male",279.4
"1042","2011","Midland","Total cattle: male",263.9
"1043","2012","Midland","Total cattle: male",284.7
"1044","2013","Midland","Total cattle: male",293.5
"1045","2005","West","Total cattle: male",351.8
"1046","2006","West","Total cattle: male",343.1
"1047","2007","West","Total cattle: male",336
"1048","2008","West","Total cattle: male",340.4
"1049","2009","West","Total cattle: male",332.9
"1050","2010","West","Total cattle: male",302.2
"1051","2011","West","Total cattle: male",283.5
"1052","2012","West","Total cattle: male",296
"1053","2013","West","Total cattle: male",303.2
"1054","2005","Mid-West","Total cattle: male",387.2
"1055","2006","Mid-West","Total cattle: male",370.1
"1056","2007","Mid-West","Total cattle: male",350.6
"1057","2008","Mid-West","Total cattle: male",355.7
"1058","2009","Mid-West","Total cattle: male",352.5
"1059","2010","Mid-West","Total cattle: male",318.3
"1060","2011","Mid-West","Total cattle: male",301
"1061","2012","Mid-West","Total cattle: male",330.2
"1062","2013","Mid-West","Total cattle: male",341.5
"1063","2005","South-East","Total cattle: male",475
"1064","2006","South-East","Total cattle: male",461.9
"1065","2007","South-East","Total cattle: male",445.1
"1066","2008","South-East","Total cattle: male",438.2
"1067","2009","South-East","Total cattle: male",444.4
"1068","2010","South-East","Total cattle: male",416.8
"1069","2011","South-East","Total cattle: male",402.1
"1070","2012","South-East","Total cattle: male",440.3
"1071","2013","South-East","Total cattle: male",460.5
"1072","2005","South-West","Total cattle: male",455.9
"1073","2006","South-West","Total cattle: male",427.3
"1074","2007","South-West","Total cattle: male",404.3
"1075","2008","South-West","Total cattle: male",409.2
"1076","2009","South-West","Total cattle: male",408.1
"1077","2010","South-West","Total cattle: male",364.3
"1078","2011","South-West","Total cattle: male",342.7
"1079","2012","South-West","Total cattle: male",375.4
"1080","2013","South-West","Total cattle: male",383.8
"1081","2005","State","Total cattle: female",4462.7
"1082","2006","State","Total cattle: female",4545.7
"1083","2007","State","Total cattle: female",4555.1
"1084","2008","State","Total cattle: female",4567.2
"1085","2009","State","Total cattle: female",4564.7
"1086","2010","State","Total cattle: female",4461.5
"1087","2011","State","Total cattle: female",4460.3
"1088","2012","State","Total cattle: female",4564.1
"1089","2013","State","Total cattle: female",4641.1
"1090","2005","Dublin plus Mid East","Total cattle: female",365.1
"1091","2006","Dublin plus Mid East","Total cattle: female",371.1
"1092","2007","Dublin plus Mid East","Total cattle: female",368.6
"1093","2008","Dublin plus Mid East","Total cattle: female",367.2
"1094","2009","Dublin plus Mid East","Total cattle: female",368.8
"1095","2010","Dublin plus Mid East","Total cattle: female",366.3
"1096","2011","Dublin plus Mid East","Total cattle: female",361.7
"1097","2012","Dublin plus Mid East","Total cattle: female",367.6
"1098","2013","Dublin plus Mid East","Total cattle: female",378.3
"1099","2005","Border","Total cattle: female",621.5
"1100","2006","Border","Total cattle: female",627.3
"1101","2007","Border","Total cattle: female",631.7
"1102","2008","Border","Total cattle: female",631.7
"1103","2009","Border","Total cattle: female",625.5
"1104","2010","Border","Total cattle: female",608.2
"1105","2011","Border","Total cattle: female",601.5
"1106","2012","Border","Total cattle: female",613.4
"1107","2013","Border","Total cattle: female",616.8
"1108","2005","Midland","Total cattle: female",486.3
"1109","2006","Midland","Total cattle: female",503.8
"1110","2007","Midland","Total cattle: female",504
"1111","2008","Midland","Total cattle: female",501.7
"1112","2009","Midland","Total cattle: female",501.4
"1113","2010","Midland","Total cattle: female",488.7
"1114","2011","Midland","Total cattle: female",483.8
"1115","2012","Midland","Total cattle: female",498.5
"1116","2013","Midland","Total cattle: female",507.5
"1117","2005","West","Total cattle: female",626.9
"1118","2006","West","Total cattle: female",636.3
"1119","2007","West","Total cattle: female",645.2
"1120","2008","West","Total cattle: female",644.7
"1121","2009","West","Total cattle: female",635.3
"1122","2010","West","Total cattle: female",605.8
"1123","2011","West","Total cattle: female",602.2
"1124","2012","West","Total cattle: female",618.6
"1125","2013","West","Total cattle: female",625.2
"1126","2005","Mid-West","Total cattle: female",661.5
"1127","2006","Mid-West","Total cattle: female",671.5
"1128","2007","Mid-West","Total cattle: female",665.8
"1129","2008","Mid-West","Total cattle: female",669.2
"1130","2009","Mid-West","Total cattle: female",664.5
"1131","2010","Mid-West","Total cattle: female",640.9
"1132","2011","Mid-West","Total cattle: female",641.1
"1133","2012","Mid-West","Total cattle: female",659
"1134","2013","Mid-West","Total cattle: female",667.6
"1135","2005","South-East","Total cattle: female",767.5
"1136","2006","South-East","Total cattle: female",791.3
"1137","2007","South-East","Total cattle: female",798.3
"1138","2008","South-East","Total cattle: female",803.3
"1139","2009","South-East","Total cattle: female",812.2
"1140","2010","South-East","Total cattle: female",801.2
"1141","2011","South-East","Total cattle: female",805.1
"1142","2012","South-East","Total cattle: female",824.7
"1143","2013","South-East","Total cattle: female",852.7
"1144","2005","South-West","Total cattle: female",933.8
"1145","2006","South-West","Total cattle: female",944.5
"1146","2007","South-West","Total cattle: female",941.5
"1147","2008","South-West","Total cattle: female",949.4
"1148","2009","South-West","Total cattle: female",957
"1149","2010","South-West","Total cattle: female",950.3
"1150","2011","South-West","Total cattle: female",964.8
"1151","2012","South-West","Total cattle: female",982.2
"1152","2013","South-West","Total cattle: female",993
"1153","2005","State","Total sheep",6392.2
"1154","2006","State","Total sheep",5973.2
"1155","2007","State","Total sheep",5521.6
"1156","2008","State","Total sheep",5061.4
"1157","2009","State","Total sheep",4778
"1158","2010","State","Total sheep",4745.4
"1159","2011","State","Total sheep",4830
