"","Statistic","Type.of.Pig","Year","value"
"314","Pig Population Estimated from April Survey (Thousand)","Total pigs","1981",1022.7
"315","Pig Population Estimated from August Survey (Thousand)","Total pigs","1981",1017.7
"316","Pig Population Estimated from June Survey (Thousand)","Total pigs","1981",1021.1
"317","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1981",121.5
"318","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1981",118.6
"319","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1981",120.2
"320","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1981",118.3
"321","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1981",14.6
"322","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1981",13.2
"323","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1981",14.9
"324","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1981",13.7
"325","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1981",10.1
"326","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1981",8.8
"327","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1981",9.4
"328","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1981",9
"329","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1981",65.2
"330","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1981",64.3
"331","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1981",64.3
"332","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1981",64.4
"333","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1981",27.2
"334","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1981",28.2
"335","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1981",27.3
"336","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1981",27.1
"337","Pig Population Estimated from December Survey (Thousand)","Boars","1981",4.5
"338","Pig Population Estimated from April Survey (Thousand)","Boars","1981",4.1
"339","Pig Population Estimated from August Survey (Thousand)","Boars","1981",4.3
