"","Region","Year","Type.of.Animal","value"
"313","State","2002","Cows",2318.3
"314","Dublin plus Mid East","2002","Cows",165.7
"315","Border","2002","Cows",344.5
"316","Midland","2002","Cows",220.7
"317","West","2002","Cows",324.1
"318","Mid-West","2002","Cows",347.3
"319","South-East","2002","Cows",391.5
"320","South-West","2002","Cows",524.5
"321","State","2003","Cows",2342.9
"322","Dublin plus Mid East","2003","Cows",168.6
"323","Border","2003","Cows",340.5
"324","Midland","2003","Cows",226.6
"325","West","2003","Cows",330.9
"326","Mid-West","2003","Cows",359.1
"327","South-East","2003","Cows",392.2
"328","South-West","2003","Cows",525.1
"329","State","2004","Cows",2363.2
"330","Dublin plus Mid East","2004","Cows",170.9
"331","Border","2004","Cows",337.7
"332","Midland","2004","Cows",229.3
"333","West","2004","Cows",332.6
"334","Mid-West","2004","Cows",364
"335","South-East","2004","Cows",400.1
"336","South-West","2004","Cows",528.6
"337","State","1991","Dairy cows",1330.8
"338","Dublin plus Mid East","1991","Dairy cows",100.3
"339","Border","1991","Dairy cows",137
"340","Midland","1991","Dairy cows",86.7
"341","West","1991","Dairy cows",78.5
"342","Mid-West","1991","Dairy cows",226.6
"343","South-East","1991","Dairy cows",272.5
"344","South-West","1991","Dairy cows",429.3
"345","State","1992","Dairy cows",1277.9
"346","Dublin plus Mid East","1992","Dairy cows",95.7
"347","Border","1992","Dairy cows",132.4
"348","Midland","1992","Dairy cows",82.7
"349","West","1992","Dairy cows",78.5
"350","Mid-West","1992","Dairy cows",215.3
"351","South-East","1992","Dairy cows",260.1
"352","South-West","1992","Dairy cows",413.1
"353","State","1993","Dairy cows",1263.5
"354","Dublin plus Mid East","1993","Dairy cows",93.7
"355","Border","1993","Dairy cows",130.9
"356","Midland","1993","Dairy cows",81.9
"357","West","1993","Dairy cows",76.5
"358","Mid-West","1993","Dairy cows",213.1
"359","South-East","1993","Dairy cows",258.4
"360","South-West","1993","Dairy cows",408.9
"361","State","1994","Dairy cows",1260.6
"362","Dublin plus Mid East","1994","Dairy cows",94.1
"363","Border","1994","Dairy cows",129.7
"364","Midland","1994","Dairy cows",82.4
"365","West","1994","Dairy cows",74.1
"366","Mid-West","1994","Dairy cows",213.7
"367","South-East","1994","Dairy cows",258.9
"368","South-West","1994","Dairy cows",407.6
"369","State","1995","Dairy cows",1256.2
"370","Dublin plus Mid East","1995","Dairy cows",93
"371","Border","1995","Dairy cows",129.5
"372","Midland","1995","Dairy cows",80.8
"373","West","1995","Dairy cows",73.7
"374","Mid-West","1995","Dairy cows",212
"375","South-East","1995","Dairy cows",257.3
"376","South-West","1995","Dairy cows",410
"377","State","1996","Dairy cows",1266.4
"378","Dublin plus Mid East","1996","Dairy cows",92.7
"379","Border","1996","Dairy cows",133.1
"380","Midland","1996","Dairy cows",81.6
"381","West","1996","Dairy cows",75.5
"382","Mid-West","1996","Dairy cows",211
"383","South-East","1996","Dairy cows",260.1
"384","South-West","1996","Dairy cows",412.5
"385","State","1997","Dairy cows",1251.7
"386","Dublin plus Mid East","1997","Dairy cows",92.1
"387","Border","1997","Dairy cows",129.7
"388","Midland","1997","Dairy cows",80.6
"389","West","1997","Dairy cows",75.2
"390","Mid-West","1997","Dairy cows",207.7
"391","South-East","1997","Dairy cows",256.9
"392","South-West","1997","Dairy cows",409.5
"393","State","1998","Dairy cows",1233.8
"394","Dublin plus Mid East","1998","Dairy cows",90.3
"395","Border","1998","Dairy cows",128.7
"396","Midland","1998","Dairy cows",81.5
"397","West","1998","Dairy cows",75.5
"398","Mid-West","1998","Dairy cows",202.5
"399","South-East","1998","Dairy cows",253.2
"400","South-West","1998","Dairy cows",402
"401","State","1999","Dairy cows",1200.6
"402","Dublin plus Mid East","1999","Dairy cows",90.3
"403","Border","1999","Dairy cows",123
"404","Midland","1999","Dairy cows",78.5
"405","West","1999","Dairy cows",72.5
"406","Mid-West","1999","Dairy cows",192.6
"407","South-East","1999","Dairy cows",250.1
"408","South-West","1999","Dairy cows",393.7
"409","State","2000","Dairy cows",1177.5
"410","Dublin plus Mid East","2000","Dairy cows",87.4
"411","Border","2000","Dairy cows",127.5
"412","Midland","2000","Dairy cows",79.7
