"","Statistic","Year","Type.of.Pig","Size.of.Herd","value"
"637","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","10-19",0.1
"638","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","10-19",1
"639","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","10-19",0.1
"640","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","10-19",0.7
"641","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","10-19",0.1
"642","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","10-19",1.3
"643","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","10-19",0
"644","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","10-19",0.2
"645","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","10-19",0
"646","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","10-19",0.2
"647","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","10-19",1.3
"648","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","10-19",16
"649","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","10-19",0.8
"650","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","10-19",9.9
"651","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","10-19",0.9
"652","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","10-19",10.7
"653","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","10-19",0.7
"654","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","10-19",8.3
"655","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","10-19",0.5
"656","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","10-19",6.8
"657","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","10-19",0.5
"658","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","10-19",5.8
"659","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","10-19",0.3
"660","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","10-19",4.2
"661","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","10-19",0.2
"662","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","10-19",2.9
"663","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","10-19",0.1
"664","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","10-19",1.3
"665","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","10-19",0.1
"666","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","10-19",1.5
"667","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","10-19",0.2
"668","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","10-19",1.9
"669","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","10-19",0.2
"670","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","10-19",2.6
"671","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","10-19",0.2
"672","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","10-19",2.5
"673","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","10-19",0.1
"674","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","10-19",1
"675","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","10-19",0.1
"676","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","10-19",0.8
"677","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","10-19",0
"678","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","10-19",0.1
"679","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","10-19",0
"680","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","10-19",0.1
"681","Number of Farms with Pigs (Thousand)","1973","Pigs","20-49",6.2
"682","Number of Pigs (Thousand)","1973","Pigs","20-49",182.5
"683","Number of Farms with Pigs (Thousand)","1975","Pigs","20-49",3.6
"684","Number of Pigs (Thousand)","1975","Pigs","20-49",106.4
"685","Number of Farms with Pigs (Thousand)","1977","Pigs","20-49",2.9
"686","Number of Pigs (Thousand)","1977","Pigs","20-49",83.3
"687","Number of Farms with Pigs (Thousand)","1979","Pigs","20-49",1.9
"688","Number of Pigs (Thousand)","1979","Pigs","20-49",58.1
"689","Number of Farms with Pigs (Thousand)","1981","Pigs","20-49",1.4
"690","Number of Pigs (Thousand)","1981","Pigs","20-49",42.3
"691","Number of Farms with Pigs (Thousand)","1983","Pigs","20-49",1.2
"692","Number of Pigs (Thousand)","1983","Pigs","20-49",35.1
"693","Number of Farms with Pigs (Thousand)","1985","Pigs","20-49",0.9
"694","Number of Pigs (Thousand)","1985","Pigs","20-49",27.2
"695","Number of Farms with Pigs (Thousand)","1987","Pigs","20-49",0.7
"696","Number of Pigs (Thousand)","1987","Pigs","20-49",20.4
"697","Number of Farms with Pigs (Thousand)","1989","Pigs","20-49",0.2
"698","Number of Pigs (Thousand)","1989","Pigs","20-49",7.2
"699","Number of Farms with Pigs (Thousand)","1991","Pigs","20-49",0.3
"700","Number of Pigs (Thousand)","1991","Pigs","20-49",9.6
"701","Number of Farms with Pigs (Thousand)","1993","Pigs","20-49",0.4
"702","Number of Pigs (Thousand)","1993","Pigs","20-49",10
"703","Number of Farms with Pigs (Thousand)","1995","Pigs","20-49",0.2
"704","Number of Pigs (Thousand)","1995","Pigs","20-49",7.1
"705","Number of Farms with Pigs (Thousand)","1997","Pigs","20-49",0.2
"706","Number of Pigs (Thousand)","1997","Pigs","20-49",7
"707","Number of Farms with Pigs (Thousand)","1999","Pigs","20-49",0.1
"708","Number of Pigs (Thousand)","1999","Pigs","20-49",2.5
"709","Number of Farms with Pigs (Thousand)","2001","Pigs","20-49",0.1
"710","Number of Pigs (Thousand)","2001","Pigs","20-49",3
"711","Number of Farms with Pigs (Thousand)","2003","Pigs","20-49",0
"712","Number of Pigs (Thousand)","2003","Pigs","20-49",0.8
"713","Number of Farms with Pigs (Thousand)","2005","Pigs","20-49",0
"714","Number of Pigs (Thousand)","2005","Pigs","20-49",0.5
"715","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","20-49",0.4
"716","Number of Pigs (Thousand)","1973","Female Breeding Pigs","20-49",10.2
"717","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","20-49",0.4
"718","Number of Pigs (Thousand)","1975","Female Breeding Pigs","20-49",9.3
"719","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","20-49",0.4
"720","Number of Pigs (Thousand)","1977","Female Breeding Pigs","20-49",10.8
"721","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","20-49",0.3
"722","Number of Pigs (Thousand)","1979","Female Breeding Pigs","20-49",10.5
"723","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","20-49",0.2
"724","Number of Pigs (Thousand)","1981","Female Breeding Pigs","20-49",6.6
"725","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","20-49",0.3
"726","Number of Pigs (Thousand)","1983","Female Breeding Pigs","20-49",7.9
"727","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","20-49",0.2
"728","Number of Pigs (Thousand)","1985","Female Breeding Pigs","20-49",5.7
"729","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","20-49",0.1
"730","Number of Pigs (Thousand)","1987","Female Breeding Pigs","20-49",4.6
"731","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","20-49",0.1
"732","Number of Pigs (Thousand)","1989","Female Breeding Pigs","20-49",3.9
"733","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","20-49",0.1
"734","Number of Pigs (Thousand)","1991","Female Breeding Pigs","20-49",4.7
"735","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","20-49",0.1
"736","Number of Pigs (Thousand)","1993","Female Breeding Pigs","20-49",3.6
"737","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","20-49",0.1
"738","Number of Pigs (Thousand)","1995","Female Breeding Pigs","20-49",2.8
"739","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","20-49",0.1
"740","Number of Pigs (Thousand)","1997","Female Breeding Pigs","20-49",3
"741","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","20-49",0.1
"742","Number of Pigs (Thousand)","1999","Female Breeding Pigs","20-49",1.8
"743","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","20-49",0
"744","Number of Pigs (Thousand)","2001","Female Breeding Pigs","20-49",1.4
"745","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","20-49",0
"746","Number of Pigs (Thousand)","2003","Female Breeding Pigs","20-49",1.2
"747","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","20-49",0
"748","Number of Pigs (Thousand)","2005","Female Breeding Pigs","20-49",0.7
"749","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","20-49",4.7
"750","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","20-49",134.6
"751","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","20-49",2.6
"752","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","20-49",74.7
"753","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","20-49",2.1
"754","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","20-49",58
"755","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","20-49",1.5
"756","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","20-49",41.8
"757","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","20-49",1
"758","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","20-49",28.1
"759","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","20-49",0.8
"760","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","20-49",24
"761","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","20-49",0.7
"762","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","20-49",19.3
"763","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","20-49",0.5
"764","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","20-49",15.3
"765","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","20-49",0.2
"766","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","20-49",5.5
"767","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","20-49",0.4
"768","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","20-49",11
"769","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","20-49",0.4
"770","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","20-49",11.3
"771","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","20-49",0.1
"772","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","20-49",2.8
"773","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","20-49",0.1
"774","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","20-49",2.1
"775","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","20-49",0.1
"776","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","20-49",2.1
"777","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","20-49",0.1
"778","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","20-49",2.5
"779","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","20-49",0
"780","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","20-49",0.7
"781","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","20-49",0
"782","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","20-49",0.3
"783","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","20-49",1.1
"784","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","20-49",31.9
"785","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","20-49",0.6
"786","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","20-49",18.9
"787","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","20-49",0.7
"788","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","20-49",20.1
"789","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","20-49",0.4
"790","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","20-49",11.9
"791","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","20-49",0.3
"792","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","20-49",9.8
"793","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","20-49",0.3
"794","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","20-49",9.5
"795","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","20-49",0.2
"796","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","20-49",6.8
"797","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","20-49",0.2
"798","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","20-49",6.2
"799","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","20-49",0.1
"800","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","20-49",2.4
"801","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","20-49",0.2
"802","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","20-49",6
"803","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","20-49",0.2
"804","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","20-49",5.4
"805","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","20-49",0.1
"806","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","20-49",4
"807","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","20-49",0.1
"808","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","20-49",3.5
"809","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","20-49",0.1
"810","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","20-49",2.2
"811","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","20-49",0.1
"812","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","20-49",1.6
"813","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","20-49",0
"814","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","20-49",0.6
"815","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","20-49",0
"816","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","20-49",0.4
"817","Number of Farms with Pigs (Thousand)","1973","Pigs","50-99",1.6
"818","Number of Pigs (Thousand)","1973","Pigs","50-99",107.5
"819","Number of Farms with Pigs (Thousand)","1975","Pigs","50-99",0.9
"820","Number of Pigs (Thousand)","1975","Pigs","50-99",62.8
"821","Number of Farms with Pigs (Thousand)","1977","Pigs","50-99",0.9
"822","Number of Pigs (Thousand)","1977","Pigs","50-99",56.6
"823","Number of Farms with Pigs (Thousand)","1979","Pigs","50-99",0.6
"824","Number of Pigs (Thousand)","1979","Pigs","50-99",41.5
"825","Number of Farms with Pigs (Thousand)","1981","Pigs","50-99",0.4
"826","Number of Pigs (Thousand)","1981","Pigs","50-99",26.1
"827","Number of Farms with Pigs (Thousand)","1983","Pigs","50-99",0.4
"828","Number of Pigs (Thousand)","1983","Pigs","50-99",28.1
"829","Number of Farms with Pigs (Thousand)","1985","Pigs","50-99",0.3
"830","Number of Pigs (Thousand)","1985","Pigs","50-99",19.6
"831","Number of Farms with Pigs (Thousand)","1987","Pigs","50-99",0.3
"832","Number of Pigs (Thousand)","1987","Pigs","50-99",16.4
"833","Number of Farms with Pigs (Thousand)","1989","Pigs","50-99",0.1
"834","Number of Pigs (Thousand)","1989","Pigs","50-99",6.1
"835","Number of Farms with Pigs (Thousand)","1991","Pigs","50-99",0.1
"836","Number of Pigs (Thousand)","1991","Pigs","50-99",9.2
"837","Number of Farms with Pigs (Thousand)","1993","Pigs","50-99",0.1
"838","Number of Pigs (Thousand)","1993","Pigs","50-99",7
"839","Number of Farms with Pigs (Thousand)","1995","Pigs","50-99",0.1
"840","Number of Pigs (Thousand)","1995","Pigs","50-99",6.5
"841","Number of Farms with Pigs (Thousand)","1997","Pigs","50-99",0.1
"842","Number of Pigs (Thousand)","1997","Pigs","50-99",4.7
"843","Number of Farms with Pigs (Thousand)","1999","Pigs","50-99",0.1
"844","Number of Pigs (Thousand)","1999","Pigs","50-99",4
"845","Number of Farms with Pigs (Thousand)","2001","Pigs","50-99",0
"846","Number of Pigs (Thousand)","2001","Pigs","50-99",3.3
"847","Number of Farms with Pigs (Thousand)","2003","Pigs","50-99",0
"848","Number of Pigs (Thousand)","2003","Pigs","50-99",1.1
"849","Number of Farms with Pigs (Thousand)","2005","Pigs","50-99",0
"850","Number of Pigs (Thousand)","2005","Pigs","50-99",0.9
"851","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","50-99",0.1
"852","Number of Pigs (Thousand)","1973","Female Breeding Pigs","50-99",13.9
"853","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","50-99",0.1
"854","Number of Pigs (Thousand)","1975","Female Breeding Pigs","50-99",13.1
"855","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","50-99",0.2
"856","Number of Pigs (Thousand)","1977","Female Breeding Pigs","50-99",10.6
"857","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","50-99",0.2
"858","Number of Pigs (Thousand)","1979","Female Breeding Pigs","50-99",13.5
"859","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","50-99",0.2
"860","Number of Pigs (Thousand)","1981","Female Breeding Pigs","50-99",13.4
"861","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","50-99",0.2
"862","Number of Pigs (Thousand)","1983","Female Breeding Pigs","50-99",12.5
"863","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","50-99",0.1
"864","Number of Pigs (Thousand)","1985","Female Breeding Pigs","50-99",10.8
"865","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","50-99",0.1
"866","Number of Pigs (Thousand)","1987","Female Breeding Pigs","50-99",9.7
"867","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","50-99",0.1
"868","Number of Pigs (Thousand)","1989","Female Breeding Pigs","50-99",8.6
"869","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","50-99",0.1
"870","Number of Pigs (Thousand)","1991","Female Breeding Pigs","50-99",8.2
"871","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","50-99",0.1
"872","Number of Pigs (Thousand)","1993","Female Breeding Pigs","50-99",6.4
"873","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","50-99",0.1
"874","Number of Pigs (Thousand)","1995","Female Breeding Pigs","50-99",7.3
"875","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","50-99",0.1
"876","Number of Pigs (Thousand)","1997","Female Breeding Pigs","50-99",7.1
"877","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","50-99",0.1
"878","Number of Pigs (Thousand)","1999","Female Breeding Pigs","50-99",5.3
"879","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","50-99",0.1
"880","Number of Pigs (Thousand)","2001","Female Breeding Pigs","50-99",4.4
"881","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","50-99",0
"882","Number of Pigs (Thousand)","2003","Female Breeding Pigs","50-99",3.3
"883","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","50-99",0
"884","Number of Pigs (Thousand)","2005","Female Breeding Pigs","50-99",2.3
"885","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","50-99",0.9
"886","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","50-99",55.5
"887","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","50-99",0.5
"888","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","50-99",35.7
"889","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","50-99",0.5
"890","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","50-99",32.2
"891","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","50-99",0.4
"892","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","50-99",27.8
"893","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","50-99",0.3
"894","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","50-99",18.2
"895","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","50-99",0.3
"896","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","50-99",20.1
"897","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","50-99",0.2
"898","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","50-99",13.9
"899","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","50-99",0.1
"900","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","50-99",8.3
"901","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","50-99",0.2
"902","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","50-99",9.4
"903","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","50-99",0.2
"904","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","50-99",10.3
"905","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","50-99",0.1
"906","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","50-99",8.2
"907","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","50-99",0.1
"908","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","50-99",4.5
"909","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","50-99",0.1
"910","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","50-99",4.2
"911","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","50-99",0.1
"912","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","50-99",4.3
"913","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","50-99",0
"914","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","50-99",2.5
"915","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","50-99",0
"916","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","50-99",1.3
"917","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","50-99",0
"918","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","50-99",0.8
"919","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","50-99",0.3
"920","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","50-99",10.7
"921","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","50-99",0.2
"922","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","50-99",11.5
"923","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","50-99",0.2
"924","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","50-99",14.4
"925","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","50-99",0.2
"926","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","50-99",10.3
"927","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","50-99",0.1
"928","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","50-99",9.9
"929","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","50-99",0.2
"930","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","50-99",12.6
"931","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","50-99",0.1
"932","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","50-99",7.1
"933","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","50-99",0.1
"934","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","50-99",7
"935","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","50-99",0.1
"936","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","50-99",4.4
"937","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","50-99",0.2
"938","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","50-99",13.6
"939","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","50-99",0.1
"940","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","50-99",12
"941","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","50-99",0.1
"942","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","50-99",4.7
"943","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","50-99",0
"944","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","50-99",2.7
"945","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","50-99",0
"946","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","50-99",3
