"","Year","Type.of.Livestock","Rural.District","value"
"41539","1955","Working horses and ponies","Listowel",NA
"41540","1960","Working horses and ponies","Listowel",3099
"41541","1965","Working horses and ponies","Listowel",2666
"41542","1970","Working horses and ponies","Listowel",1924
"41543","1975","Working horses and ponies","Listowel",733
"41544","1980","Working horses and ponies","Listowel",362
"41545","1926","Thoroughbreds","Listowel",NA
"41546","1933","Thoroughbreds","Listowel",NA
"41547","1955","Thoroughbreds","Listowel",NA
"41548","1960","Thoroughbreds","Listowel",26
"41549","1965","Thoroughbreds","Listowel",19
"41550","1970","Thoroughbreds","Listowel",17
"41551","1975","Thoroughbreds","Listowel",7
"41552","1980","Thoroughbreds","Listowel",14
"41553","1926","Other horses and ponies","Listowel",NA
"41554","1933","Other horses and ponies","Listowel",NA
"41555","1955","Other horses and ponies","Listowel",NA
"41556","1960","Other horses and ponies","Listowel",834
"41557","1965","Other horses and ponies","Listowel",567
"41558","1970","Other horses and ponies","Listowel",95
"41559","1975","Other horses and ponies","Listowel",157
"41560","1980","Other horses and ponies","Listowel",193
"41561","1926","Mules, jennets and asses","Listowel",NA
"41562","1933","Mules, jennets and asses","Listowel",NA
"41563","1955","Mules, jennets and asses","Listowel",NA
"41564","1960","Mules, jennets and asses","Listowel",NA
"41565","1965","Mules, jennets and asses","Listowel",NA
"41566","1970","Mules, jennets and asses","Listowel",NA
"41567","1975","Mules, jennets and asses","Listowel",932
"41568","1980","Mules, jennets and asses","Listowel",556
"41569","1926","Goats","Listowel",NA
"41570","1933","Goats","Listowel",NA
"41571","1955","Goats","Listowel",NA
"41572","1960","Goats","Listowel",NA
"41573","1965","Goats","Listowel",NA
"41574","1970","Goats","Listowel",NA
"41575","1975","Goats","Listowel",NA
"41576","1980","Goats","Listowel",87
"41577","1926","Poultry","Listowel",278680
"41578","1933","Poultry","Listowel",281986
"41579","1955","Poultry","Listowel",203938
"41580","1960","Poultry","Listowel",152309
"41581","1965","Poultry","Listowel",124400
"41582","1970","Poultry","Listowel",75577
"41583","1975","Poultry","Listowel",45393
"41584","1980","Poultry","Listowel",NA
"41585","1926","Turkeys","Listowel",8296
"41586","1933","Turkeys","Listowel",24201
"41587","1955","Turkeys","Listowel",29250
"41588","1960","Turkeys","Listowel",17736
"41589","1965","Turkeys","Listowel",11770
"41590","1970","Turkeys","Listowel",5847
"41591","1975","Turkeys","Listowel",2587
"41592","1980","Turkeys","Listowel",5745
"41593","1926","Geese","Listowel",33443
"41594","1933","Geese","Listowel",29146
"41595","1955","Geese","Listowel",8432
"41596","1960","Geese","Listowel",5748
"41597","1965","Geese","Listowel",3617
"41598","1970","Geese","Listowel",1220
"41599","1975","Geese","Listowel",533
"41600","1980","Geese","Listowel",526
"41601","1926","Ducks","Listowel",46120
"41602","1933","Ducks","Listowel",35599
"41603","1955","Ducks","Listowel",15628
"41604","1960","Ducks","Listowel",7711
"41605","1965","Ducks","Listowel",5701
"41606","1970","Ducks","Listowel",1185
"41607","1975","Ducks","Listowel",676
"41608","1980","Ducks","Listowel",852
"41609","1926","Ordinary fowl","Listowel",190821
"41610","1933","Ordinary fowl","Listowel",193040
"41611","1955","Ordinary fowl","Listowel",150628
"41612","1960","Ordinary fowl","Listowel",121114
"41613","1965","Ordinary fowl","Listowel",103312
"41614","1970","Ordinary fowl","Listowel",67325
"41615","1975","Ordinary fowl","Listowel",41597
"41616","1980","Ordinary fowl","Listowel",NA
"41617","1926","Cattle","Tralee",62308
"41618","1933","Cattle","Tralee",62950
"41619","1955","Cattle","Tralee",65826
"41620","1960","Cattle","Tralee",70091
"41621","1965","Cattle","Tralee",77972
"41622","1970","Cattle","Tralee",86734
"41623","1975","Cattle","Tralee",94861
"41624","1980","Cattle","Tralee",93904
"41625","1926","Bulls","Tralee",766
"41626","1933","Bulls","Tralee",660
"41627","1955","Bulls","Tralee",661
"41628","1960","Bulls","Tralee",527
"41629","1965","Bulls","Tralee",357
"41630","1970","Bulls","Tralee",364
"41631","1975","Bulls","Tralee",320
"41632","1980","Bulls","Tralee",300
"41633","1926","Cows","Tralee",29486
"41634","1933","Cows","Tralee",30128
"41635","1955","Cows","Tralee",28743
"41636","1960","Cows","Tralee",29132
"41637","1965","Cows","Tralee",33480
"41638","1970","Cows","Tralee",36813
"41639","1975","Cows","Tralee",42255
"41640","1980","Cows","Tralee",43815
"41641","1926","Dairy cows","Tralee",NA
"41642","1933","Dairy cows","Tralee",NA
"41643","1955","Dairy cows","Tralee",NA
"41644","1960","Dairy cows","Tralee",NA
"41645","1965","Dairy cows","Tralee",NA
"41646","1970","Dairy cows","Tralee",NA
"41647","1975","Dairy cows","Tralee",39807
"41648","1980","Dairy cows","Tralee",41598
"41649","1926","Other cows","Tralee",NA
"41650","1933","Other cows","Tralee",NA
"41651","1955","Other cows","Tralee",NA
"41652","1960","Other cows","Tralee",NA
"41653","1965","Other cows","Tralee",NA
"41654","1970","Other cows","Tralee",NA
"41655","1975","Other cows","Tralee",2448
"41656","1980","Other cows","Tralee",2217
"41657","1926","Cows : friesian and friesian cross","Tralee",NA
"41658","1933","Cows : friesian and friesian cross","Tralee",NA
"41659","1955","Cows : friesian and friesian cross","Tralee",NA
"41660","1960","Cows : friesian and friesian cross","Tralee",1952
"41661","1965","Cows : friesian and friesian cross","Tralee",8228
"41662","1970","Cows : friesian and friesian cross","Tralee",20997
"41663","1975","Cows : friesian and friesian cross","Tralee",33905
"41664","1980","Cows : friesian and friesian cross","Tralee",41476
"41665","1926","Cows : shorthorn","Tralee",NA
"41666","1933","Cows : shorthorn","Tralee",NA
"41667","1955","Cows : shorthorn","Tralee",NA
"41668","1960","Cows : shorthorn","Tralee",25220
"41669","1965","Cows : shorthorn","Tralee",23313
"41670","1970","Cows : shorthorn","Tralee",14274
"41671","1975","Cows : shorthorn","Tralee",7303
"41672","1980","Cows : shorthorn","Tralee",1642
"41673","1926","Cows : other breeds","Tralee",NA
"41674","1933","Cows : other breeds","Tralee",NA
"41675","1955","Cows : other breeds","Tralee",NA
"41676","1960","Cows : other breeds","Tralee",1960
"41677","1965","Cows : other breeds","Tralee",1939
"41678","1970","Cows : other breeds","Tralee",1542
"41679","1975","Cows : other breeds","Tralee",1047
"41680","1980","Cows : other breeds","Tralee",697
"41681","1926","Heifers in calf","Tralee",1035
"41682","1933","Heifers in calf","Tralee",699
"41683","1955","Heifers in calf","Tralee",1214
"41684","1960","Heifers in calf","Tralee",1773
"41685","1965","Heifers in calf","Tralee",2123
"41686","1970","Heifers in calf","Tralee",2670
"41687","1975","Heifers in calf","Tralee",3621
"41688","1980","Heifers in calf","Tralee",5421
"41689","1926","Dairy heifers","Tralee",NA
"41690","1933","Dairy heifers","Tralee",NA
"41691","1955","Dairy heifers","Tralee",NA
"41692","1960","Dairy heifers","Tralee",NA
"41693","1965","Dairy heifers","Tralee",NA
"41694","1970","Dairy heifers","Tralee",NA
"41695","1975","Dairy heifers","Tralee",NA
"41696","1980","Dairy heifers","Tralee",5148
"41697","1926","Other heifers","Tralee",NA
"41698","1933","Other heifers","Tralee",NA
"41699","1955","Other heifers","Tralee",NA
"41700","1960","Other heifers","Tralee",NA
"41701","1965","Other heifers","Tralee",NA
"41702","1970","Other heifers","Tralee",NA
"41703","1975","Other heifers","Tralee",NA
"41704","1980","Other heifers","Tralee",273
"41705","1926","Other cattle","Tralee",31021
"41706","1933","Other cattle","Tralee",31463
"41707","1955","Other cattle","Tralee",35208
"41708","1960","Other cattle","Tralee",38659
"41709","1965","Other cattle","Tralee",42012
"41710","1970","Other cattle","Tralee",46887
"41711","1975","Other cattle","Tralee",48665
"41712","1980","Other cattle","Tralee",44368
"41713","1926","Other cattle : 3 years and over","Tralee",2532
"41714","1933","Other cattle : 3 years and over","Tralee",811
"41715","1955","Other cattle : 3 years and over","Tralee",892
"41716","1960","Other cattle : 3 years and over","Tralee",1193
"41717","1965","Other cattle : 3 years and over","Tralee",857
"41718","1970","Other cattle : 3 years and over","Tralee",1346
"41719","1975","Other cattle : 3 years and over","Tralee",1765
"41720","1980","Other cattle : 3 years and over","Tralee",1881
"41721","1926","Other cattle : 3 years and over male","Tralee",NA
"41722","1933","Other cattle : 3 years and over male","Tralee",NA
"41723","1955","Other cattle : 3 years and over male","Tralee",NA
"41724","1960","Other cattle : 3 years and over male","Tralee",NA
"41725","1965","Other cattle : 3 years and over male","Tralee",NA
"41726","1970","Other cattle : 3 years and over male","Tralee",605
"41727","1975","Other cattle : 3 years and over male","Tralee",1028
"41728","1980","Other cattle : 3 years and over male","Tralee",1278
"41729","1926","Other cattle : 3 years and over female","Tralee",NA
"41730","1933","Other cattle : 3 years and over female","Tralee",NA
"41731","1955","Other cattle : 3 years and over female","Tralee",NA
"41732","1960","Other cattle : 3 years and over female","Tralee",NA
"41733","1965","Other cattle : 3 years and over female","Tralee",NA
"41734","1970","Other cattle : 3 years and over female","Tralee",741
"41735","1975","Other cattle : 3 years and over female","Tralee",737
"41736","1980","Other cattle : 3 years and over female","Tralee",603
"41737","1926","Other cattle : 2 - 3 years","Tralee",6266
"41738","1933","Other cattle : 2 - 3 years","Tralee",4787
"41739","1955","Other cattle : 2 - 3 years","Tralee",5130
"41740","1960","Other cattle : 2 - 3 years","Tralee",5775
"41741","1965","Other cattle : 2 - 3 years","Tralee",5812
"41742","1970","Other cattle : 2 - 3 years","Tralee",7216
"41743","1975","Other cattle : 2 - 3 years","Tralee",7197
"41744","1980","Other cattle : 2 - 3 years","Tralee",7778
"41745","1926","Other cattle : 2 - 3 years male","Tralee",NA
"41746","1933","Other cattle : 2 - 3 years male","Tralee",NA
"41747","1955","Other cattle : 2 - 3 years male","Tralee",NA
"41748","1960","Other cattle : 2 - 3 years male","Tralee",NA
"41749","1965","Other cattle : 2 - 3 years male","Tralee",NA
"41750","1970","Other cattle : 2 - 3 years male","Tralee",3497
"41751","1975","Other cattle : 2 - 3 years male","Tralee",3132
"41752","1980","Other cattle : 2 - 3 years male","Tralee",3980
"41753","1926","Other cattle : 2 - 3 years female","Tralee",NA
"41754","1933","Other cattle : 2 - 3 years female","Tralee",NA
"41755","1955","Other cattle : 2 - 3 years female","Tralee",NA
"41756","1960","Other cattle : 2 - 3 years female","Tralee",NA
"41757","1965","Other cattle : 2 - 3 years female","Tralee",NA
"41758","1970","Other cattle : 2 - 3 years female","Tralee",3719
"41759","1975","Other cattle : 2 - 3 years female","Tralee",4065
"41760","1980","Other cattle : 2 - 3 years female","Tralee",3798
"41761","1926","Other cattle : 1 - 2 years","Tralee",5515
"41762","1933","Other cattle : 1 - 2 years","Tralee",8228
"41763","1955","Other cattle : 1 - 2 years","Tralee",9431
"41764","1960","Other cattle : 1 - 2 years","Tralee",11407
"41765","1965","Other cattle : 1 - 2 years","Tralee",12278
"41766","1970","Other cattle : 1 - 2 years","Tralee",13244
"41767","1975","Other cattle : 1 - 2 years","Tralee",16860
"41768","1980","Other cattle : 1 - 2 years","Tralee",13952
"41769","1926","Other cattle : 1 - 2 years male","Tralee",NA
"41770","1933","Other cattle : 1 - 2 years male","Tralee",NA
"41771","1955","Other cattle : 1 - 2 years male","Tralee",NA
"41772","1960","Other cattle : 1 - 2 years male","Tralee",NA
"41773","1965","Other cattle : 1 - 2 years male","Tralee",NA
"41774","1970","Other cattle : 1 - 2 years male","Tralee",5444
"41775","1975","Other cattle : 1 - 2 years male","Tralee",5460
"41776","1980","Other cattle : 1 - 2 years male","Tralee",5410
"41777","1926","Other cattle : 1 - 2 years female","Tralee",NA
"41778","1933","Other cattle : 1 - 2 years female","Tralee",NA
"41779","1955","Other cattle : 1 - 2 years female","Tralee",NA
"41780","1960","Other cattle : 1 - 2 years female","Tralee",NA
"41781","1965","Other cattle : 1 - 2 years female","Tralee",NA
"41782","1970","Other cattle : 1 - 2 years female","Tralee",7800
"41783","1975","Other cattle : 1 - 2 years female","Tralee",11400
"41784","1980","Other cattle : 1 - 2 years female","Tralee",8542
"41785","1926","Other cattle : less than 1","Tralee",16708
"41786","1933","Other cattle : less than 1","Tralee",17637
"41787","1955","Other cattle : less than 1","Tralee",19755
"41788","1960","Other cattle : less than 1","Tralee",20284
"41789","1965","Other cattle : less than 1","Tralee",23065
"41790","1970","Other cattle : less than 1","Tralee",25081
"41791","1975","Other cattle : less than 1","Tralee",22843
"41792","1980","Other cattle : less than 1","Tralee",20757
"41793","1926","Other cattle : less than 1 male","Tralee",NA
"41794","1933","Other cattle : less than 1 male","Tralee",NA
"41795","1955","Other cattle : less than 1 male","Tralee",NA
"41796","1960","Other cattle : less than 1 male","Tralee",NA
"41797","1965","Other cattle : less than 1 male","Tralee",NA
"41798","1970","Other cattle : less than 1 male","Tralee",11227
"41799","1975","Other cattle : less than 1 male","Tralee",9078
"41800","1980","Other cattle : less than 1 male","Tralee",7222
"41801","1926","Other cattle : less than 1 female","Tralee",NA
"41802","1933","Other cattle : less than 1 female","Tralee",NA
"41803","1955","Other cattle : less than 1 female","Tralee",NA
"41804","1960","Other cattle : less than 1 female","Tralee",NA
"41805","1965","Other cattle : less than 1 female","Tralee",NA
"41806","1970","Other cattle : less than 1 female","Tralee",13854
"41807","1975","Other cattle : less than 1 female","Tralee",13765
"41808","1980","Other cattle : less than 1 female","Tralee",13535
"41809","1926","Sheep","Tralee",16699
"41810","1933","Sheep","Tralee",19364
"41811","1955","Sheep","Tralee",22945
"41812","1960","Sheep","Tralee",23985
"41813","1965","Sheep","Tralee",20747
"41814","1970","Sheep","Tralee",19327
"41815","1975","Sheep","Tralee",19770
"41816","1980","Sheep","Tralee",18338
"41817","1926","Sheep for breeding","Tralee",8324
