"","Year","Type.of.Livestock","Rural.District","value"
"516","1960","Other cattle : 3 years and over male","Leinster",NA
"517","1965","Other cattle : 3 years and over male","Leinster",NA
"518","1970","Other cattle : 3 years and over male","Leinster",84069
"519","1975","Other cattle : 3 years and over male","Leinster",103118
"520","1980","Other cattle : 3 years and over male","Leinster",111586
"521","1926","Other cattle : 3 years and over female","Leinster",NA
"522","1933","Other cattle : 3 years and over female","Leinster",NA
"523","1955","Other cattle : 3 years and over female","Leinster",NA
"524","1960","Other cattle : 3 years and over female","Leinster",NA
"525","1965","Other cattle : 3 years and over female","Leinster",NA
"526","1970","Other cattle : 3 years and over female","Leinster",20500
"527","1975","Other cattle : 3 years and over female","Leinster",19606
"528","1980","Other cattle : 3 years and over female","Leinster",20026
"529","1926","Other cattle : 2 - 3 years","Leinster",295605
"530","1933","Other cattle : 2 - 3 years","Leinster",293592
"531","1955","Other cattle : 2 - 3 years","Leinster",323186
"532","1960","Other cattle : 2 - 3 years","Leinster",332785
"533","1965","Other cattle : 2 - 3 years","Leinster",332134
"534","1970","Other cattle : 2 - 3 years","Leinster",381364
"535","1975","Other cattle : 2 - 3 years","Leinster",471668
"536","1980","Other cattle : 2 - 3 years","Leinster",442627
"537","1926","Other cattle : 2 - 3 years male","Leinster",NA
"538","1933","Other cattle : 2 - 3 years male","Leinster",NA
"539","1955","Other cattle : 2 - 3 years male","Leinster",NA
"540","1960","Other cattle : 2 - 3 years male","Leinster",NA
"541","1965","Other cattle : 2 - 3 years male","Leinster",NA
"542","1970","Other cattle : 2 - 3 years male","Leinster",266464
"543","1975","Other cattle : 2 - 3 years male","Leinster",344282
"544","1980","Other cattle : 2 - 3 years male","Leinster",323829
"545","1926","Other cattle : 2 - 3 years female","Leinster",NA
"546","1933","Other cattle : 2 - 3 years female","Leinster",NA
"547","1955","Other cattle : 2 - 3 years female","Leinster",NA
"548","1960","Other cattle : 2 - 3 years female","Leinster",NA
"549","1965","Other cattle : 2 - 3 years female","Leinster",NA
"550","1970","Other cattle : 2 - 3 years female","Leinster",114900
"551","1975","Other cattle : 2 - 3 years female","Leinster",127386
"552","1980","Other cattle : 2 - 3 years female","Leinster",118798
"553","1926","Other cattle : 1 - 2 years","Leinster",245835
"554","1933","Other cattle : 1 - 2 years","Leinster",284509
"555","1955","Other cattle : 1 - 2 years","Leinster",316592
"556","1960","Other cattle : 1 - 2 years","Leinster",348458
"557","1965","Other cattle : 1 - 2 years","Leinster",411625
"558","1970","Other cattle : 1 - 2 years","Leinster",469787
"559","1975","Other cattle : 1 - 2 years","Leinster",558891
"560","1980","Other cattle : 1 - 2 years","Leinster",506807
"561","1926","Other cattle : 1 - 2 years male","Leinster",NA
"562","1933","Other cattle : 1 - 2 years male","Leinster",NA
"563","1955","Other cattle : 1 - 2 years male","Leinster",NA
"564","1960","Other cattle : 1 - 2 years male","Leinster",NA
"565","1965","Other cattle : 1 - 2 years male","Leinster",NA
"566","1970","Other cattle : 1 - 2 years male","Leinster",276030
"567","1975","Other cattle : 1 - 2 years male","Leinster",337760
"568","1980","Other cattle : 1 - 2 years male","Leinster",310120
"569","1926","Other cattle : 1 - 2 years female","Leinster",NA
"570","1933","Other cattle : 1 - 2 years female","Leinster",NA
"571","1955","Other cattle : 1 - 2 years female","Leinster",NA
"572","1960","Other cattle : 1 - 2 years female","Leinster",NA
"573","1965","Other cattle : 1 - 2 years female","Leinster",NA
"574","1970","Other cattle : 1 - 2 years female","Leinster",193757
"575","1975","Other cattle : 1 - 2 years female","Leinster",221131
"576","1980","Other cattle : 1 - 2 years female","Leinster",196687
"577","1926","Other cattle : less than 1","Leinster",219325
"578","1933","Other cattle : less than 1","Leinster",243179
"579","1955","Other cattle : less than 1","Leinster",279593
"580","1960","Other cattle : less than 1","Leinster",302448
"581","1965","Other cattle : less than 1","Leinster",395796
"582","1970","Other cattle : less than 1","Leinster",427940
"583","1975","Other cattle : less than 1","Leinster",488322
"584","1980","Other cattle : less than 1","Leinster",453095
"585","1926","Other cattle : less than 1 male","Leinster",NA
"586","1933","Other cattle : less than 1 male","Leinster",NA
"587","1955","Other cattle : less than 1 male","Leinster",NA
"588","1960","Other cattle : less than 1 male","Leinster",NA
"589","1965","Other cattle : less than 1 male","Leinster",NA
"590","1970","Other cattle : less than 1 male","Leinster",231792
"591","1975","Other cattle : less than 1 male","Leinster",267101
"592","1980","Other cattle : less than 1 male","Leinster",248402
"593","1926","Other cattle : less than 1 female","Leinster",NA
"594","1933","Other cattle : less than 1 female","Leinster",NA
"595","1955","Other cattle : less than 1 female","Leinster",NA
"596","1960","Other cattle : less than 1 female","Leinster",NA
"597","1965","Other cattle : less than 1 female","Leinster",NA
"598","1970","Other cattle : less than 1 female","Leinster",196148
"599","1975","Other cattle : less than 1 female","Leinster",221221
"600","1980","Other cattle : less than 1 female","Leinster",204693
"601","1926","Sheep","Leinster",1077959
"602","1933","Sheep","Leinster",1244266
"603","1955","Sheep","Leinster",1008818
"604","1960","Sheep","Leinster",1438732
"605","1965","Sheep","Leinster",2046145
"606","1970","Sheep","Leinster",1521165
"607","1975","Sheep","Leinster",1303078
"608","1980","Sheep","Leinster",1119150
"609","1926","Sheep for breeding","Leinster",485279
"610","1933","Sheep for breeding","Leinster",568087
"611","1955","Sheep for breeding","Leinster",436951
"612","1960","Sheep for breeding","Leinster",659084
"613","1965","Sheep for breeding","Leinster",947697
"614","1970","Sheep for breeding","Leinster",729543
"615","1975","Sheep for breeding","Leinster",625856
"616","1980","Sheep for breeding","Leinster",537645
"617","1926","Rams for breeding","Leinster",15427
"618","1933","Rams for breeding","Leinster",18341
"619","1955","Rams for breeding","Leinster",13625
"620","1960","Rams for breeding","Leinster",19179
"621","1965","Rams for breeding","Leinster",26084
"622","1970","Rams for breeding","Leinster",19257
"623","1975","Rams for breeding","Leinster",15402
"624","1980","Rams for breeding","Leinster",12942
"625","1926","Ewes for breeding","Leinster",469852
"626","1933","Ewes for breeding","Leinster",549746
"627","1955","Ewes for breeding","Leinster",423326
"628","1960","Ewes for breeding","Leinster",639905
"629","1965","Ewes for breeding","Leinster",921613
"630","1970","Ewes for breeding","Leinster",710286
