"","Region.and.County","Year","Type.of.Cattle","value"
"2199","Mid-West","2013","Total cattle: male",341.5
"2200","Westmeath","2013","Total cattle: male",73.4
"2201","South-East","2013","Total cattle: male",460.5
"2202","South-West","2013","Total cattle: male",383.8
"2203","Wexford","2013","Total cattle: male",90.6
"2204","Wicklow","2013","Total cattle: male",36.6
"2205","Clare","2013","Total cattle: male",92.2
"2206","Cork","2013","Total cattle: male",299.9
"2207","Kerry","2013","Total cattle: male",84
"2208","Limerick","2013","Total cattle: male",131.2
"2209","North Tipperary","2013","Total cattle: male",118.2
"2210","South Tipperary","2013","Total cattle: male",121.8
"2211","Waterford","2013","Total cattle: male",80.2
"2212","Galway","2013","Total cattle: male",143.2
"2213","Leitrim","2013","Total cattle: male",16.5
"2214","Mayo","2013","Total cattle: male",87.1
"2215","Roscommon","2013","Total cattle: male",72.9
"2216","Sligo","2013","Total cattle: male",34.8
"2217","Cavan","2013","Total cattle: male",63.8
"2218","Donegal","2013","Total cattle: male",65.2
"2219","Monaghan","2013","Total cattle: male",67.9
"2220","Dublin plus Mid East","2013","Total cattle: male",202.1
"2221","State","2010","Total cattle: female",4461.5
"2222","Carlow","2010","Total cattle: female",61
"2223","Border, Midland and Western","2010","Total cattle: female",1702.8
"2224","Border","2010","Total cattle: female",608.2
"2225","Kildare","2010","Total cattle: female",73.3
"2226","Midland","2010","Total cattle: female",488.7
"2227","Kilkenny","2010","Total cattle: female",202.8
"2228","Laois","2010","Total cattle: female",139
"2229","West","2010","Total cattle: female",605.8
"2230","Longford","2010","Total cattle: female",73.5
"2231","Southern and Eastern","2010","Total cattle: female",2758.7
"2232","Louth","2010","Total cattle: female",53.9
"2233","Dublin","2010","Total cattle: female",15.9
"2234","Meath","2010","Total cattle: female",193.2
"2235","Offaly","2010","Total cattle: female",140.1
"2236","Mid-West","2010","Total cattle: female",640.9
"2237","Westmeath","2010","Total cattle: female",136.2
"2238","South-East","2010","Total cattle: female",801.2
"2239","South-West","2010","Total cattle: female",950.3
"2240","Wexford","2010","Total cattle: female",174.7
"2241","Wicklow","2010","Total cattle: female",83.9
"2242","Clare","2010","Total cattle: female",191.1
"2243","Cork","2010","Total cattle: female",707
"2244","Kerry","2010","Total cattle: female",243.2
"2245","Limerick","2010","Total cattle: female",266.1
"2246","North Tipperary","2010","Total cattle: female",183.7
"2247","South Tipperary","2010","Total cattle: female",196.9
"2248","Waterford","2010","Total cattle: female",165.7
"2249","Galway","2010","Total cattle: female",278.3
"2250","Leitrim","2010","Total cattle: female",51.9
"2251","Mayo","2010","Total cattle: female",194
"2252","Roscommon","2010","Total cattle: female",133.5
"2253","Sligo","2010","Total cattle: female",81.5
"2254","Cavan","2010","Total cattle: female",157.7
"2255","Donegal","2010","Total cattle: female",126.9
"2256","Monaghan","2010","Total cattle: female",136.3
"2257","Dublin plus Mid East","2010","Total cattle: female",366.3
"2258","State","2011","Total cattle: female",4460.3
"2259","Carlow","2011","Total cattle: female",59.9
"2260","Border, Midland and Western","2011","Total cattle: female",1687.6
"2261","Border","2011","Total cattle: female",601.5
"2262","Kildare","2011","Total cattle: female",72.3
"2263","Midland","2011","Total cattle: female",483.8
"2264","Kilkenny","2011","Total cattle: female",201.7
"2265","Laois","2011","Total cattle: female",138.3
"2266","West","2011","Total cattle: female",602.2
"2267","Longford","2011","Total cattle: female",72.3
"2268","Southern and Eastern","2011","Total cattle: female",2772.7
"2269","Louth","2011","Total cattle: female",53.7
"2270","Dublin","2011","Total cattle: female",16.4
"2271","Meath","2011","Total cattle: female",191.2
"2272","Offaly","2011","Total cattle: female",136.2
"2273","Mid-West","2011","Total cattle: female",641.1
"2274","Westmeath","2011","Total cattle: female",137
"2275","South-East","2011","Total cattle: female",805.1
"2276","South-West","2011","Total cattle: female",964.8
"2277","Wexford","2011","Total cattle: female",175.1
"2278","Wicklow","2011","Total cattle: female",81.8
"2279","Clare","2011","Total cattle: female",188.9
"2280","Cork","2011","Total cattle: female",717.3
"2281","Kerry","2011","Total cattle: female",247.5
"2282","Limerick","2011","Total cattle: female",270.3
"2283","North Tipperary","2011","Total cattle: female",181.9
"2284","South Tipperary","2011","Total cattle: female",202
"2285","Waterford","2011","Total cattle: female",166.4
"2286","Galway","2011","Total cattle: female",275.5
"2287","Leitrim","2011","Total cattle: female",49.5
"2288","Mayo","2011","Total cattle: female",192
"2289","Roscommon","2011","Total cattle: female",134.7
"2290","Sligo","2011","Total cattle: female",79.6
"2291","Cavan","2011","Total cattle: female",155.4
"2292","Donegal","2011","Total cattle: female",127.2
"2293","Monaghan","2011","Total cattle: female",136.2
"2294","Dublin plus Mid East","2011","Total cattle: female",361.7
"2295","State","2012","Total cattle: female",4564.1
"2296","Carlow","2012","Total cattle: female",60.6
"2297","Border, Midland and Western","2012","Total cattle: female",1730.5
"2298","Border","2012","Total cattle: female",613.4
"2299","Kildare","2012","Total cattle: female",74.3
"2300","Midland","2012","Total cattle: female",498.5
"2301","Kilkenny","2012","Total cattle: female",209.4
"2302","Laois","2012","Total cattle: female",140.3
"2303","West","2012","Total cattle: female",618.6
"2304","Longford","2012","Total cattle: female",74.6
"2305","Southern and Eastern","2012","Total cattle: female",2833.6
"2306","Louth","2012","Total cattle: female",54.6
"2307","Dublin","2012","Total cattle: female",16.3
"2308","Meath","2012","Total cattle: female",194.4
"2309","Offaly","2012","Total cattle: female",139.7
"2310","Mid-West","2012","Total cattle: female",659
"2311","Westmeath","2012","Total cattle: female",143.9
"2312","South-East","2012","Total cattle: female",824.7
"2313","South-West","2012","Total cattle: female",982.2
"2314","Wexford","2012","Total cattle: female",179.6
"2315","Wicklow","2012","Total cattle: female",82.7
"2316","Clare","2012","Total cattle: female",195.2
"2317","Cork","2012","Total cattle: female",729.8
"2318","Kerry","2012","Total cattle: female",252.4
"2319","Limerick","2012","Total cattle: female",275
"2320","North Tipperary","2012","Total cattle: female",188.9
"2321","South Tipperary","2012","Total cattle: female",205.3
"2322","Waterford","2012","Total cattle: female",169.8
"2323","Galway","2012","Total cattle: female",283.3
"2324","Leitrim","2012","Total cattle: female",50.2
"2325","Mayo","2012","Total cattle: female",196.6
"2326","Roscommon","2012","Total cattle: female",138.7
"2327","Sligo","2012","Total cattle: female",81.4
"2328","Cavan","2012","Total cattle: female",161.1
"2329","Donegal","2012","Total cattle: female",126.2
"2330","Monaghan","2012","Total cattle: female",139.9
"2331","Dublin plus Mid East","2012","Total cattle: female",367.6
"2332","State","2013","Total cattle: female",4641.1
"2333","Carlow","2013","Total cattle: female",62.8
"2334","Border, Midland and Western","2013","Total cattle: female",1749.5
"2335","Border","2013","Total cattle: female",616.8
"2336","Kildare","2013","Total cattle: female",78.2
"2337","Midland","2013","Total cattle: female",507.5
"2338","Kilkenny","2013","Total cattle: female",217
"2339","Laois","2013","Total cattle: female",144.6
"2340","West","2013","Total cattle: female",625.2
"2341","Longford","2013","Total cattle: female",74.6
"2342","Southern and Eastern","2013","Total cattle: female",2891.6
"2343","Louth","2013","Total cattle: female",55.9
"2344","Dublin","2013","Total cattle: female",16.6
"2345","Meath","2013","Total cattle: female",198.1
"2346","Offaly","2013","Total cattle: female",142.6
"2347","Mid-West","2013","Total cattle: female",667.6
"2348","Westmeath","2013","Total cattle: female",145.8
"2349","South-East","2013","Total cattle: female",852.7
"2350","South-West","2013","Total cattle: female",993
"2351","Wexford","2013","Total cattle: female",186.7
"2352","Wicklow","2013","Total cattle: female",85.5
"2353","Clare","2013","Total cattle: female",198.3
"2354","Cork","2013","Total cattle: female",741
"2355","Kerry","2013","Total cattle: female",252
"2356","Limerick","2013","Total cattle: female",275.7
"2357","North Tipperary","2013","Total cattle: female",193.6
"2358","South Tipperary","2013","Total cattle: female",211.2
"2359","Waterford","2013","Total cattle: female",174.9
"2360","Galway","2013","Total cattle: female",288.8
"2361","Leitrim","2013","Total cattle: female",50.2
"2362","Mayo","2013","Total cattle: female",197.5
"2363","Roscommon","2013","Total cattle: female",138.8
"2364","Sligo","2013","Total cattle: female",82.2
"2365","Cavan","2013","Total cattle: female",161.3
"2366","Donegal","2013","Total cattle: female",125.9
"2367","Monaghan","2013","Total cattle: female",141.3
"2368","Dublin plus Mid East","2013","Total cattle: female",378.3
