"","Region.and.County","Year","Type.of.Cattle","value"
"534","Mid-West","2012","Other cows",159.5
"535","Westmeath","2012","Other cows",44.9
"536","South-East","2012","Other cows",157.3
"537","South-West","2012","Other cows",140.8
"538","Wexford","2012","Other cows",36.4
"539","Wicklow","2012","Other cows",23.8
"540","Clare","2012","Other cows",77.8
"541","Cork","2012","Other cows",90.6
"542","Kerry","2012","Other cows",50.2
"543","Limerick","2012","Other cows",43.4
"544","North Tipperary","2012","Other cows",38.3
"545","South Tipperary","2012","Other cows",33.7
"546","Waterford","2012","Other cows",28
"547","Galway","2012","Other cows",109.3
"548","Leitrim","2012","Other cows",25.8
"549","Mayo","2012","Other cows",82
"550","Roscommon","2012","Other cows",59.8
"551","Sligo","2012","Other cows",33
"552","Cavan","2012","Other cows",49.3
"553","Donegal","2012","Other cows",46.1
"554","Monaghan","2012","Other cows",35.6
"555","Dublin plus Mid East","2012","Other cows",91
"556","State","2013","Other cows",1150.3
"557","Carlow","2013","Other cows",18
"558","Border, Midland and Western","2013","Other cows",600.5
"559","Border","2013","Other cows",202.7
"560","Kildare","2013","Other cows",21.2
"561","Midland","2013","Other cows",146.1
"562","Kilkenny","2013","Other cows",41.5
"563","Laois","2013","Other cows",37.3
"564","West","2013","Other cows",251.7
"565","Longford","2013","Other cows",28.4
"566","Southern and Eastern","2013","Other cows",549.8
"567","Louth","2013","Other cows",13.1
"568","Dublin","2013","Other cows",4.3
"569","Meath","2013","Other cows",43.2
"570","Offaly","2013","Other cows",35.7
"571","Mid-West","2013","Other cows",159.2
"572","Westmeath","2013","Other cows",44.6
"573","South-East","2013","Other cows",158.9
"574","South-West","2013","Other cows",138.9
"575","Wexford","2013","Other cows",37.7
"576","Wicklow","2013","Other cows",24.1
"577","Clare","2013","Other cows",77.8
"578","Cork","2013","Other cows",89.6
"579","Kerry","2013","Other cows",49.3
"580","Limerick","2013","Other cows",43.2
"581","North Tipperary","2013","Other cows",38.3
"582","South Tipperary","2013","Other cows",33.7
"583","Waterford","2013","Other cows",27.9
"584","Galway","2013","Other cows",109.6
"585","Leitrim","2013","Other cows",25.8
"586","Mayo","2013","Other cows",82.4
"587","Roscommon","2013","Other cows",59.7
"588","Sligo","2013","Other cows",33.3
"589","Cavan","2013","Other cows",49.1
"590","Donegal","2013","Other cows",45.7
"591","Monaghan","2013","Other cows",35.8
"592","Dublin plus Mid East","2013","Other cows",92.8
"593","State","2010","Bulls",52
"594","Carlow","2010","Bulls",0.7
"595","Border, Midland and Western","2010","Bulls",21.7
"596","Border","2010","Bulls",8.3
"597","Kildare","2010","Bulls",0.9
"598","Midland","2010","Bulls",5.5
"599","Kilkenny","2010","Bulls",2.1
"600","Laois","2010","Bulls",1.5
"601","West","2010","Bulls",7.9
"602","Longford","2010","Bulls",1.1
"603","Southern and Eastern","2010","Bulls",30.4
"604","Louth","2010","Bulls",0.5
"605","Dublin","2010","Bulls",0.1
"606","Meath","2010","Bulls",2.1
"607","Offaly","2010","Bulls",1.5
"608","Mid-West","2010","Bulls",7.9
"609","Westmeath","2010","Bulls",1.5
"610","South-East","2010","Bulls",8.2
"611","South-West","2010","Bulls",10.2
"612","Wexford","2010","Bulls",1.9
"613","Wicklow","2010","Bulls",1
"614","Clare","2010","Bulls",3
"615","Cork","2010","Bulls",6.9
"616","Kerry","2010","Bulls",3.2
"617","Limerick","2010","Bulls",2.9
"618","North Tipperary","2010","Bulls",2
"619","South Tipperary","2010","Bulls",1.9
"620","Waterford","2010","Bulls",1.6
"621","Galway","2010","Bulls",3.7
"622","Leitrim","2010","Bulls",0.9
"623","Mayo","2010","Bulls",2.4
"624","Roscommon","2010","Bulls",1.8
"625","Sligo","2010","Bulls",1
"626","Cavan","2010","Bulls",2.2
"627","Donegal","2010","Bulls",1.8
"628","Monaghan","2010","Bulls",1.9
"629","Dublin plus Mid East","2010","Bulls",4.1
"630","State","2011","Bulls",41.8
"631","Carlow","2011","Bulls",0.6
"632","Border, Midland and Western","2011","Bulls",17.4
"633","Border","2011","Bulls",6.3
"634","Kildare","2011","Bulls",0.6
"635","Midland","2011","Bulls",4.5
"636","Kilkenny","2011","Bulls",1.6
"637","Laois","2011","Bulls",1.2
"638","West","2011","Bulls",6.6
"639","Longford","2011","Bulls",0.9
"640","Southern and Eastern","2011","Bulls",24.4
"641","Louth","2011","Bulls",0.4
"642","Dublin","2011","Bulls",0.1
"643","Meath","2011","Bulls",1.5
"644","Offaly","2011","Bulls",1.1
"645","Mid-West","2011","Bulls",6.4
"646","Westmeath","2011","Bulls",1.3
"647","South-East","2011","Bulls",6.8
"648","South-West","2011","Bulls",8
"649","Wexford","2011","Bulls",1.6
"650","Wicklow","2011","Bulls",0.9
"651","Clare","2011","Bulls",2.5
"652","Cork","2011","Bulls",5.6
"653","Kerry","2011","Bulls",2.5
"654","Limerick","2011","Bulls",2.4
"655","North Tipperary","2011","Bulls",1.5
"656","South Tipperary","2011","Bulls",1.6
"657","Waterford","2011","Bulls",1.4
"658","Galway","2011","Bulls",3
"659","Leitrim","2011","Bulls",0.7
"660","Mayo","2011","Bulls",2
"661","Roscommon","2011","Bulls",1.6
"662","Sligo","2011","Bulls",0.8
"663","Cavan","2011","Bulls",1.8
"664","Donegal","2011","Bulls",1.3
"665","Monaghan","2011","Bulls",1.4
"666","Dublin plus Mid East","2011","Bulls",3.2
"667","State","2012","Bulls",36.1
"668","Carlow","2012","Bulls",0.5
"669","Border, Midland and Western","2012","Bulls",15.2
"670","Border","2012","Bulls",5.5
"671","Kildare","2012","Bulls",0.6
"672","Midland","2012","Bulls",4
"673","Kilkenny","2012","Bulls",1.4
"674","Laois","2012","Bulls",1
"675","West","2012","Bulls",5.8
